src,tgt
you shouldn't have a lot of pants,عمرك ت وسّع سروالك كتر من لقياس
and brother and brother.,واخا واخا.
We can ask the two of you to increase us by one quarter,نقدر نطلب من الكليان يزيدنا واحد ربعيام ديال الخدمة
How much time do you have?,شحال يكفيك ديال الوقت؟
why don't you want to be nervous,علاش مابغيتيش تتزعل ياكما خايف لا تيح
she will go to her house and she will go to work,صدات سيهورها و مشات كاتجري
this is for me to sing,وصافي هدا لي غنڭوليك
one lady is waiting for me,واحد سيدة لي تواستات ليا
I'm waiting for you to drive this video,كانتسنّا فيك تقاد داك لڤيديو.
and X is out of your hair,واكس خرجوه من الإنعاك
he started,هو اللي بدا
I'm taking my money,ناخد معاك سيلفي
the milk is on top of the owl,فاد ليا الحليب فوق البوط
i will win,غادي تفزڭ بسّطة
"Not at all, you're planning to move to the hospital",لا نهائياً، نتا كاتخطط تنتقل ل لاگويرا
you didn't leave it in poverty,حتى حاجة ماخليتوها فالفقر
show patience,مسح صبورة
i thought you were good,سلمت على خلتك جبيلا
what are you talking about in Arabic,واش كتهدر بالعربية
I like you too much,كاتعجبو بزّاف
Why don't you want to come back to us,علاش مابغيتيش تعاود لينا شنو ترا
"I dont live in a different place, but I think about video games and manga",مانعيش حدا مختلف مخوس ماكايفكر إلا في العاب الفيديو والمانغا
i will go to dinner,غانمشي نتعشى
Have you tried to make money,عمرك جربتي تخسّ لراسك وقت ديال راحة
Have you tried your part,عمرك جربتي دور بيك سكايرية و شربتي تا نتا
i will answer to you,أنا غادي نجيبك ولادك
I'll tell you what I'm talking about,تاحد مساق الخبر
my dream is to see penguins,الحلم ديالي نشوف البطاريق
i didn't go to my place,أوي غير سفت من بيسي
this is where I go,إوا أهنا كانعديو
this is a big resbons company,هاداك ريسبونساب كبير ف شركة
Where do you go to sundown?,منين كاتغروب الشمس؟
you are too late,تعطلي بزّاف باش تسوور هاد لمندر
will you excuse me!,وا عفاك!
Take another page,خودي صفحة أخرى
that's the money for two kidneys,تمان كان هو هاداك الفلوس ديال لكليان
you should hear the good news,أجي تسمع مزيان
i'm not gonna talk to you,موهال
it's not good here,ماشي كولشي هنايا كايهدر مزيان
go back to bed,رجع لتوموبيل
what do you think we should do,دكشي لي خلانا مايتمركاش علينا تا بيت
i will not play with you,غادي غير تكرفسني معاك
he cut it a lot,كانقطعها شوية غليظة
"without what you're with him, I'm gonna make a lot of money",بلا ما تكون معاه ساريم بزّاف
I'm from the manager.,أنا من أكادير.
what is the type of her,أشنو هو نوع ديالها
where i'm waiting for you,فين كاينا تواليت لايخليك
indeed!,بالفعل!
i'm gonna wake up,أنا غادي نفيق
Why don't you want to go to see,علاش مابغيتيش تمشي فالترين.
i've been very frank,كان معايا صريح بزاف
my heart is too late,قلبي على شي سبّا باش تعطلي
i used to work with the sword,راني كنت خدمت فالسيف
Why don't you want to do something,علاش مابغيتيش تفيكسي شي هدف و طابر باش توصل ليه
grow up with grandma,كبر مع جدتو
you can drive your daughter,راك كاتقادي بنتك
where did you learn to shoot,باين ليا حانتعلم تصوير
let them cheat on your name,تخليهم كاملين يخنيو بسميتك
I'm waiting for you to climb a tree,كانتسنّا فيك تسلّق ديك شجرة وا تعطلتي شحال كاتعلّع
tomorrow we will be there,غدا ندوز عندك
the king is gone,ملك ماغبون
I think it's expensive to fix it,كنضن بلي غادي يكون غالي باش تصلحها
i thought i'd go for a walk,كانظن غادي نمشي
they liked me very much,عجبوني بجوج
you are too old for him to be sorry,عمرك تشدد معاه راه غادي يندمك شي نهار
"Have you tried to help yourself, but have you met your head",عمرك جربتي تخدم ولكن لقيتي راسك فالخر كادور فسوشيال ميديا؟
I dont know how to serve her,ماعرفتش كيفاش نخدّمها
my boss isn't happy,رئيس ديالي ماكانش فرحان
how long is she gonna spend her time,لي مدة يدها لحنا تمدها كلها
you're gonna go to sleep,حيد منك نميمة
my sleep is good!,تيباللي حتى النعاس غادي يكون مزيان!
I can't wait for her to last a day,مامتوقّعاش أنها طيح شتا ليوما
this is a wonderful bread,تبقى هادي خبزة عجيبة هادي سوسيوط
if only I could grow up,كون غير قدرت نكبر دغيا
I've been looking for wild animals in the woods,كنتمناو متكونش حيوانات برية ف الغابة
it's important,عندو أهمية
Why don't you want to explain a problem,علاش مابغيتيش ت ودّح لمشكل
why don't you want this?,ماموالفش ليك هادشي?
i'm not gonna do this right,تخفيد ماكاينش هاد السيمانة
the road was different,طريق كانت مزايرة
I want to take the kadoo,بغيت ناخد كادو
they didn't say they had a girl,ماعمرو قاليا عندو بنت
What are you doing?,واش كاتحشم؟
how much is it?,قلاع شحال؟
they found what to eat,كانواجد ماناكل
they're not going to do it,بنتيلي ماشي تال تما
he came back from work,خويا رجع من الخدمة
he went into this country,راه دخل ديال هاد البلاد غير فساد
you took her away from me,مني خديتيها مازوولتها معنقي
i don't want to,ولا بودي
i'm looking for you,إوا أنا كندوي معاك
i will never give her good morning,لي صباحا لليلو ماعطاها الخيرو
i didn't think of you,ماكانقش منك
you don't live on it,ماتديش عليه
i'm trying to change the cafeteria,جديدة هادي أنا مجرب غير لي بالكفتة كيفاش كاتسوبي هادي بالخضرا
tell me how you feel,ملي يزرقولك شلاقمك
I will do her well,ليدي ر ليفيها الخير
do you think it's good for me to talk to you?,و أشناهو الموضوع لي عزيز عليا ف ناضارك?
I see you,نشوفوك
i feel like work is too much,كانحس بلي الخدمة ماكاينينش بزاف
you are too late to train in mountain roads,تعطلتي بزّاف باش تدرّب على تسالوق ديال جبال
it's okay,فته الشرجم
you should never forget to lock a house,عمرك تنسا تسد لقفل ديال دار ملي تكون مسافر
"this is good, but you know how to do this in my old age",هادشي زوين، ولكن راك عارف كيفاش كايكون هادشي فالعمر ديالي
Why don't you want to squeeze this apple and bring juice,علاش مابغيتيش تعصر داك تفاح وديرو عصير
i took one,خديت واحد بريكول
the best country I've ever lived in is Japan,أحسن بلاد سكنت فيها هيا اليابان
with the catsalo,مع شال كاتسالو
i'm gonna smack the vegetables,أنا غادي نتقدا الخضرا
let me get him back,خليني نرجع ليه فلوسو
"But he has a bad temper for the baby, except I didn't get the point and put my head together",ولكن الكدوب عليه حرام الواليدة ماخلات مادارت ليا على هاديك النقطة و جمعت راسي
I'd like to stay with you for one day.,باغي نبقى معاك غير نهار واحد.
give time to your head one at a time,عطي الوقت لراسك واحد شوية
I'm talking to you,أنا خاطبتك
I'm gonna sign these goods,أجي نستوكيو هاد سلعا
i thought you'd go with him,آه حسابلي مشيتي معاه
the baby is fine,الولادة تانية بيخير
i will go to your place,سانسور على ليمان ديالك
where is the bear,فين ماشا دب
it's all right,آه باتي تما
i tried but i can't go to the table,واحا حاولت ولكن ماقدرتش نمشي نمنتي طابلة.
go to your uncle,سير تل على عمامك
I'm glad you did it,سعدتك بيها
they don't like it,ماكايسوا والو
always be optimistic,خليك ديما متفاءل
i thought i'd follow my idiots,كان كيسحاب ليا غادي يتبعني فحماقي
you think about your boyfriend and he think about his money,تفكر حبيبك وهواه تفكر في عيلو ونصاه
you are too old to sail in the sea,عمرك تكون سحون و تلاح فالبحر ديخة
he went to watch,سير تفرج جاع
"Whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa,",واه واه شحال عامر صافي نركبو في جاي
you have to come,عندك دخلي الغيس
"no, i don't have it between me",لا ما بيني ما بينها
it's all over the department,راه تمان شامل لجميع الإدارات
you?,أنتي؟
this is a good time to eat animals,هادا وقت مزيان باش تواكل الحيوانات
how much air you have,كيداير الجو عندكم تما
this is a chorus,اشنو هاد جوقا
i'm an employee,أنا موظف
i and i are going to drive,أنا و تمارا تزيدينا قد قاد
Don't rest.,غير رتاح.
i need a doctor who will call me if i have a job,طبيب ديالي عتاني شي فانيد باش يكالميني ساعا بان ليا ما خدّامش
"It's hard, but you heard the instructions from the crew, so you did what you could do for me.",راه صعيبة ولكن راه سمعتي لگاع تعليمات ديال الطاقم إذن راك درتي گاع داكشي لي في استطاعتك.
he is at the University of the 5th,كايقرا ف جامعة محمد الخامس
you don't want to abuse this pure decision,مابغيتيش تستعنف داك القرار الصافي الحكم خايتبقى
i'm going to finish a movie,راني كنت كملت ل فلم
what do you want to do,واش هادشي داروري
you shouldn't be mad at one thing,عمرك ت نتقد شي واحد
this singer is not my world.,راه هاد المغني ولا عالمي.
there's one coffee,كاينة هدا واحد القهوة
as soon as the duck eats daytime!,أصلان، البط كاياكل كول نهار!
Don't ask me,بلا ما تستفسر منو
i'm upset about it,أنا مكتاءب شوية
what is the best way to treat the motherfuckers,شنو هيا أحسن طريقة ديال طياب ديال الحم
how many are they looking at?,شحال كيزيرو هاد القراعي
you are too late,مايحك دهري غير دفري
he is with his family,راه محدود مع عائلتو
I'm thinking what to do with my clothes.,تانفكّر واش نقاد حوايجي.
it's always like this,عادي هو ديما هكدا
i'm awake,أنا فيق
my writing is a routine and a clue,كاتباني ليا دريا عادية و دريفة
you have something left,جيب معاك شي باقية ديال الأتاي
I don't want to help his parents,مابقيتش باغي نعاونو راه مسخوت واليديه
Don't buy me,بلا ما تقتع ليا كيكا
you don't care,نتي ماكاتهملينيش
i don't think i'm waiting for you,مانضنش غادي نتيب ليك ڭاعتيّب.
will you do it,سير نيشان
let me tell you this time,سمحلي إيلا عييت ليك فهاد الوقت
they suffer too much trouble,كايعانيو من بزاف ديال المشاكل
hello,إنشالله أخي مرحبا
I have a few times to be happy and say a little,لي مراتو قصير يفرح و يقول صغيرة
it's pure,صافي صافي هانا غادي
I don't have the right to!,ماعنديش لحق نڭول!
i flew in the sky,طرت في سما
i saw you this morning,شفتك هاد الصباح
People are out of coffee,ناسّ خارجين من القهوة
didn't make it right,واش كادوي بصح
i'm here,من قبيلا وانا هنا
he bought a new tunobele and quieted and humbled,راه شرا تونوبيل جديدة و ساكت و شحال متواضع
my house is my jacket,داري يا سترات عواري
he's got nothing to do,وجهكوم ماباين عليه غدر
Why don't you want to ask for food from the throat,علاش مابغيتيش تطلب ماكلة من زنقة
the salary is a month's worth,الراتب كيمشيو على حساب الشهر
"Thank you so much for letting me go, but I can't do this",شكران حيت سولتيني ولكن مانقدرش ندير هادشي دابا
he is mine,طول على حادر هو لي عندو الحريصة
my God will reward you,ربي غادي يجزيك
do you want this saddle?,واش بغيتي بلاصة هادا سرجم؟
i'm gonna forget about her,أنا غادي نوسيك وسيا ماتنساهاش
Wipe your tears,مسحي دموعك
do it,إوا ڭوليها
this is the color,راه دهبي هاد اللون
What do you think of me or something?,واش كاتريڭل عليا ولا شنو؟
the evening you will be gathering,العشية غاتكون كاتجمع للهوايج
i think i'm gonna have a lot of money,كانظن باقي عندي شوية ديال الما الدافي ف صاكي
I'm doing math,أنا أستاد ديال الرياضيات
"will you come back to me at the same time, at the same time?",غادي ترجع سيمانا جاية، فنفس الوقت، فنفس الوقت؟
"i thought about one, sir",رديت البال واحد سيد
this is our book,هاد الكتوبة دياولنا
it's Christmas tomorrow,غدا العيد
who do you have to go out with?,معامن كايجبك تخرج؟
they read in summer,قرا في صيف
you've eaten it in spite of you,كليتيها ف عدامك
close your mouth,سدّ فمّك
i don't want to go too much,ماتبكيش أمضامي
"she's poor, she takes her life in the past, deprived and honored.","مسيكينة, دوز حياتها وسط الشرّاف, محرومين و شرّاف."
where are you here,كاين هنا
Tomorrow we have a trip with school,غدا عندنا رحلة مع المدرسة
Where are we going to stay here,مكاين تا سباب باش نبقاو هنا
this kudoo is yours,هاد الكادو سوبتو ليك
"If you don't come to me, he's always watching me like this.",إيلا ماجاوبتو كايبقا يصوني بحال هاكا.
I dare you to offer the barbecue,نتحداك ت عرض على دوك الهماجيين را خايشوهوك فلعرس
they're going to get away from the kids,كايتعداو على الدراري الصغار
this tree is friendly,هادي مودة شاف هاد الشجرة
i raised a bunch of messes I met in a shirt,ربيت جوج مشيشات لقيتهوم ف زنقة
i will give what i have,غادي نعطي كول ماعندي
this is the time you're walking with us,تا راه الوقت كاتمشي معانا
you are cheap,غاتقام عليك رخيصة
he's in the same place,طيقة في نفس بعدا
it's good to see you,منيتك نتيا دابا كاتسولي
Welcome to the registration in February,مرحبا التسجيل في فبراير
Have you tried to train a band,عمرك جربتي تدرب شي فرقة ديال بسكيت
welcome,أهلا و سهلا
Let me make a sound,خليني نزيد ف صوت
we feel like me,نحس طبعني
you're too good,قشبتو وسعة
how do you like to go to fairs?,كايعجبك تمشي لمتحاف؟
if only I could help you with something,كون غير قدرت ن حاورك بشوية
Where can we spend a dollar?,فين نقدر نصرف دولار؟
you will marry her,إمتا غادي ت تقدّم ليها فزواج
"Otherwise I'm gonna ask you for ideas, you don't want to vote me again",وإلا عمر جاوك شي أفكار، ماترددش تصوني عليا مرة أخرى
the eggs aren't good,البيض وماتيشة
You don't stay in it for me,ماتبقايش داخلة خارجة عليا
I'm waiting for money to go to a doctor,و ماعدناش الفلوس باش نمشي لطبيب
the teacher was late,الأستاذة كانت معسبة شوية
I'm waiting for you to give me back a cup of money,كانتسنّا فيك ت برد ليا داك لكاسّ ديال أتاي
you're comfortable with albaby and potatoes,ديك مريحة باللوبيا و بطاطا
your day is good,نهارك مبروك
Have you tried to hide from the police,عمرك جربتي تخبا على البوليس
this dog you have give it to sleep,هاد الكلب عندك عطيها غا لنعاس
I don't think you're gonna find out what you're doing.,لا ماكايعيطوش عليك اينشتاين گاع.
"That's ridiculous, but let's talk to you with my parents",هادشي سخيف، ولكن خلينا ندحك مع واليديا
it's the government's fault,راه هايكالي هاد تحير لي وقع فالحكومة
brother and i didn't pray,واخا والله ماصليت
how are you going to hang out with you?,شحال تلفلوس عندك؟
i'm immortal and I'm sorry and I'm sick,جا خالد و مستفا موي و عطيقة
she is very active,عزيز عليها النشاط
You don't want to do animals,ماخصكش تقادي لحيوانات
I like the sound of new stuff,كايعجبني ندوق حوايج جداد
I'm waiting for you,بفلوس تيك توك
i want it to come from the first,ڭلتها ليكوم من لأول
I'm gonna prepare for you from one of these prizes,أنا غادي نعدّد ليك شحال من واحد دا هاد لجائزة
my head is good,كايدرني راسي
I'm gonna wash my hands!,غادي نغسل يدي دابا!
they're all alone and they're full,راهبوحدو يفرشخون كاملين
how do you know how to grow up,و كيفاش غادي نولي نبان
Let me say,سمح ليا بغيت نقول سافير
i will help you,نعاونك ف كولشي إلّا هادشي
how do you do with the service?,كيف دايرين مع الخدمة؟
Mrs. Bach is going to kill my sister in a shower,سيدة راه بغات تقتل داكشي لي ف كرشها
But the second foreign is too late to pay too much,ولكن الأجنبية الثانية مثانية ماخاترجعوش دافعو بزّاف
Have you tried your role,عمرك جربتي دور بيك الشماكرية
I dare you to rest on this floor,نتحداك ترتاح فهاد البلاصة
give me some information,عطيوني شي معلومات
"Oh, come on.",آه، هيا هاديك
the eggs are so white they are chicken,البيض حتى هوا كايبيّض بحال دجاج
"But you know me, I'm too busy to eat!","و لكن راك عارفني, كانتشرّط بزّاف فل ماكلة!"
i have to shoot him,زوميت على تصويرة
i'm sorry,أنا مكنقراش
how do you think I'm an asshole?,كايبالّيك أنا كانحماق?
i'm tired,كولا وجهدو
if only I could meet my child,كون غير قدرت ن قابل ولادي
it's okay,يزين يمكنك
I'm so happy,هادش فرحني بزّاف
we need funding,خاصنا تمويل
You are not good,نتي ماخصك تا خير
we don't want to think about this,مابغيتش نفكر فهادشي
i don't know what to do,ماكينش موراها شي ريكو ولا شي حاجة
the first thing I want to pay you is free,أول حاجة دفعي باك حر
sleep is too bad,النعاس بزّاف خايب
it's all right if we show a show,شي وحد إيڭولينا ل عروض لي درنا
lock the door,صد الباب ديال تواليت
my girls are full of shit,البنات عندي كاملين بهال بهال
Let me hit him in the car.,خليني نضرب بيه دورا.
i'm married,واش ني مزوجة
i will see what the sance is,شوفي واش كاين السانس
do you think you'll take a vacation?,تايبان ليك خص نشدّ عطلة?
how's your day?,كيداز نهارك?
Have you tried something,عمرك جربتي دافع على شي حدّ
i will provoke you,أنا غادي نستفزّك باش نرجع ليك سرف
i'm alive to let us communicate from a distance without a signal.,حيت علا كتخلينا نتواصلو من بعيد بلا إشارة.
why are you waiting for him,ويلا سبقتيه نتا
why don't you want to build a cycle like a full barrel,علاش مابغيتيش تبني شي دورة بحال سحابل كاملين ياكما مزير من ناحيت الفلوس
Can you drive quietly?,واش ممكن تقد هادي؟
month,شهر
it's like he's dead and he's dead,كانهزوم فتوموبيل
I didn't have anything to do,ماڭلت ليك هيتا شي حاجة
"No, my sister is coming",لا مخيتي تا جيتي
I'm thinking they're too generous for me,تانفكّر واش كرمو ليا لحوايج
Can you tell me if there's anything wrong with this majesty?,ت قدر تشوف ليا واش كاين شي سلد فلپروڤيات تنديف هاد السيمانة ?
this is a good thing,لهدك نتا هاني كلشي مزيان
you understand,باراكا من الفهمة
Why are you back?,علاش رجعتي؟
I will not go with you,غير كايقشب معاك
I went to a place,و سافرت ل ماكناس
living in it is simple,العيشة فيها بسيطة وزوينة
i forgot to rattle you,نسيتو بلي راكوم خوت
he was in prison,كان ف الحبس
I don't want to go out,ماغاديش نخروج
do you want to go,أش غادّير ڭاع
she will come day to Thursday,"السيمانة الجاية, نهار لخميس"
I'm here to rest a bit,ڭلسي هنا رتاحي شوية
you have published the clothes,نشرتي الحوايج
"4,500 lads and a great god",4500دره والله العظيم
he prefers the lightnings,كانفضل الطاجين بالبرقوق
I'm thinking of getting this grade,تانفكّر واش نقّز من هاد درجة
I'm gonna tell you what I'm talking about,شفرو ليا جاكيتة ديالي وست القصم
give it to me!,زيد عليها عندي فريسبي!
"i did love her and thank god a lot of people have money problems, but i think we should have money before the band",موراها دوزت مودة و الحمد لله واقع شي أعوام لفرقة دازت بشي مشاكل مادية ولكن دحينا بفلوسنا على قبل الفرقة
i still haven't seen her,لا مازال ماشفتها ڭاع
I'm gonna ask you what happened,شوفي شكون كايدق
Have you ever tried a love story,عمرك جربتي شي قصة حب بحال أهدي
the two can always ask my side,الكليان يقدر ديما يزيد طلب جانبي إيلا بغا
it's exactly what you feel.,بصيف تحس بالضبط.
I'm convinced you are better than you are today,أنا مقتانع أنا دحك هو أحسن دوا لازمن نهار خايب
is there anything we need to talk about?,واش كتسنا شي حد؟
my head is strangled,تانهس براسي مخنوق
you started to make me sick,بديتي كاتمرّضني دابا.
live well,عايش معانا بيخير
hurry up,شدّ الزكير
do you think it's good to see you,خمد عينك ها رمضان جا
I've got some biscuits,عندي شوية ديال البسكويت
it's normal she's sleepy,عادي هيت ناعسة بنهار
i lost my eyes,لي هدر كانطرتق فيه عينيا
this is all coming out of the house and she starts begging me,بقات هتا خرج كلشي من دار و هيا تبدا تسول فيا
i will wait until they answer to her,غاتبقى تصوني حتى دي جاوبيها
"Oh, no.",أُه لا
i like the fatty,كايعجبني دكشي ديال الفوتوكي
people who came to kill you,ناس لي جيتي من عندهم بغاو يقتلوك
what do you do?,راه شينوي.
I'm afraid she's gonna be okay,متخافيه هي غا تولي بخير
how is it?,كيداير الجو؟
how many hours do you have to work together in this country?,شحال من ساعة ديال لخدمة مقرين فهاد البلاد؟
leave me in the pilot,خليني عليك ف الطيار
you don't want to talk about the world,ماتخلعوش ماديوهاش فاشنو كيڭول العالم
i will do you a favor,كيداير مع خدمة
I'm getting a lot of money today,زادونا ف الخلصة اليوم
it's a good thing,آه إوا يكون خير خلاص
You know what you didn't need to look at a lot of clothes and a lot of good things,عرفتي شنو مابقيتش شاريحة درت على بزّاف تنوبيلات و للطبيقة كاين من حسّن
i'm gonna ask my buddy,كانسول ل واحد صاحبي
didn't talk to me about it,واش هادشي لي كاين
I don't think we're gonna clear up the moods,مابقيتش باغي نمسح دوك لميساجات
describe your head in words,وصف راسك ف تلاتة ديال كلمات
i went too far,زربت بزاف
how do you like your mom?,كيبقات ماماك؟
it's not a fair idea,غير فكرة وصافي
But where are they going to go?,و لكن فين غانمشيو إذن?
Have you tried to reduce poverty,عمرك جربتي ترجع الفقر ديالك
the work was a good lesson,الباراه كان درس زوين
the first time i've felt this way,أول مرة نهس بهادك الشعور
you don't wanna fill your room,مابغيتيش تمأني ملي جاتك الخاص
Let us live,خلينا نعيشو الحياة
I can't do it,ماقدرتش عليه
"Oh, come on!",ياله جيت
i walked in the garage,مشيت كنجري
i will not waste with them,مافيا لي يهدر معاهوم
one piece of crazy crazy,خرات واحد دار في جنان خاير
different way,طريقة مختلفة
without a manager,بلا مدير فيها مخلوع
What do you know?,أش كاتعرفي ديري
it was a carita and a martyr forgot about me,كانت كاريتا و عمر شهيد نساهني
you work alone on the exit,كاتخدمو بوحدك على الماخروع
I want to confess,بغيت نعترف ليك
the camels are big,الجمل عندو فيم كبير
you don't live in your head,ماتعمرش راسك ب 8ادشي
this kind of thing people are not with me,راه نوع ديال هاد الناس هو لي ماعدناش معاه
they are happy,هوّا فرحان
I'm sick,أنا مريضة
do you have kids?,كيدايرين الوليدات؟
this is it,هاهوما
you are king of my country,نتا الملك ديالي
go ahead and let me sleep and live with you,يالله تفضل ڭلّس لهيها أنعمرو غير شي دوسّيات و نجيو عندك
she keeps shaking at me,بقا ترعد عليا
"God, I'm this dishonorable",اللهم إنا هادا منكر
go to the bar,قلب على البار ديالك
this is the kind of person I didn't know,هاد نوع ديال بشرا أنا والله ماعرفتها
i'm too young for dogs,راه مجموع عليا بزّاف ديال لكلاب
without the rest of the time,بلا ما تبقا مجبلو
what do you want to do with it?,ڭوليا أشنو كاين عندك؟
is this what this is?,أش دانا لهاد لهادرا?
how will i go with the favor,كيف غادي مع الخدمة
God is she,الله إيتيك ساها
i'm a professional worker,أنا لي خدامة فالفارماسي
i don't wanna wait,ماعندو تمان
"excuse me, no.","سمح ليا, لا."
let me find my homework,خليني نوجدد ديبلوم ديالي
What kind of games do you like?,أشمن نوع ديال الألعاب كايعجبك؟
I have lunch,ودوز عندي تغدا
if only i could show up at the rat's place,كون غير قدرت ن تظهر بالخينة ولكن را ماعنديش باش
i'm gonna go out this year,غادي تخرج هاد العام
where can I go to the station?,منين نقدر نمشي للمحطة ديال التران؟
i have to give them juice,ديتهوم لدار عطيتهوم العصير
Your daughter grew up,بنتك كبرات
without what you have to go with him,بلا ما تسوور معاه
what do you want for me?,واش كادوخ عليا؟
Let me through,خليني نعبر
so that people will respect me,كيحترم الناس لي جبر منو
I didn't want to talk to you,مشي شديت هاديك لمانا لي سيفتي
my life is not life,حياتي ماشي حياة
go get dressed like this,سير تلبس راه مشا لهال
you will always write letters and write me a contract,غادي يخاصك ديما تكتاب رسائل وتصني وتعاقدات...
I'm thinking of a sailor for two years,تانفكّر واش هاد لبحر مسموح فيه لعومان
if only i saw her house,لحرا إيلا سبرات دارها عمرت
dont think it's the post,بلا ماندير بوست
one hour,ساعة
I want to see what's left of the trust,أودي راه مابقات ثاقة
Can you be comfortable?,إمكن غاتكون مرتاح حسن فديك طابلة لور لعيق؟
