src,tgt
كايتفكرو معا باش ماخايخسرو تا شي معلومات,They're plotting together in order not to let any of the information escape
أشنو الخطأ لي درت,what's the mistake i did 
راه ماكتابش هاد الأستاد مزيان,this teacher doesnt explain well
غادي تبرّع ليك تيليفون,she will pass the phone to you
أش كاتدير هنا,what are you doing here
كاتدير ألبوم ديال لصور,she's making a photo album
هادشي لي كايديرو ليك,this is for your own sake
أنا مشتاقك بزاف,I miss you a lot
نتا من التراب,you are from dust
تانفكّر واش ندير ليه شي واحد,I think of tip him off
قوليها ليها مسّلة,tell her good night
ماشي أول مرة,not the first time
هادا لي غايفهمها,this who gonna understand her
هادشي لي كادير خايب,what you do is bad
إيلا جاو تلامد,if the students came
بلا ما تخاف مني,don't worry about me
راه راه فاشل شوية ماتخافش عليه,he is a bit crazy dont mind him
دي باك معاك,take your bag with you 
نتحداك ت دير ليا عادلة مع ولادك,I dare you to be fair with your children
عمرك ت سوب سروالك,you should never sew your pants 
أوك أوك.,OK OK.
أنا غادي نسول ليك كليان,i will ask the client
شحال ديال الوقت لي خاصك,how much time you need
علاش مابغيتيش ت تفرج,Why don't you want to swing 
ربطات سباتيها و مشات دوي,she tied her shoes and went for a run
هادشي لي عندي نڭول,that's all I have to say
شي نسايا عاوناتني,some women did help me
كانتسنّا فيك ت دري شي فيديو,I'm waiting for you to make a video
واش هو خارج من طوارئ,is he out of emergencies
هو لي كايبدا,it's him who starts
بغيت نستاهل,i wanna a selfie
سددت الحليب فالموتون,i spilled milk in the stove
غادي تلبس بلاصتها,she will wet her place
لا، نتا كتخطط تنقل لڭاعيرة,"Not at all, you plan to move to Laguira"
ماكاتهل تا واحد ف هاد الڭاع,You leave no one in peace
صافي لبوردا,Clean the blackboard
أنا سلمت على خلك,I greet your my aunt
واش كاتعرف العربية,do you speak arabic
كايعجبو بزاف,he likes it very much
علاش مابغيتيش تشرح ليا أش وقع,why you dont wanna explain what happened
باش مانعيش حدا شي واحد من العصابين و المهربين لي كايفكر غير في لعبات ديالو و مانجا ديالو,not to live next to a retarded and pimply-faced geek who thinks only of his video games and its Manga
غادي نمشي نتعشاو,I'm going to go have dinner
عمرك جربتي ترتاح راسك شوية,Have you tried to give yourself some rest
عمرك جربتي تشرب مع سكران,Have you tried to drink with drunkerds
أنا غادي نلقا على ولادك,i will look to your children
تاواحد ماعرف,no one knew
بغيت نشوف البينغوان,i want to see pinguins
سفت ليا من ل pc,send if from pc
أنا غير كانمشي,I'm just passing time
راه كادر كبير فشركته,he is a big cadre on his company
فين كايغروب شمش؟,Where does the sun set?
تعطلي بزّاف باش تسوّر شي صورة,you are too late to take a picture
مزيان عفاك,Pretty please!
ديني صفحة أخرى,take another page
كان التمان ديال الزبون كان فداك,the price was well within the customer's budget
أجي، استمع بجد,"Come on, listen carefully"
ماكانتش,not sure
ماشي كولشي كايدويرها مزيان,not everyone speak it well
راني رجعت ليا ليا توموبيل,i gave back the car
ساعدني نلت ليك لبر,it helped secure the clean sheet
غاتعطيوني معاك,you will tired me with you
قطعها كبيرة شوية,I cut it somewhat large. 
بلا ما تكوني صارمة بزّاف,without being too strict
أنا من أجادير,I'm from Agadir
أش كايدير؟,whats the type
فين كاين تواليت,where is the WC
بالضبط!,Exactly!
أنا غادي نفيق,i will wake up
علاش مابغيتيش ت ركب القطار, why you dont wanna  go in train
راه صراحة بزّاف,he was too honest
تقلب على واحد لبرجة,find an excuse
خدمت ف صيف,i worked on summer
علاش مابغيتيش تحدّد شي هدّم,Why don't you want to set a goal
كبر مع جداته,he grow up with his grandmother
غادي تديب ليا بنتك,you will harm your daughter
تانفكّر واش نتسّر ليك فوتوغرافي,i'm thinking of taking up photography
خليهم يندمو ليك سميتك,let them sing your name
كانتسنّا فيك ت تسلّق داك شجرة,I'm waiting for you climb the tree
غدا غادي نجي عندكم,tomorrow i come to you
مالك ماتحزن,why you sad
كايبان ليا غادي يكون غالي باش يدير,I think it is going to be expensive to fix
تانفكّر غادي نمشي!,i think i'm going to leave!
كيعجبني جوج,I like both
عمرك ت تلع عليه,you should never be harsh with him
عمرك جربتي تكبر و لكن نتيجتي كاتسكرل فالموسائل الاجتماعية؟,have you tried adulting but ended up scrolling through social media instead?
ماعرفتش كيفاش نستعملها,I don't know how to use it
المدير ديالي ماشي فرحان,My boss is not happy
إيلا بغيتي حنا تحملها,if you want henna bear it
باراكا من هاد الخدعة,stop gossiping
كانلقاك لي نعس كايقدر يكون موهّن تا حيت!,I find that sleeping can be quite efficient too!
ماكانش من المفترض يطيح اليوم,it's not supposed to rain today
الخبز مع السوساج,bread with susages
كون غير قدرت ن نڭدّ ف هادشي,if only i grew faster
كانتمنا ماشي حيوانات ف الغابة,we hope there are no wild animals in the forest
مسالي,relevant
علاش مابغيتيش تشرح ليا,why you dont wanna explain 
ماعندكش هادشي,you are not accustomed to this
ماكاينش ترموزة هاد سيمانة,there is no promotion this week
طريق مسدود,the road is jammed
بغيت نشري شي هدية,i wanna buy a gift
ماعمرش قالو عندو بنت,he never said he got a daughter
واش نتا خايف؟,are you shy ?
عارفش شحال؟,guess how much ?
كانوجه شنو غاناكل,i'am preparing what to eat
ماكايتبانش مزيان,you don't look good
راه جاي خويا,my brother came
راه مفسد البلاد,this country is corrupt
ماخدمتش من رقبتي,i didnt took it from my neck
راه بدّي,He became a Buddhist
واخا أنا كاندوي معاك,well I'm speaking to you
خاصني شي سلعة ديالك,i need your goods
أنا كنتشوف معاك,i polie with you
ماتحسّش فيه,don't take him into consideration
جديد هادشي جربو,new tjhis one try it
ملي تفرج شفتك,when your lips get blue
الله يعاونك,god helps you
و شنو كايبان ليك أفضل موضوع عندي؟,And what do you think is my favourite subject?
نشوفك.,See you.
كانحس بحال ل ستاف ماشي بزاف,I feel like the staff aren't too many of them
تعطلي بزّاف باش تسلق جبل,you are too late to clim the mountain
فتح ليا شرجم,open the window
عمرك ت نسّي تسدّ الباب,you should never forget closing the door
"هادشي زوين, و لكن عارفيش كايكون ف سني","That's sweet, but you know what it's like at my age"
علاش مابغيتيش تدي شي عصير ديال تفاح,Why don't you want to make an apple juice
درت واحد الجانب,i did a side hussle
أحسن لعبة هي اليابان,best coubtry is japan
إمتا كاتكمل,when do you finish
أنا غادي نشري الخضرا,i will buy veggies
خليني نرجع ليه فلوسو,Let me give him back his money
ماتكدبش على هادشي ماشي مزيان و كون متواضع,dont lie its not good and be humble
بغيت نعاود ليك نهار,i want to add another day
عطي راسك شوية ديال الوقت,give yourself some time
أنا خطيبك,I'm your fiance
يالله نتخزّو فهاد شيلف,Let's stock up on this shelf
كان كيسحاب ليا مشيتي معاه,i thought you did go with him
ولادة ثانية كانت مزيانة,second birth giving was good
المصعد على ليمن,the elevator is on your right
فين مشا دابا,where he gone now
آه بلي غير بقية هاد الليل تما,yes just stay the night there
حاولت نستعد الطابلة ولكن ماقدرتش,i  tried to fix the table but i couldnt
سير عند خالتك,go to your uncles
راه مزيان عندك معاها,lucky you with her
راه ماكانقاوم,he worth nothing
كوني متفائلة,be optimistic
كان كيسحاب ليا غادي يدير شي واحد كايدير,i thought that he will be nuts like me
عفاك صاحبتك,remember your friend
عمرك ت تشعل الما سخون,you should never turn on hot water
سير تحمّس,go get mad
راه مليا هاد الباص نتوما ف واحد آخر,this bus is full we go on another one
مابقاش تخرج لتراب,dont go to dust
بينهم,between them
ثمن كامل,the price is full
و نتا؟,And you?
وقت مزيان تلاقي الحيوانات,It's a good time to feed the animals
كيداير الجو عندك,how's weather at your place
شنو هاد الفوضة,whats this mess
أنا خدامة,i'm employed
أنا و الخدمة الصعبة ولدنا ف نفس الوقت,Me and hard work were born at the same time. 
غير ترتاح.,Just relax.
طبيب ديالي عطاني شي حبوبات باش تسترجعني ولكن ماكايبانيش كايدير,My doctor has given me some pills to calm me down but they don't seem to be working.
صعيب ولكن سمعتي لجميع ديال الأداب ديال الطاقم راه درتي كلشي ممكن,It is difficult but you ve listened to all the instructions from the crew so you have done everything you can
كايقرا فجامعة محمد 5,he studies at Mohamed 5 University
مابغيتيش ت استبد ديك القرار,You don't want to appeal to this decision
كانشوف الفيلم,i watched the film
واش ضروري هادشي,is this necessary
عمرك ت نقد شي حد,you should never criticize someone
راه مشهور هاد المغني,this singer is popular
قريبة من مقهوة,it's near a coffee shop
بعد كلشي، البط كاياكل كل نهار!,"After all, ducks eat every day!"
بلا ما تسولو,Don't ask him
أنا مكتئب شوية,I am a bit depressed
شنو أحسن طريقة باش تيب لحوم البقر؟,What's the best method for cooking beef?
القرعة ضيقة,the bottle is tight
أنا كانمشي غير نلمس راسي,i only touch myself
راه متأقلم,he is introverted
تانفكّر واش نقدر ن حويّل حوايجي,I think if i could make my clothes
ديما هو بحال هادا,he is always like that
أنا فاقد,I'm awake
كاتباني بسيطة و زوينة,she looks simple and nice
جيب معاكو,bring with you the
مابقيتش باغي نعاونو,i will not help him
بلا ماتقطع الكيك,Don't cut the cake
ماعجبكش أنا,you dont like me
مانضنش غادي نطيب ليك,I dont think i will cook for you
سير على لسان,go straight ahead
سمح ليا هادي المرة,forgive me i did call on this time
راه كايعانيو,they suffer
إنشالله أخي,inchaelah brother
راه قصيرة ليكات زوجتك,your wife is short
واخا أنا غادي,okay i'm going
مابقيتش مسموح ليا نقول!,I'm not allowed to say!
طلع ل ليا ف السما,went on the sky
شفتك صباح,I saw you this morning
ناس جايين من القهوة,people coming from cafe
واش نتا على دري,areyou serious
راني كنت فيها شوية,i was her for a while
شري واحد طونوبيل جديد,he has bought a new car
سدني ليا سد,my hose hides me
ماكايبانش لي كايخون,you dont seem like a cheat
علاش مابغيتيش تشري ليك ماكلة خايفة,why you dont wanna buy junk food
لخدمة ماكتساف,salary is not sufficient
أنا ممتنّا بزّاف لي سوالتي ليا ولكن ماكانش قادر نلتزمّد فهادشي دابا,i really appreciate you asking me but i can't commit to that right now
عندو صوص سخون,he has hot sauce
الله يعاونك,god will help you
واش بغيتي شي بلاصة حدا الشباك,do you want a spot next the window
أنا غادي نعاوني ليك شي نصيحة,i will give you one advice
مسح ديك دموع,wipe your tears
قولها,say it
هاد لون هو الذهب,this color is gold
واش كاتخوي عليا ولا أش,are you fooling me or what
أنا كانجمع حوايجي,im packing my clothes
كانضن مازال عندي شوية ديال الما سخونة فالباك ديالي,I think I still have some hot water in my bag
أنا أستاد ديال الرياضة,I am a maths teacher
"غاترجع سيمانة جاية, نفس الوقت, نفس الوقت?","You'll be back next week, same time, same time?"
كان كانحيط على واحد واحد,i paid attention to one person
هاد الكتوبة ديانا,These books are ours
غدا عيد,tomorrow is eid
معاش كيعجبك تخرج؟,with whom do you love going out with?
قرا فصيف,study in summer
عندك شي حاجة,you got harm
دبّط شفّاك,Button your lips
ماتبكي مادام,dont cry madam
مسكينة، كاتقضي حياتها فوسط شي حاجة قديمة، مكسورة و قديمة,"Poor thing, spending her life in the middle of old, frustrated and old."
هادي هنا,it's right here
غدا غادي نسافر,tomorrow we will travel
ماكايناش سبب باش تبقى هنا,there is no reason to stay here
درت ليك هاد الكادو,i made you this gift
إيلا ماجاوبتش كايبقى كايعيطني بهاد الطريقة,if I don't answer he keeps calling like this
نتحداك تعرض على البرية,I dare you to invite savages
كايضرو بالولاد,they harm children
كنت ف شجرة,i was in a tree
كان عندي جوج ديال القطط,i had two cats
أنا غادي نعطيك كلشي لي عندي,i will give you everything i have
هاد المرة جاي معاك,this time coming with you
هاد التكلفة غادي تكون رخيصة,the cost will be cheap
بزاف ثقة,too much confidence
مالك علاش كاتسول,why you ask
سجلات مجانية,inscription for free
عمرك جربتي تقتنعو,Have you tried convicne him
سلام مرحبا بيكوم,hello welcome
خليني نزيد صوت,Let me increase sound
أنا ماعندني الحظ,i'm unlucky
عندو حسّ ديال لضحك,He has a good sense of humor
كيعجبك تمشي لمتاحف؟,do you like going to museums?
كون غير قدرت ن حدّد معاك ب لور,if only I could speak to you gently
فين نقدر نبدل دولارات؟,Where can I exchange dollars?
إمتا غادي ت تقدّم ليها؟,When are you going to propose to her?
و إيلا ماعمرك شي فكرة، بلا ماتردد عاود عيط ليا,"And if you ever get any ideas, don't hesitate to call me back"
أومليت مع البيض و الطماطم,Omlette with eggs and tomatoes
ماتجي ولا تخرج,dont come and go
ماعنديش فلوس,we dont have money 
المعلم كان غاضب شوية,the teacher was a little angry
كانتسنّا فيك ت تبرد داك كاس ديال أتاي,I'm waiting for you to cool down this cup of tea
هاديك لوز مع الفاصول الخضرا و البطاطا,That broth with green beans and potatoes 
استمتع بقا ديال نهارك,Enjoy the rest of your day
عمرك جربتي تخبي من البوليس,Have you tried to hide from police
هاد لكلب ماكايبغيش تاكل,this dog doesnt wanna eat
لا ماكايعيط عليكش إينشتاين,No they don't call you Einstein at all.
هادشي سخيف، ولكن راه كايضحكنا معا واليديا,"It's silly, but it made us laugh with my parents"
الحكومة غادي تغير,gouvermenet will change
أنا قسمك كنت مشغول,I swear I was busy
شحال ديال الفلوس لي عندك؟,How much money do you have?
خالد ومصفا و 3اتيكا,khalid and mstafa and 3atika
كيعجبها ترفي,she like to entertain
ماخاصك ت درّس لحيوانات,You should not hurt animals
كايعجبني نتذوق شي حاجة جديدة,I like to taste new things
مع الفلوس ديال تيك توك,with tiktok money
قلتها ليك من البداية,I told you from the start
أنا غادي نعطيك عدّة ديال الجائزة,i will give you number of winners
عندي صداع,I have a headache
غادي ن غسل يدي دابا!,I'll wash my hands right now!
غادي يديرو ليهم شي ضربة,they will hit them hard
و كيفاش غادي نبدو؟,And what would I look like?
سمح ليا، كانقصد سفير,"Sorry, I mean Ambassador"
كانعاونك فشي حاجة ماشي الفلوس,i help you in everything except money
كيداير البنيت؟,how is the construction going?
بغات تقتل,she wants to kill 
الجناحات ماعناجوش مزيان,the wingers didnt defend well
عمرك جربتي تخصّص مع شي واحد لي كايهرب,Have you tried to befriends bums
نتحداك ت ترتاح فهاد البلاصة,I dare you to rest in this place
عطيني شي معلومات,give me some information
آه، هادشي,"Ah, that's it"
البط كايخلّف البيض بحال دجاج,Ducks also lay eggs like chicken
"و لكن كتعرفني, أنا كانطلب على الكوزية!","But you know me, I'm demanding on the kitchen!"
زومت,i zoomed in
أنا ماكانقراش,i dont study
كايبان ليك غادي نختّف?,You think I'm going crazy?
كولشي و جهد ديالو,everyone and its effort
كون غير قدرت نركز على ولادي,if only i focused on my children
أنا غادي تكون عندك مستقبل ناجح,hope you have a succesful future
هادشي لي فرحني,this made me happy
خاصنا المستمر,we need investor
ماخاصكش ليك البال,you don't need wealth
مابغيتش نفكر فشي حاجة,i don't want to think about it
واش كايعطيو شي كوييت,do they give a receipt
"أولا, تقدّم على البكالوريوس مجاني.","First thing, apply for a free baccalaureate."
نعس بزّاف ماشي مزيان,sleeping for a long time isn't good
شي واحد يقدم العروض,someone propose the offers
سد الباب ديال الحمام,close the bathroom's door
كول بنتي بحال,all my daughters are similar
خليني نمشي نتجول,Let me wander off
واش نتا متزوجة؟,are you married
واش البطروين كاف,is the petrol sufficient
واش كتبقى لي ختي عطلة؟,Do you think I should take a vacation?
كيداو نهارك؟,How was your day?
عمرك جربتي تحمي شي واحد,Have you tried to protect someone
أنا غادي نستفزّك,i will provok you
حيت واحد الأداة لي كاتسمح لينا نتواصل عن بڭيل بلا شي إشارة,Because an instrument allows us to communicate remotely without a signal.
و أش كون كنتي أسرع عليه,what if you were faster than him
علاش مابغيتيش تبني شي دار,Why don't you want to build a house
واش تقدر تصلح هادشي؟,Can you fix this?
شهر,month
كانجيبهم معايا ملي كانسوق,I take them with me when I'am driving
ماڭلت والو,i said nothing
إيلا جيتي,if you come
تانفكّر واش نسيخ حوايجي,i think of drying my clothes
تقدر تشوف معايا على شي واحد ديال المنتجات لي ماكايناش,can you search with me for cleaninf prodcut
واش نتا مزيان,are you good
ماتبقاش تڭول ليا,stop being silly
مالك رجعتي,why did you came back
كايشكون معاك,he plaining with you
سافرت ليكنيس,I traveled to meknes
الحياة بسيطة و مزيانة,life is simple and good
نسا هتا إخوين,you forgot that are you brothers
كنت في الحبس,i was at jail
مابقيتش باغي نخرج,I won't go out
أش غادي دير,what you gonna do
"سيمانة جايا, الخميس","Next week, on Thursday"
تڭلس هنا و ترتاح شوية,sit here and relax a little bit
سدّو الحوايج,spread the clothes
على 4500ده,for 4500dh
كايعجبني التاجين ديال البريكو,i prefer apricots tagine
تانفكّر واش نقّز من لفرقة,i think of jump off
سرقو جاكيتة ديالو,they stole his jacket
زيد عندي فريسبي!,Plus I have a frisbee!
واحد مرة كان عندي مشكل فمال,i did a time i had financial problem
ماعمرني ماشفتها,I haven't seen her yet
شوفي شكون كيقلب,look who knocks
عمرك جربتي شي قصة ديال الحب,Have you tried to a love story
العميل إمكان دوما يزيد شي طلب جاني إيلا بغاو,The customer can always add a side order if they wish
داكشي علاش كاتحسّ بلي كايكون فالمرد,that why u feel chocked
أنا مقتانع بلي الضحك هو أحسن دوا على أي نهار خايب,i'm convinced that laughter is the best remedy for any bad day
واش كنتي كاتسنا شي حد؟,Are you waiting for someone?
كانحس بالخناق,i feel suffocated
راه بدايتي كاتزعجني دابا.,You're starting to annoy me now.
نتا كاتعيش مزيان,you live nicely
كايحفر ف الكعب,digs his heels in
سد عينيك رمضان أجي,close your eyes ramdan come
عندي شوية ديال البسكويت,I have got some biscuits
راه طبيعي كايعسّر بكري ف النهار,It's normal. She sleeps earlier in the daytime. 
إيلا شفتي فيني,if you look at me 
قالت ليا نخرج,she told me to go out
غادي تبقى كاتسلم عليك حتا تجاوب عليها,she will keep calling you until you answer her
أوه، لا!,"Oh, no!"
كايعجبني الفلك,i love astronomy
باغي يقتلوك,they want to kill you
هو صيني,he is chinese
ماتخافش غادي يكون مزيان,don't worry it will be fine
كيداير الجو؟,How's the weather?
شحال كاين ساعات الخدمة عادية ف هاد البلاد؟,what are the typical work hours in this country?
عفاك خليوني,please leave me alone
ماتخافيش من الجمهور لي خاصك تفوز,dont be afraid of the fans you should win
كيفاش مع الحياة,hows with life
زادونا فالخدمة,they increased our pay
كولشي غادي يكون مزيان,everything will be fine
راك عارفة أشنو لقيت طونوبيل أحسن,you knwo what i found a better car
أنا كانسولي على صاحبي,i'm asking for my friend
واش هادشي صحيح؟,Is that right?
مابقيتش باغي نحيد هاد الميساج,i will not delete the messages 
وصف راسك ب تلاتة ديال لملات,describe yourself in three words
كنت سريع,i was fast
كيداير الواليدة,how is your mom
هادي هي غير فكرة,it's just an idea
و لكن فين خاصنا نمشيو إيلا?,But where should we go then?
عمرك جربتي تفرغ على قرار ديالك,Have you tried to overlook your decision
البارح كورس كان مزيان,yesterday the course was good
حسّان غريب,weird feeling
مابغيتيش تڭلس ف هاد لور,You don't want to gaze
يالاه نتفرحو فالحياة,let us enjoy life
ماكانقدرش,he couldn't
أنا جيت,i came
مشيت فشي واحد لفراري,i went in a run
ماعنديش حاجة باش نتحضر معاهوم,i dont feel like talking to them
راه كايبني دار,she boight a house
راه طريقة أخرى,another way
بلا ما تدير ليا الخوف,Don't act scared
أش كاتعرف دير,what do you know to do
كانت كارثة، ماكاين ليا تا واحد,"It was a disaster, nobody ever advised me. "
نتا خدام على مشروع ديالك بوحدي,you work alone on your project
بغيت نتعرف عليك,I want to get to know you
ديكة كايديها فم,a camel has thick mouth
بلا ماتقلق راسك على هادشي,Don't worry your head about it
ماعنديش مع هاد النوع ديال الناس,i dont like this type of people
هو فرحان,He is happy
أنا مريض,i'm sick
كيداورك واليديك,how parentes
هاهوا,here they are
نتا ملاكي ديالي,You are my angel
ڭلسّي هكّا نعاود ليك,sit there i will call you
عرض عليا,invite me
هادشي خايب,this is bad
لقّا ليك ناديّة ليلية ديالك,Find your own night club
على الله ماكانعرفش هاد نوع ديال البشرة,"On God, I don't know this type of skin. "
كايجيو عليا الكلاب بزاف,too many dogs surrounded me
بلا ما تحافظ عليه,Don't watch over him
قولي ليا أش عندك,tell me what do you have
مالك جبتي هاد المناقشة؟,why you bringing this discussion ?
كيف كايدير مع الخدمة,how are you with work
مزيان,good 
كانخدم ف شي دارة,i work in pharmacie
قيمة,invaluable
سمح ليا، لا.,"Sorry, no."
خليني نلقى ليك شهادة ديالي,Let me get my certificate
شنو نوع ديال لعبة كيعجبك؟,what's your favorite type of game?
أجي نتغدا معايا,come have lunch with me
كون غير قدرت ن دير بنت كايخايب,if only I could pretend i cheat
هي غادي تخرج هاد العام,She's graduating this year
كيفاش نقدر نمشي ل محطة ديال تران؟,How can I get to the train station?
كانوصلهم لدار و كانعطيهم عصير,I drive them home and give them juice
بنتك كترات,you daughter grow up
بلا ما ت تلتو معايا,without taking a picture with him
واش كادوي عليا,are you fooling me
خليني نبرزك,let me express
كايحترم الناس كبار,he respects old people
مشيت نستلم ديك لشي حاجة لي عطيتيها ليا,i did go to take the delivery you give me
حياتي ماعنديش حياتي,My life isn't a life 
سير لبس هادشي معطلا,go dress its late
"ديما خاصك تكون قادر على كتابة ديال الرسائل, تسين دوكومنت...","You'll always have to be able to write letters, sign documents..."
تانفكّر واش هاد البحر آمن باش تسبح.,I'm thinking if this sea is safe for swimming.
هي دازت,she withstood
ماعنديش ندير شي بلاصة,i don't have to make a post
ساعة,hour
ماكاينش ثقة,there is no trust
تقدر تكون مزيان ف الطابلة ديال الخلف تما؟,You might be better off at the back table over there?
علاش مابغيتيش تكوني ف علاقة حب,Why dont you want to be in a love relationship
واحد الكرسي غير لي خايب,just one chair available
مانضنش غادي يكون قاسح عليك,I dont think he will be severe with you
ماتفكرش بزّاف,dont think too much
ماتعسّش بزّاف,don't sleep too much
واش كاين شي نمرة,is there a number
سميتي لارفّي,My name is Laarbi
خليها بوحدها, leave her alone 
راه فيها سرطان فالمعدة,she have cancer in her stomach
مزيان.,Good.
خلتي درت معانا مزيانة,my auntie did us good
شوية,a few
كان كيسحاب ليا غادي يسرق تليفون,i thought that he grabbed a phone and stole it
عفاك، واش عندك لحليب؟,"please, do you have milk?"
خلو ليه فلوس,they took his money
خليوني غير غير,leave me alone
راه ماعندوش شي شي سلوك,he is not well behabved
أنا غير سولت,i just asked
سولني واش مازال بغيتيها,asked me if i still want it
تانفكّر واش نمشي ليهاد الحفلة,Do you think of go to this party
راه كايعاونني هاد الولد,this boy helps me
أشمن تقاليد هنا كايتبع فالعيدات الدينية؟,what traditions here are followed during religious holidays?
ماكانڭولش بزاف,i dont talk much
قاليا ليا الحلوى,he told me candy
هاك نتا,Here you are
هربت لولي,I lost my wallet
واش عندك بزربة,are you in a hurry
عندو سبابو,he has his excuse
ماعنديش لعب,I don't have toys
مابغيتيش تعاون مع صاحبتك تجيب ليها خدمة,You don't want to help your firend find a job
بلا ما تبحثي على الإجابات,Don't look for answers
دير لينا أتاي,make tea
قولي على خير,say okey
عيطيني,remind me
كاتبقى غير مسخرا,you are becoming rude to me
عندي بزاف ديال لخدمة,i have so much to do
راني كنت نڭلس دار ب البوليش,i cleaned my house with bleach
عندي دوخة,i'm dizzy
كاينين بزّاف ديال الطرق,there is a lot of ways
نتا صاحبي و عزيز عليا,you are my friend and you are precious to me
كانشوفها و كانحسّ بلي نضحك,I see her and I feel like laughing
تعطلي دابا,we are late now
أنا غادي ندير واحد الفرضية,i will make an assumption
أنا غادي نخلّيك تخلص هادشي,I will leave this for you to finish
هادي ختي و أنا كاتعرفها,this is my sister and i know her
هادشي كايعقل,this is mind blowing
دوري,my turn
علاش مابغيتيش تخيلني و أنا كانسبح,Why dont you want to picture me while i'm swimming
عيطني على البوليس,i was called into the police station
راني كنت سدّيت لسناني,i fixed my teeth
مابغيت تاحد يزعجني,I don't want anyone to disturb me
ماكانحسش مزيان.,I'm not feeling too well.
عمرك جربتي تعاود هاد الشركة,Have you tried to  boycot this company
شكون ليتو لي كاتحمل,which list
هادشي كايسدّع,this is a scandel
كنت فالجردة,i was in garden
بلا ماتشارك معاهوم,Don't participate with them
ماكانعرفش نقرا,I don't know how to read
تعطلي بزّاف باش تصيح, you are too late to yell
ضحكنا بزاف,I laughed so hard
لا,no
واش شفتي ناسّ كيفاش كايهدرّو معايا,did you see people how they speak to me
ماعندكش,you are lacking
هي مايقدرش تخرج دابا,she cant go out now
إمكن لاحق.,Maybe later.
