src,tgt
كيف غادي نصححها,how I'am gonna correct it
هادشي هادشي؟,"So, it's good?"
كنت أدرس في المدرسة الثانوية,i study in hight school
كون غير قدرت نراهن,if only i bet
علاش عندك؟,what are you allergic to?
هادتش أفضل مطعم,this is the best restaurant
راه أو ديال ديال ديال,or beige ones
واين هادشي ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,stop the work
خايت خطأ,I made a mistake
كان يتلاعب بها,he did manipulate her
راه بزّاف,thanks hon
كاناش خاشش ليه يقبض على السارق,i thought that  he will catch the robber
راهوا راه بزّاف بزّاف,they saw giraffes
غادي نمشي على دراجتي,i will go on my motobike
لأن هادشي ماعندني اشية,Because here I don't have a signal
عندي إقتراح لك,i have a suggestion for you
أنا غادي نجلب لك ماتريد,I will bring you what you want
هادي ليا سيّارة,bring the car
راه جشع,he's greedy
كنت في المصرف,i went to bank
يتآمرون معا كيلا يسمحو بهرب من المعلومات,They're plotting together in order not to let any of the information escape
ماكان الخطأ الذي قمت به؟,what's the mistake i did 
هاد المعلمة لا توضّح جيّد,this teacher doesnt explain well
راه سيرا ليك بزّاف,she will pass the phone to you
راه هادشي هاد هادشي,what are you doing here
هادشي ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,she's making a photo album
هادشي من اجلك,this is for your own sake
أشيّك بزّاف,I miss you a lot
هاد ليك بزّاف,you are from dust
كانفكّر غادي نديره,I think of tip him off
إخبريها بليلة سعيدة,tell her good night
ماشي أول مرة,not the first time
هادشي سيفهمها,this who gonna understand her
ماتفعله غير صالح,what you do is bad
لو كان الطلاب جاؤو,if the students came
ماقلقش ليا,don't worry about me
راه راه غير راه,he is a bit crazy dont mind him
خادي كيسك معك,take your bag with you 
أنا تحداك تكون ناجع مع أطفالك,I dare you to be fair with your children
مابغيتيش تخيّط لباسك,you should never sew your pants 
هاد بزّا بزّاف,OK OK.
أنا غادي نسأل العميل,i will ask the client
كم من الوقت تحتاج,how much time you need
علاش مابغيتيش تهدر,Why don't you want to swing 
علّقت بزّافها فذهبت لركض,she tied her shoes and went for a run
هادشي كل شي عندي ليقوله,that's all I have to say
بعض النسوة ساعدنني,some women did help me
غادي ننتظرك تدوّن فيديو,I'm waiting for you to make a video
راه غير طواريء,is he out of emergencies
راه هو من يبدأ,it's him who starts
نرغب بفيلمي,i wanna a selfie
سكّبت لبنة في الموقد,i spilled milk in the stove
غادي تهوم ديال ديالها,she will wet her place
على الإطلاق، خطّتي لتنتقلي إلى لاغويرا,"Not at all, you plan to move to Laguira"
مابقيتيش في سلام,You leave no one in peace
صحّح ليا سبورة,Clean the blackboard
أنا تحيا خالتك,I greet your my aunt
واش تهتّم ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,do you speak arabic
هو يحبها بزّاف بزّاف,he likes it very much
علاش مابغيتيش تفسّر ماحصل,why you dont wanna explain what happened
واش نسكن بزّاف معاق و مهوس بزّاف يفكّر فقط في ألعاب الفيديو و مانغا خاصّته,not to live next to a retarded and pimply-faced geek who thinks only of his video games and its Manga
أنا غادي نذهب نتعشى,I'm going to go have dinner
واش حاولتي تهدي لنفسك بزّاف,Have you tried to give yourself some rest
واش جربتي تشربي مع سكاكر,Have you tried to drink with drunkerds
أنا غادي ندير لاطفالك,i will look to your children
ماعرفه أحد,no one knew
مابغيتي نشوف ديال ديال ديال ديال,i want to see pinguins
واش نرسل من ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,send if from pc
أنا فقط مرّي بزّاف,I'm just passing time
راه راه كبير في شركته,he is a big cadre on his company
واين الغروب؟,Where does the sun set?
بزّاف بزّاف باش تلتقط صورة,you are too late to take a picture
راه!,Pretty please!
غادي غادي غادي بزّاف,take another page
راه كان في ميزانيّة الزبون,the price was well within the customer's budget
هيا، استمعي بزّاف,"Come on, listen carefully"
غير متأكدين,not sure
ماشي الجميع قولوها بزّاف,not everyone speak it well
عاودت السيّارة,i gave back the car
غادي تا غادي غادي نا نا نا نا نا نا نا نا نا نا,it helped secure the clean sheet
غادي تداعبني عندك,you will tired me with you
غادي نقطعها بزّاف كبير.,I cut it somewhat large. 
واش ماكان غير متشدد,without being too strict
أنا من أغادير,I'm from Agadir
هادشي هادشي,whats the type
واين هاد هاد الواك,where is the WC
راه!,Exactly!
غادي نستيقظ,i will wake up
علاش مابغيتيش تمشي ببطان, why you dont wanna  go in train
راه كان شريفا جدا,he was too honest
واش نوجد بزّاف,find an excuse
أنا عملت في الصيف.,i worked on summer
علاش مابغيتيش تهدي هدف,Why don't you want to set a goal
راه كبر مع جدته,he grow up with his grandmother
واش تاخدّر بنتك,you will harm your daughter
أنا كانفكّر غادي ندير فوتوغرافيا,i'm thinking of taking up photography
خليهم يغنيو اسمك,let them sing your name
أنا في انتظارك تتسلق الشجرة,I'm waiting for you climb the tree
غدّا أتي اليك,tomorrow i come to you
علاش تزين,why you sad
واشني غادي يكون غاليا واش نصلح,I think it is going to be expensive to fix
كاننّا غادي غادي نرحل!,i think i'm going to leave!
أنا أحب معاك,I like both
مابغيتيش تقاسي معاه,you should never be harsh with him
واش جربتي تزاوجين واختي نمشي من خلال التواصل الاجتماعي بدلا من ذلك؟,have you tried adulting but ended up scrolling through social media instead?
مانعرف كيف نستعملها,I don't know how to use it
رئيستي غير راضية,My boss is not happy
واش تبغي هينا نحملها,if you want henna bear it
توقّف الثرثرة,stop gossiping
واش غادي ندم نادرا هادشي هاد هادشي!,I find that sleeping can be quite efficient too!
ماكان من المفترض أن تمطر اليوم,it's not supposed to rain today
بزّاف بزّاف,bread with susages
كون غير قدرت نضيت بزّاف بزّاف,if only i grew faster
نتمنّى ماشي ماشي بحيوانات برية في الغابة,we hope there are no wild animals in the forest
هادشي,relevant
علاش مابغيتيش تفسّر,why you dont wanna explain 
ماشي تتعودي على هاد هادشي,you are not accustomed to this
ماشيش ترقية هاد هاد الأسبوع,there is no promotion this week
طريق مسدود,the road is jammed
كنا نشتري هاديّة,i wanna buy a gift
واش قال ليه ليه بنت,he never said he got a daughter
خجلان؟,are you shy ?
راه كم؟,guess how much ?
أنا غادي ندير شي ناكل,i'am preparing what to eat
واش ماكنتش بزّاف بزّاف,you don't look good
راه خادي ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديالها ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,my brother came
هاد البلدة فاسدة,this country is corrupt
ماكنت غاديها من عنقي,i didnt took it from my neck
هادشي بزّاف بزّاف بزّاف,He became a Buddhist
غادي نتكلّم معاك,well I'm speaking to you
أنا بزّاف بزّاف بزّافك,i need your goods
أنا غادي نديرك,i polie with you
ماكانش يأخذه بعين الاعتبار,don't take him into consideration
غادي تايهم واحد جربها,new tjhis one try it
واش شفتيك تزرق,when your lips get blue
غاديك الله,god helps you
و ما رأيك فتاي المفضل؟,And what do you think is my favourite subject?
نراك.,See you.
واش نحس باش الطاقم ماكانو بزاف بزّاف منهم,I feel like the staff aren't too many of them
تاخرت بزّاف بزّاف بزّاف جبل,you are too late to clim the mountain
افتحي النافذة,open the window
مابغيتي غادي ننسي غادي الباب,you should never forget closing the door
هادشي حلوّ، لكنّك تَعْرفُ ماشيشي عليه في سنّي,"That's sweet, but you know what it's like at my age"
علاش مابغيتيش مابغيتيش تجعلي عصير تاف,Why don't you want to make an apple juice
دريت ضلعا,i did a side hussle
ديال ديال ديال ديال ديال الهايبان,best coubtry is japan
متي تنجّي؟,when do you finish
أنا غادي نشتري الخضروات,i will buy veggies
خليني نرجع له ماله,Let me give him back his money
ماتش مانخلشيش راه واش نخدش بزّاف,dont lie its not good and be humble
مابغيتيش نضف نهارا آخر,i want to add another day
إمنحي نفسك بعض الوقت,give yourself some time
أنا خطيبك,I'm your fiance
خلينا نجمع على هاد الرّاف,Let's stock up on this shelf
خشيت أنك ذهبتي معه,i thought you did go with him
واش مادّة كانو بزّافة,second birth giving was good
المصعد على يمينك,the elevator is on your right
واين ذهب هادشي,where he gone now
غادي نبقو بزّاف هنا,yes just stay the night there
حاولت أن أصلح الطاولة ولكن لم أستطع,i  tried to fix the table but i couldnt
سيري لعمك,go to your uncles
حظك معها,lucky you with her
راه بزّاف بزّاف,he worth nothing
كونوا متفاطنين,be optimistic
كاننّي ظننّا أنّه غادي يهزّو مثلي,i thought that he will be nuts like me
تذكّر بزّافك,remember your friend
مابغيتيش تاديرو على الماء الهاداوي,you should never turn on hot water
هادشي بزّاف,go get mad
هاد هاد هاد هاد الحافلة نسير على واحد آخر,this bus is full we go on another one
ماشي غادي غادي غاديش,dont go to dust
بيناهم,between them
راه راه راه راه,the price is full
و أنت؟,And you?
الوقت مناسب لإطعام الحيوانات,It's a good time to feed the animals
كيف حال طقسك في محلك؟,how's weather at your place
ماشي هادشي,whats this mess
هادشي راه,i'm employed
أنا و العمل الدؤوب ولدو في نفس الوقت,Me and hard work were born at the same time. 
فقط استرخ,Just relax.
طبيبي أعطاني بعض الحبوب لتهدئتي ولكن لا يبدو أنها تعمل,My doctor has given me some pills to calm me down but they don't seem to be working.
صعيبة لكنّك غاديتي كلّ التعليمات مِنْ الطاقم لذا عَملتَ كُلّ ما تقدر عليه,It is difficult but you ve listened to all the instructions from the crew so you have done everything you can
راه يدرس في جامعة محمد,he studies at Mohamed 5 University
مابغيتيش تستأنفي على هاد القرار,You don't want to appeal to this decision
راه ليا فلم,i watched the film
هادشي حاجة,is this necessary
مابغيتيش تنتقدي شخص ما,you should never criticize someone
هاد المغني شعبي,this singer is popular
هاد بزّاف بزّاف بزّاف بزّاف,it's near a coffee shop
ديال بزّاف تاكل كلّ يوم!,"After all, ducks eat every day!"
ماتش ماطلبت منه,Don't ask him
أنا مكتئب قليلا,I am a bit depressed
ماهي أفضل طريقة لطبخ لحوم البقر؟,What's the best method for cooking beef?
القارورة ديال بزّاف,the bottle is tight
أنا غادي نحسّي نفسي,i only touch myself
راه راه راه,he is introverted
كانني فكّر لو كان بإمكاني صنع ثيابي,I think if i could make my clothes
واش راه هادشي,he is always like that
أنا يقظة,I'm awake
واش باش بزّاف و بزّاف,she looks simple and nice
جاين معاك بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف,bring with you the
مابقيتش ماساعده,i will not help him
ماقطعتي كيكة,Don't cut the cake
مابغيتيش ليا,you dont like me
مانضنشش غادي أطبخ لك,I dont think i will cook for you
سيروّي بزّاف,go straight ahead
غادي غادي غادي غادي هاد الوقت,forgive me i did call on this time
عانيو,they suffer
غادي الله أخا,inchaelah brother
زوجتك قصيرة,your wife is short
هادشي هادشي,okay i'm going
غير مسموح ليّ أن أقول!,I'm not allowed to say!
غادي في السماء,went on the sky
راهتك صباح اليوم,I saw you this morning
ناس جاين من مقهى,people coming from cafe
هادشي هادشي,areyou serious
كانت ليها لبرهة,i was her for a while
راه شرا سياره جديده,he has bought a new car
خرّاف ليا راه ليا,my hose hides me
مابغيتيش غاديش,you dont seem like a cheat
علاش مابغيتيش شري غادي,why you dont wanna buy junk food
راتب غير كاف,salary is not sufficient
قدرت ليا ماطلبتي مني ولكن مانستطيعش نلتزم هاد الوقت,i really appreciate you asking me but i can't commit to that right now
ديه صلصة حارة,he has hot sauce
الله غادي يساعدك,god will help you
مابغيتيش بزّاف بزّاف النّافدة,do you want a spot next the window
أنا غادي نعطيك نصيحة واحدة,i will give you one advice
مزّر بزّافك,wipe your tears
قل ليه,say it
هاد اللون ذهبية,this color is gold
واش تخونك ليا واش,are you fooling me or what
غادي ناغي بملابسي,im packing my clothes
مانفكّر مازال عندي بعض الماء في كيسي,I think I still have some hot water in my bag
أنا مدرس رياضيات,I am a maths teacher
غادي ترجعين الأسبوع المقبل، في نفس الوقت، في نفس الوقت؟,"You'll be back next week, same time, same time?"
غادي ندير ليا واحد شخص واحد,i paid attention to one person
هادشي كتبنا,These books are ours
غادي ديال العيد,tomorrow is eid
مع من تحب الخروج معها؟,with whom do you love going out with?
غادي دارس في الصّفّر,study in summer
راه بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف,you got harm
غادي شفتيك,Button your lips
مابقيت تبكّي يا مدام,dont cry madam
واش مسكينة، تمضي حياتها في وسط قديم، مُحبب و كبير.,"Poor thing, spending her life in the middle of old, frustrated and old."
هادشي,it's right here
غدّا غادي نسافر,tomorrow we will travel
ماشي ماشي حاجة باش نبقو هنا,there is no reason to stay here
علّمتك هاد الهديّة,i made you this gift
غادي ماجيبت غادي نجيب هاد هاد هاد هادشي,if I don't answer he keeps calling like this
تحداك على دعوة الهمجيين,I dare you to invite savages
راه ليا أطفال,they harm children
كنت في شجرة,i was in a tree
كان عندي قطتين,i had two cats
أنا غادي نعطيك كل شي عندي,i will give you everything i have
هاد الوقت معاك,this time coming with you
هادشي بزّاف بزّاف,the cost will be cheap
بزّاف بزّاف,too much confidence
علاش تسال,why you ask
واش باش بزّاف بزّاف بزّاف بزّاف,inscription for free
واش جربتي تاكل ليه,Have you tried convicne him
مرحبا,hello welcome
خليني نزيد الصوت,Let me increase sound
أنا غادي,i'm unlucky
عنده حس جيد من الفكاهة,He has a good sense of humor
واش تحبي الذهاب الى الميزنا؟,do you like going to museums?
كون غير قدرت نتكلّم معاك بزّاف,if only I could speak to you gently
فين نتبادل الارباح؟,Where can I exchange dollars?
متي ستتزوجها؟,When are you going to propose to her?
و إن وصلتك أي أفكار، لا تترددي في الاتصال بي مرة أخرى,"And if you ever get any ideas, don't hesitate to call me back"
ديال مع البيض و الطماطم,Omlette with eggs and tomatoes
ماندخل ولانذهب,dont come and go
ماعندنا مال,we dont have money 
كان المعلم قليلا غاضب.,the teacher was a little angry
كنت في انتظارك تبرد هاد الكوب من الشاي,I'm waiting for you to cool down this cup of tea
هاد الثيران مع الفاصوليا والبطاطا,That broth with green beans and potatoes 
تمتع بزّاف نهارك,Enjoy the rest of your day
عمرك حاولتي أن تختبئي من الشرطة,Have you tried to hide from police
هاد الكلب مابغيت ناكل,this dog doesnt wanna eat
كلا، ماكانو ينادونك باش آيميش على الاطلاق,No they don't call you Einstein at all.
هاد السهام، لكنّها جعلتنا نضحك مع والديّ,"It's silly, but it made us laugh with my parents"
غادي ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,gouvermenet will change
غادي نقسم نا نا نا نا,I swear I was busy
بزّاف بزّاف بزّاف عندك؟,How much money do you have?
خالدي و مستا و 3اطيكة,khalid and mstafa and 3atika
هادشي ترفّع,she like to entertain
مابغيتيش تاخد الحيوانات,You should not hurt animals
أنا أحب أن تذوّق أشياء جديدة,I like to taste new things
مع مال تيكتوك,with tiktok money
قلت لك من البداية,I told you from the start
أنا غادي نعطك عدد فائز,i will give you number of winners
عندي صداع,I have a headache
أنا غادي نغسل يديّ حالا!,I'll wash my hands right now!
راه غادي يضربو بزّاف,they will hit them hard
و كيف كان شكلي؟,And what would I look like?
واش تا نا هاد هاد السفّور,"Sorry, I mean Ambassador"
أنا مساعدتك في كل شيء ما عدا المال,i help you in everything except money
كيف حال البناء؟,how is the construction going?
واش تبغيها تقتيل,she wants to kill 
واش مادافعو بزّاف,the wingers didnt defend well
واش جربتي كي تكوني صديقة لزاف,Have you tried to befriends bums
تحداك ترتاح في هاد المكان,I dare you to rest in this place
زوّدني بزّاف بزّاف,give me some information
آه، هادشي,"Ah, that's it"
ديال ديال ديال ديال ديال ديال كدجاج,Ducks also lay eggs like chicken
لكنّك تعرفني، أنا مطالب على المطبخ!,"But you know me, I'm demanding on the kitchen!"
غادي تا غادي بزّاف,i zoomed in
مابغيتيش ندير,i dont study
أتضنّن أنّي مجنّن؟,You think I'm going crazy?
كُلّ كُلّ شيءَ وجهدُه,everyone and its effort
كون غير قدرت ن ركّز على أطفالي,if only i focused on my children
نتمنّى أن يكون عندك مستقبل ناجح,hope you have a succesful future
هادشي هادشي سعدني,this made me happy
حاجتنا ديال الميفاق,we need investor
مابغيتيش حاجة بزّاف,you don't need wealth
مابغيش نفكّر فيه,i don't want to think about it
ديال ديال ليا ديال ديال ديال ديال ديال ديال ديال,do they give a receipt
أول شيء، تقدّم ل البكالوريا مجانا.,"First thing, apply for a free baccalaureate."
النوم لزمن طويل غير جيّد,sleeping for a long time isn't good
شخص ما يَقترحُ العطايا,someone propose the offers
نغلق باب الحمّام,close the bathroom's door
كل بناتي متشابهات,all my daughters are similar
خليني نتجول,Let me wander off
واش كنت متزوجا,are you married
واش بزّاف بزّاف,is the petrol sufficient
تَضنّنّي أنا يَجِبُ أَنْ نَأخُذُ a عطلة؟,Do you think I should take a vacation?
كيف كان نهارك؟,How was your day?
واش جربتي تحمي شخص ما,Have you tried to protect someone
أنا غادي نديرك,i will provok you
لأن الجهاز يسمح لنا بالتواصل عن بعد دون إشارة,Because an instrument allows us to communicate remotely without a signal.
واش تا كتي كتي تااا غادي تااا,what if you were faster than him
علاش مابغيتيش بني بيت,Why don't you want to build a house
واش تصلحي هادشي؟,Can you fix this?
شهر,month
غادي غادي غادي تا غادي ندير,I take them with me when I'am driving
أنا قلت ماشي,i said nothing
واش تاتو,if you come
فكّرت في تجفيف لباسي,i think of drying my clothes
واش تقدر تابحّي ليا غادي نا,can you search with me for cleaninf prodcut
واش بزّاف بزّاف بزّاف,are you good
توقّف كون هادشي,stop being silly
علاش رجعتي,why did you came back
راه بزّاف معاك,he plaining with you
سافرت إلى ميكنز,I traveled to meknes
الحياة بسيطة وجيدة,life is simple and good
نسيتي هادشي ديالك,you forgot that are you brothers
كنت في السجن,i was at jail
أنا مانخرج,I won't go out
واش ماكانك تفعل؟,what you gonna do
واش باش بزّاف فاشّو بزّاف ديال بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف باش بزّاف باش باش بزّاف,"Next week, on Thursday"
واجلس هنا وارتاح قليلا,sit here and relax a little bit
واش ليا ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,spread the clothes
لـ 4500dh,for 4500dh
أنا نفضل على مشمش شالين,i prefer apricots tagine
فكّرت بزّاف بزّاف,i think of jump off
سرقو سترتة,they stole his jacket
زائد عاي ديك فرسبي!,Plus I have a frisbee!
كان ليا وقت كان عندي مشكلة ماليّة,i did a time i had financial problem
لم أراها بعد,I haven't seen her yet
راه راه,look who knocks
هادا جربتي قصّة حبّ,Have you tried to a love story
الموكبّل يُمْكِنُ أَنْ يُضّفّي شيّاف إن كانو يشاؤون,The customer can always add a side order if they wish
علاش هاداش غادي غادي,that why u feel chocked
أنا مقتنع أن الضحك هو أفضل علاج لأي يوم سيئ,i'm convinced that laughter is the best remedy for any bad day
هل تنتظري شخص ما؟,Are you waiting for someone?
وشعرت بالاختناق,i feel suffocated
بدأت تزعجني الآن,You're starting to annoy me now.
عايش بزّاف,you live nicely
هادشي بزّاف بزّاف,digs his heels in
قرّب عينك درّاج,close your eyes ramdan come
عندي بزّاف بزّاف,I have got some biscuits
طبيعي هي نامت مبكرا في النهار,It's normal. She sleeps earlier in the daytime. 
إن نظرتي ليا,if you look at me 
قالت لي أن نخرج معاها,she told me to go out
ستبقي ناديك حتى تجيب عليها,she will keep calling you until you answer her
أوه، لا!,"Oh, no!"
غادي نحب علم,i love astronomy
غادي يقتلوك,they want to kill you
هادشي بزّاف,he is chinese
ماقلقش غادي يكون راه,don't worry it will be fine
كيف حال الطقس؟,How's the weather?
ما هي ساعات العمل المثالية في هذه البلاد؟,what are the typical work hours in this country?
من فضلك اتركيني وحدنا,please leave me alone
مانخشي من المعجبين واش تربح,dont be afraid of the fans you should win
كيف مع الحياة,hows with life
زيّنوا راتبنا,they increased our pay
كُلّ شيء سَيَكُونُ جيّد,everything will be fine
كنت واش ليك واش وجدت سيارة افضل,you knwo what i found a better car
أنا غادي نطل بزّاف ليا,i'm asking for my friend
هادشي صحيح؟,Is that right?
مابغيتيش نمسحو الرسّالات,i will not delete the messages 
اشكّر نفسك في ثلاث كلمات,describe yourself in three words
أنا كنت سريع,i was fast
كيف حال امك؟,how is your mom
فهى مجرد فكرة,it's just an idea
واين نذهب؟,But where should we go then?
واش جربتي تا غادي ديالك ديالك,Have you tried to overlook your decision
واش بزّاف بزّاف بزّاف,yesterday the course was good
ماشي بزّاف ديال بزّاف بزّاف بزّاف باش بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف,weird feeling
مابغيتيش تاحدّق,You don't want to gaze
خلونا نستمتع بالحياة,let us enjoy life
مايقدرش مايقدر,he couldn't
أنا غادي,i came
مشيت في شوية,i went in a run
مانبغيضش نتكلّم معهم,i dont feel like talking to them
راه ديال ديال ديال ديال ديال,she boight a house
طريق آخر,another way
مابغيش خايف,Don't act scared
ماعرفتيه باش ندير,what do you know to do
كانت كارثه، ماكان أحد يعيرني.,"It was a disaster, nobody ever advised me. "
واش تعملي بوحدك على مشروعك,you work alone on your project
مابغيت نتعرف عليك,I want to get to know you
غادي غادي غادي غادي,a camel has thick mouth
مانقلق راسك عليه,Don't worry your head about it
أنا مانعجبني هاد النوع من الناس,i dont like this type of people
هاد سعيد,He is happy
أنا مريض,i'm sick
كيف الأبوّة؟,how parentes
هاهم هاد,here they are
أنت ملاكي,You are my angel
هادشي غادي نناديك,sit there i will call you
دعاني ليا,invite me
هادشي هادشي,this is bad
خايّر ليك نادل ليالي خاصّة بك,Find your own night club
على الله أنا ماعرف هاد النوع من البشرة,"On God, I don't know this type of skin. "
راه بزّاف غادي غادي غادي,too many dogs surrounded me
واش لا تحرسه,Don't watch over him
قل لي ماعندك,tell me what do you have
علاش تاتي هاد المناقشه,why you bringing this discussion ?
كيف حالك مع العمل؟,how are you with work
راه,good 
أنا عايشي في الدهان ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,i work in pharmacie
راه,invaluable
آسف، لا.,"Sorry, no."
خليني نجلب شهرتي,Let me get my certificate
ما نوعك المفضل من اللعبة؟,what's your favorite type of game?
كان ليا غادي غادي معاي,come have lunch with me
كون غير قدرت نتظاهر غادي نغش,if only I could pretend i cheat
هادي تخرجت هاد السنه,She's graduating this year
كيف يمكنني الوصول لمحطة القطار؟,How can I get to the train station?
قادهم ديالهم واعطيهم عصير,I drive them home and give them juice
بنتك كبري,you daughter grow up
بلا صورة معاه,without taking a picture with him
واش تداعبين ليا,are you fooling me
خليني نعبر,let me express
راه ناس شيوخ,he respects old people
واش غادي نا نا نا نا غادي تا نا نا نا,i did go to take the delivery you give me
حياتي ماشي حيات,My life isn't a life 
غادي تا غادي تا بزّاف بزّاف بزّاف بزّاف بزّاف بزّاف,go dress its late
غادي تكون قادر على كتابة رسائل، سجلاّت...,"You'll always have to be able to write letters, sign documents..."
مانفكّر فيه هاد البحر آمن للسباحة,I'm thinking if this sea is safe for swimming.
واش بزّاف,she withstood
ماكانعليّش ندير واش,i don't have to make a post
راه,hour
مامن ثقة,there is no trust
قد تكون أفضل حالا على الطاولة الخلفية هناك؟,You might be better off at the back table over there?
علاش مابغيتيش تكون في علاقة حب,Why dont you want to be in a love relationship
فقط كرسي واحد متوفّر,just one chair available
مانضنشش غادي يكون حامد معك,I dont think he will be severe with you
مافكّر بزّاف بزّاف,dont think too much
واش مانخلّي بزّاف بزّاف,don't sleep too much
هاد هاد رقم,is there a number
اسمي هو لاربي,My name is Laarbi
خليها واش, leave her alone 
لديها سرطان في معدتها,she have cancer in her stomach
جيّد.,Good.
خالتي كانت خيرا لينا,my auntie did us good
القليل,a few
كان ليا كان ديال ليا هاد هاتف و سرق هادشي,i thought that he grabbed a phone and stole it
من فضلك، هل عندك حليب؟,"please, do you have milk?"
كانو قد اخذو ماله,they took his money
خليني واش,leave me alone
راه ماشي غادي,he is not well behabved
أنا فقط سالت,i just asked
سالتني إن كنت مازلت بحاجتها,asked me if i still want it
واش تفكري باش ندير هاد الحزب,Do you think of go to this party
هاد الولد يساعدني,this boy helps me
ما هي التقاليد هنا متوالية خلال العطلات الدينية؟,what traditions here are followed during religious holidays?
أنا ماتش نتكلّم بزّاف,i dont talk much
راه ليا ديال ديال,he told me candy
هاد هادشي,Here you are
ضيعت محفظتي,I lost my wallet
كنت في عجلة من أمرك,are you in a hurry
راه بزّاف بزّاف بزّاف بزّاف,he has his excuse
