src,tgt
i dont think she fell today,مامتوقّعاش أنها طيح شتا ليوما
this is weird bread,تبقى هادي خبزة عجيبة هادي سوسيوط
if only i grew up quickly,كون غير قدرت نكبر دغيا
i wish there were no wild animals in the forest,كنتمناو متكونش حيوانات برية ف الغابة
he is important,عندو أهمية
Why don't you want to clarify the problem,علاش مابغيتيش ت ودّح لمشكل
this is not good for you,ماموالفش ليك هادشي?
the fridge is not available this week,تخفيد ماكاينش هاد السيمانة
the road was dirty,طريق كانت مزايرة
I want to get a gift,بغيت ناخد كادو
he never told me he had a daughter,ماعمرو قاليا عندو بنت
are you shy,واش كاتحشم؟
How much is it?,قلاع شحال؟
i dont eat,كانواجد ماناكل
my daughter is not there,بنتيلي ماشي تال تما
my brother came back from work,خويا رجع من الخدمة
this country is corrupt,راه دخل ديال هاد البلاد غير فساد
i took it,مني خديتيها مازوولتها معنقي
or my bag,ولا بودي
i'm talking to you,إوا أنا كندوي معاك
he gave her a gift,لي صباحا لليلو ماعطاها الخيرو
i don't like you,ماكانقش منك
dont answer him,ماتديش عليه
i'm new,جديدة هادي أنا مجرب غير لي بالكفتة كيفاش كاتسوبي هادي بالخضرا
when he is angry,ملي يزرقولك شلاقمك
my hand is good,ليدي ر ليفيها الخير
And what's your favorite subject in your field?,و أشناهو الموضوع لي عزيز عليا ف ناضارك?
see you,نشوفوك
I feel like work is not very good,كانحس بلي الخدمة ماكاينينش بزاف
you are too late to train,تعطلتي بزّاف باش تدرّب على تسالوق ديال جبال
he broke the window,فته الشرجم
you should never forget to close the door,عمرك تنسا تسد لقفل ديال دار ملي تكون مسافر
"That's nice, but you know how it's been in my age",هادشي زوين، ولكن راك عارف كيفاش كايكون هادشي فالعمر ديالي
Why don't you want to wash the apple,علاش مابغيتيش تعصر داك تفاح وديرو عصير
i took a bricolage,خديت واحد بريكول
the best country i lived in is japan,أحسن بلاد سكنت فيها هيا اليابان
he is asking,مع شال كاتسالو
i will cook veggies,أنا غادي نتقدا الخضرا
Let me give him back his money,خليني نرجع ليه فلوسو
But lying to him is forbidden,ولكن الكدوب عليه حرام الواليدة ماخلات مادارت ليا على هاديك النقطة و جمعت راسي
I'd like to stay with you for one day only.,باغي نبقى معاك غير نهار واحد.
give yourself time,عطي الوقت لراسك واحد شوية
i did you a favor,أنا خاطبتك
Let's stock this item,أجي نستوكيو هاد سلعا
you went with him,آه حسابلي مشيتي معاه
another child is better,الولادة تانية بيخير
the sensor is on your right,سانسور على ليمان ديالك
where is the problem,فين ماشا دب
you are there,آه باتي تما
I tried but I couldn't get the table to stand,واحا حاولت ولكن ماقدرتش نمشي نمنتي طابلة.
go call your uncle,سير تل على عمامك
I'm happy with it,سعدتك بيها
they are not good,ماكايسوا والو
always be optimistic,خليك ديما متفاءل
i thought that he will follow me,كان كيسحاب ليا غادي يتبعني فحماقي
remember your friend and he remember you,تفكر حبيبك وهواه تفكر في عيلو ونصاه
you should never be a sailor,عمرك تكون سحون و تلاح فالبحر ديخة
go watch hungry,سير تفرج جاع
we are going to be full,واه واه شحال عامر صافي نركبو في جاي
you have my clothes,عندك دخلي الغيس
"no, it's not between them",لا ما بيني ما بينها
there is a comprehensive education for all departments,راه تمان شامل لجميع الإدارات
are you ?,أنتي؟
this is a good time to eat animals,هادا وقت مزيان باش تواكل الحيوانات
how is the weather there,كيداير الجو عندكم تما
what is this noise,اشنو هاد جوقا
I'm a worker,أنا موظف
me and tara,أنا و تمارا تزيدينا قد قاد
Just relax.,غير رتاح.
my doctor told me to fix my clock,طبيب ديالي عتاني شي فانيد باش يكالميني ساعا بان ليا ما خدّامش
"It's hard, but you've heard the staff's instructions so you've done what you could.",راه صعيبة ولكن راه سمعتي لگاع تعليمات ديال الطاقم إذن راك درتي گاع داكشي لي في استطاعتك.
he is studying at the university of moslem,كايقرا ف جامعة محمد الخامس
You don't want to force this decision,مابغيتيش تستعنف داك القرار الصافي الحكم خايتبقى
i finished the movie,راني كنت كملت ل فلم
is this necessary,واش هادشي داروري
you should never criticize someone,عمرك ت نتقد شي واحد
this is a good singer,راه هاد المغني ولا عالمي.
there is a cafe,كاينة هدا واحد القهوة
"Alas, the ducks eat every day!",أصلان، البط كاياكل كول نهار!
without asking him,بلا ما تستفسر منو
I'm a little upset,أنا مكتاءب شوية
what is the best way to cook the meat,شنو هيا أحسن طريقة ديال طياب ديال الحم
how much is this ballot,شحال كيزيرو هاد القراعي
dont laugh,مايحك دهري غير دفري
he is limited with his family,راه محدود مع عائلتو
I think of taking my clothes,تانفكّر واش نقاد حوايجي.
he is always like this,عادي هو ديما هكدا
I'm up,أنا فيق
she looks like a normal girl,كاتباني ليا دريا عادية و دريفة
bring some leftovers,جيب معاك شي باقية ديال الأتاي
i will not help him,مابقيتش باغي نعاونو راه مسخوت واليديه
Don't make me a cake,بلا ما تقتع ليا كيكا
you don't care,نتي ماكاتهملينيش
I dont think i will make you angry,مانضنش غادي نتيب ليك ڭاعتيّب.
go to the shop,سير نيشان
i'm sorry i was tired,سمحلي إيلا عييت ليك فهاد الوقت
they suffer from many problems,كايعانيو من بزاف ديال المشاكل
welcome,إنشالله أخي مرحبا
he is short,لي مراتو قصير يفرح و يقول صغيرة
i'm on my way,صافي صافي هانا غادي
I have no right to say it!,ماعنديش لحق نڭول!
I'm flying in the sky,طرت في سما
i saw you this morning,شفتك هاد الصباح
people are out of the cafe,ناسّ خارجين من القهوة
are you talking correctly,واش كادوي بصح
i'm here,من قبيلا وانا هنا
he bought a new car,راه شرا تونوبيل جديدة و ساكت و شحال متواضع
you are a good boy,داري يا سترات عواري
your face is not clear,وجهكوم ماباين عليه غدر
Why don't you want to ask for food,علاش مابغيتيش تطلب ماكلة من زنقة
salaries go by month,الراتب كيمشيو على حساب الشهر
Thank you for asking me but I can't do it now,شكران حيت سولتيني ولكن مانقدرش ندير هادشي دابا
he is too tall,طول على حادر هو لي عندو الحريصة
god help you,ربي غادي يجزيك
do you want this place,واش بغيتي بلاصة هادا سرجم؟
i will help you,أنا غادي نوسيك وسيا ماتنساهاش
wipe your tears,مسحي دموعك
tell her,إوا ڭوليها
this color is gold,راه دهبي هاد اللون
are you yelling at me or what?,واش كاتريڭل عليا ولا شنو؟
the evening will be for collecting clothes,العشية غاتكون كاتجمع للهوايج
I think I still have some water in my bag,كانظن باقي عندي شوية ديال الما الدافي ف صاكي
I am a math teacher,أنا أستاد ديال الرياضيات
"Will you be back next week, at the same time, at the same time?",غادي ترجع سيمانا جاية، فنفس الوقت، فنفس الوقت؟
i took a look,رديت البال واحد سيد
this book is a good read,هاد الكتوبة دياولنا
tomorrow is eid,غدا العيد
why you need to go out,معامن كايجبك تخرج؟
study in summer,قرا في صيف
you ate it in your stomach,كليتيها ف عدامك
close your mouth,سدّ فمّك
don't ask me,ماتبكيش أمضامي
"Poor girl, she lived among the poor, the oppressed and the oppressed.","مسيكينة, دوز حياتها وسط الشرّاف, محرومين و شرّاف."
he is here,كاين هنا
tomorrow we have a trip with the school,غدا عندنا رحلة مع المدرسة
there is no reason to stay here,مكاين تا سباب باش نبقاو هنا
this gift is for you,هاد الكادو سوبتو ليك
"If you don't answer, they will always be like this.",إيلا ماجاوبتو كايبقا يصوني بحال هاكا.
I dare you to invite the wedding guests,نتحداك ت عرض على دوك الهماجيين را خايشوهوك فلعرس
they are attacking young children,كايتعداو على الدراري الصغار
this tree is good,هادي مودة شاف هاد الشجرة
i found two fishes in the street,ربيت جوج مشيشات لقيتهوم ف زنقة
i will give you everything i have,غادي نعطي كول ماعندي
you will go with us,تا راه الوقت كاتمشي معانا
you will get cheap,غاتقام عليك رخيصة
she is a bit too much,طيقة في نفس بعدا
i told you i'm asking,منيتك نتيا دابا كاتسولي
registration is welcome in february,مرحبا التسجيل في فبراير
Have you tried to coach a basketball team,عمرك جربتي تدرب شي فرقة ديال بسكيت
good luck,أهلا و سهلا
Let me add to the noise,خليني نزيد ف صوت
i feel like i'm sick,نحس طبعني
i didnt know,قشبتو وسعة
do you like going to the festival?,كايعجبك تمشي لمتحاف؟
if only I could talk to you,كون غير قدرت ن حاورك بشوية
where can i spend dollars,فين نقدر نصرف دولار؟
When will you propose to her?,إمتا غادي ت تقدّم ليها فزواج
"If he comes up with an idea, don't hesitate to listen to me again",وإلا عمر جاوك شي أفكار، ماترددش تصوني عليا مرة أخرى
the eggs are not matches,البيض وماتيشة
dont stay inside,ماتبقايش داخلة خارجة عليا
And we don't have enough money to go to the doctor,و ماعدناش الفلوس باش نمشي لطبيب
the teacher was a bit nervous,الأستاذة كانت معسبة شوية
I'm waiting for you to cool down the cup,كانتسنّا فيك ت برد ليا داك لكاسّ ديال أتاي
that's comfy with the lbia and the potato,ديك مريحة باللوبيا و بطاطا
Good day to you,نهارك مبروك
Have you tried to hide from the police,عمرك جربتي تخبا على البوليس
this dog you have,هاد الكلب عندك عطيها غا لنعاس
"No, you're not getting a good job.",لا ماكايعيطوش عليك اينشتاين گاع.
"It's ridiculous, but let's have a laugh with my parents",هادشي سخيف، ولكن خلينا ندحك مع واليديا
this is a mistake,راه هايكالي هاد تحير لي وقع فالحكومة
i didnt pray,واخا والله ماصليت
how much you have left?,شحال تلفلوس عندك؟
he is good and bad,جا خالد و مستفا موي و عطيقة
she loves to be active,عزيز عليها النشاط
you should not take animals,ماخصكش تقادي لحيوانات
i like to make new clothes,كايعجبني ندوق حوايج جداد
with your money,بفلوس تيك توك
i told you from the beginning,ڭلتها ليكوم من لأول
i will prepare a prize,أنا غادي نعدّد ليك شحال من واحد دا هاد لجائزة
I feel confused,كايدرني راسي
I'm washing my hands now!,غادي نغسل يدي دابا!
they will be all alone,راهبوحدو يفرشخون كاملين
how i will look,و كيفاش غادي نولي نبان
sorry i want to say travel,سمح ليا بغيت نقول سافير
i will help you in everything,نعاونك ف كولشي إلّا هادشي
how are you doing at work?,كيف دايرين مع الخدمة؟
the lady wants to kill her,سيدة راه بغات تقتل داكشي لي ف كرشها
but the second stranger is not coming back,ولكن الأجنبية الثانية مثانية ماخاترجعوش دافعو بزّاف
Have you tried to be a good person,عمرك جربتي دور بيك الشماكرية
I dare you to rest in this place,نتحداك ترتاح فهاد البلاصة
give me some information,عطيوني شي معلومات
"Yes, it's there",آه، هيا هاديك
eggs are white as chicken,البيض حتى هوا كايبيّض بحال دجاج
"But you know me, I'm too invested in food!","و لكن راك عارفني, كانتشرّط بزّاف فل ماكلة!"
i took a photo,زوميت على تصويرة
i'm not studying,أنا مكنقراش
Do you think I'm fooling around?,كايبالّيك أنا كانحماق?
everyone is working,كولا وجهدو
if only i saw my kids,كون غير قدرت ن قابل ولادي
you can,يزين يمكنك
this makes me very happy,هادش فرحني بزّاف
we need funding,خاصنا تمويل
you are not good,نتي ماخصك تا خير
I don't want to think about it,مابغيتش نفكر فهادشي
there is no reason,ماكينش موراها شي ريكو ولا شي حاجة
first thing is to give your father free rein,أول حاجة دفعي باك حر
sleeping is too bad,النعاس بزّاف خايب
tell us about the offerings we made,شي وحد إيڭولينا ل عروض لي درنا
close the toilet door,صد الباب ديال تواليت
my daughters are all like this,البنات عندي كاملين بهال بهال
Let me hit him with a round.,خليني نضرب بيه دورا.
is she married,واش ني مزوجة
see if there is a price,شوفي واش كاين السانس
Do you think I'm going on vacation?,تايبان ليك خص نشدّ عطلة?
what's your day like?,كيداز نهارك?
Have you tried to defend someone,عمرك جربتي دافع على شي حدّ
i will revise you,أنا غادي نستفزّك باش نرجع ليك سرف
Because it lets us communicate from a distance without a signal.,حيت علا كتخلينا نتواصلو من بعيد بلا إشارة.
you will be lucky,ويلا سبقتيه نتا
Why don't you want to make a business like you are a good friend,علاش مابغيتيش تبني شي دورة بحال سحابل كاملين ياكما مزير من ناحيت الفلوس
can you bring this?,واش ممكن تقد هادي؟
month,شهر
i'm driving the car,كانهزوم فتوموبيل
i told you something,ماڭلت ليك هيتا شي حاجة
you did come,لا مخيتي تا جيتي
I think of if they will give me my clothes,تانفكّر واش كرمو ليا لحوايج
can you check if there is a selde for the properties of the restaurant this week?,ت قدر تشوف ليا واش كاين شي سلد فلپروڤيات تنديف هاد السيمانة ?
i told you everything is fine,لهدك نتا هاني كلشي مزيان
stop understanding,باراكا من الفهمة
why did you come back,علاش رجعتي؟
he is just messing up with you,غير كايقشب معاك
i went to macina,و سافرت ل ماكناس
life is simple and beautiful,العيشة فيها بسيطة وزوينة
i forgot that you are pregnant,نسيتو بلي راكوم خوت
he was in prison,كان ف الحبس
i wont go outside,ماغاديش نخروج
what will you do,أش غادّير ڭاع
"next week, thursday","السيمانة الجاية, نهار لخميس"
sit here and relax a bit,ڭلسي هنا رتاحي شوية
you did the clothes,نشرتي الحوايج
4 500 is a big deal,4500دره والله العظيم
I prefer Tajins with sparkles,كانفضل الطاجين بالبرقوق
I think of getting better,تانفكّر واش نقّز من هاد درجة
they bought my jacket and the pencil,شفرو ليا جاكيتة ديالي وست القصم
I have a fresh one!,زيد عليها عندي فريسبي!
its been a while and thanks be to god the band has suffered some problems,موراها دوزت مودة و الحمد لله واقع شي أعوام لفرقة دازت بشي مشاكل مادية ولكن دحينا بفلوسنا على قبل الفرقة
i didnt see her yet,لا مازال ماشفتها ڭاع
look who is laughing,شوفي شكون كايدق
Have you tried to tell a love story,عمرك جربتي شي قصة حب بحال أهدي
the client can always increase the demand,الكليان يقدر ديما يزيد طلب جانبي إيلا بغا
In summer you feel exactly like it.,بصيف تحس بالضبط.
i'm convinced that laughing is the best medicine for a bad day,أنا مقتانع أنا دحك هو أحسن دوا لازمن نهار خايب
Are you waiting for someone?,واش كتسنا شي حد؟
i feel choked,تانهس براسي مخنوق
You started making me sick right now.,بديتي كاتمرّضني دابا.
he lives with us,عايش معانا بيخير
take the cigar,شدّ الزكير
close your eyes,خمد عينك ها رمضان جا
I have some biscuits,عندي شوية ديال البسكويت
i sleep during the day,عادي هيت ناعسة بنهار
i will look at him,لي هدر كانطرتق فيه عينيا
she went to get everything out of the house and she started asking about me,بقات هتا خرج كلشي من دار و هيا تبدا تسول فيا
she will be quiet until you answer her,غاتبقى تصوني حتى دي جاوبيها
Oh no,أُه لا
i like this photo,كايعجبني دكشي ديال الفوتوكي
the people you came from want to kill you,ناس لي جيتي من عندهم بغاو يقتلوك
It's Chinese.,راه شينوي.
don't be afraid she's fine,متخافيه هي غا تولي بخير
how is the weather?,كيداير الجو؟
how many hours is this country,شحال من ساعة ديال لخدمة مقرين فهاد البلاد؟
leave me in the plane,خليني عليك ف الطيار
dont throw your stuff in the sky,ماتخلعوش ماديوهاش فاشنو كيڭول العالم
he is working,كيداير مع خدمة
they added us to the salary,زادونا ف الخلصة اليوم
"yes, it's better now",آه إوا يكون خير خلاص
you know what i did,عرفتي شنو مابقيتش شاريحة درت على بزّاف تنوبيلات و للطبيقة كاين من حسّن
i'm asking a friend,كانسول ل واحد صاحبي
is this what is happening,واش هادشي لي كاين
i will not erase the messages,مابقيتش باغي نمسح دوك لميساجات
describe yourself in three words,وصف راسك ف تلاتة ديال كلمات
i rushed a lot,زربت بزاف
how is your mom?,كيبقات ماماك؟
just a good idea,غير فكرة وصافي
But where are we going then?,و لكن فين غانمشيو إذن?
Have you tried to reduce your poverty,عمرك جربتي ترجع الفقر ديالك
yesterday was a good lesson,الباراه كان درس زوين
first time feel this way,أول مرة نهس بهادك الشعور
You don't want to make me angry,مابغيتيش تمأني ملي جاتك الخاص
let's live life,خلينا نعيشو الحياة
i cant,ماقدرتش عليه
he came,ياله جيت
i went to work,مشيت كنجري
he isnt able to talk to them,مافيا لي يهدر معاهوم
she built a house in a nice garden,خرات واحد دار في جنان خاير
different way,طريقة مختلفة
without the manager,بلا مدير فيها مخلوع
what do you know,أش كاتعرفي ديري
i was a karate student,كانت كاريتا و عمر شهيد نساهني
you work alone,كاتخدمو بوحدك على الماخروع
i want to confess to you,بغيت نعترف ليك
The cat has a big mouth,الجمل عندو فيم كبير
dont worry about it,ماتعمرش راسك ب 8ادشي
this type of people is what we dont like,راه نوع ديال هاد الناس هو لي ماعدناش معاه
he is happy,هوّا فرحان
I'm sick,أنا مريضة
how do you do with your kids?,كيدايرين الوليدات؟
they are,هاهوما
you are my king,نتا الملك ديالي
please just sit down and we will do some research,يالله تفضل ڭلّس لهيها أنعمرو غير شي دوسّيات و نجيو عندك
you still trembling,بقا ترعد عليا
sorry i'm a denier,اللهم إنا هادا منكر
turn on your bar,قلب على البار ديالك
this is a human being,هاد نوع ديال بشرا أنا والله ماعرفتها
there are many dogs,راه مجموع عليا بزّاف ديال لكلاب
Don't stay mad,بلا ما تبقا مجبلو
tell me what you have,ڭوليا أشنو كاين عندك؟
what did he do to this talk,أش دانا لهاد لهادرا?
how are you going with work,كيف غادي مع الخدمة
god help you,الله إيتيك ساها
I work in a pharmacy,أنا لي خدامة فالفارماسي
he has no trust,ماعندو تمان
"Sorry, no.","سمح ليا, لا."
Let me revise my diploma,خليني نوجدد ديبلوم ديالي
what kind of games do you like?,أشمن نوع ديال الألعاب كايعجبك؟
i had lunch,ودوز عندي تغدا
if only I could show off in a good way,كون غير قدرت ن تظهر بالخينة ولكن را ماعنديش باش
you will graduate this year,غادي تخرج هاد العام
where can i go to train station?,منين نقدر نمشي للمحطة ديال التران؟
they went to the house and gave them juice,ديتهوم لدار عطيتهوم العصير
your daughter has grown up,بنتك كبرات
Don't take pictures with him,بلا ما تسوور معاه
are you talking about me,واش كادوخ عليا؟
Let me pass,خليني نعبر
he respect people,كيحترم الناس لي جبر منو
i took this one last week,مشي شديت هاديك لمانا لي سيفتي
my life is not life,حياتي ماشي حياة
go dress up he went to the hall,سير تلبس راه مشا لهال
"You'll always have to write, listen and sign up...",غادي يخاصك ديما تكتاب رسائل وتصني وتعاقدات...
I'm thinking if this beach is allowed,تانفكّر واش هاد لبحر مسموح فيه لعومان
she will be happy,لحرا إيلا سبرات دارها عمرت
without post,بلا ماندير بوست
what time,ساعة
my wife is not strong,أودي راه مابقات ثاقة
Maybe you'll be more comfortable at that expensive table?,إمكن غاتكون مرتاح حسن فديك طابلة لور لعيق؟
Why don't you want to get involved in a romantic relationship,علاش مابغيتيش تدخل فشي علاقة ديال الحب
the chair is empty,غا كرسي واحد لي خاوي
I dont think he will argue with you,مانضنش غادي يشدّد معاك غير شوف
don't laugh at them,ماتهزيش لهم
don't sleep too much,ماتنعسش بزّاف
is there a number for the hospital?,واش كاينا شي نمرة كايعيطو فيها السبيتار؟
my name is arabic,سميتي العربي
leave it to her luck,خليوها على خاطرها
she has a brain injury,عندها ورام في المخ
Good.,مزيان.
if only you left us,كون ما خلتي لي لقينا فيها الخير
a little bit,شوية
i thought that he will answer the phone,كان كيسحاب ليا غادي يشفر داك ديري ملي كان هاز تيليفون
do you have milk please,عفاك واش عندك الحليب؟
he gave him his living,داو ليه رزقو
leave me alone,خليني بوحدي
he is nice,مايهدر فناس غير المسالي و قليل الطرابي
just ask you,غير سولتك
4 she told me to leave her alone,4الت لي واكس باقة باحا
I think of making this offer,تانفكّر واش نحدر ل هاد لعرضة.
this boy is helping me,راه كيعاوني هاد الوليد
what are the traditions they follow here after religious festivals?,أشناهوما تقاليد لي متبعينهوم هنا مورا الأعياد الدينية؟
i dont have a lot of money,ماعنديش معا كترت الغا
he told me you want to do nothing,قاليا بغيتي بيمو مابغيتيهش الباب الحباب
you are,هانتا
he asked me to buy a ticket,توضّر ليا لبزطام
