darija_ar,translated_eng
حيت ماغاديش إكون عاديل لتولاب لاخرين,Because I'm not going to be fair to others
خرجوه من لخدما,he was fired
واخا,well
واش بغيتي ضويوف ديالك يخالسو ماكلتهوم ولا غادي تخالاس نتا كولشي?,Do you want your guests to eat or do you want to eat everything?
طبوزي,I'm sick
لجو زوين ليوما,The weather is good today
أُ شحال هادا باش نتا مكلّف?,And how much would you charge?
واش عندك نمرتو?,Do you have a number?
كان عليك تمشي,You should have gone
مفرڭع!,It's a mess!
عافاك ڭلس,Please sit down
كانحسّ براسّي بحالا خانخيب,I feel very disappointed
كاينا شي كليما فهاد لبيت?,Is there a word in this house?
أُنتي?,Where are you?
حل لباب,open the door
واش كايلعاب لڭولف معاك,Does he play golf with you?
هادشي ماخدّامش,this doesn't work
غاير,Not really
"راها أُغنييا ديال لسي ڭور من الستّينات, خاساك تسماع ليها ف يوتوب","It's a song from the 60s, you can listen to it on YouTube"
غير كامال أُ ماتهدارش بزاف,it's perfect and not very expensive
"همّم, تسانا حتا نخارجو برّا","Well, we'll also go outside"
ماشفتينيش,you can't see me
فلواقيع إقدار إكون هادا حال مزيان,I think it's probably in good shape
ساليت شقا باش نمشي نقسر داما معا سحابي,I'm just about to go for a walk with my dog
مها تيبات ليها واحد تاجين وا بنين,She has a crown and a crown
أش ڭلتي,I'm late
شوف لجانيب لموشريق,look on the side of the window
"مزيان ملي شفتاك, تانتا","Nice to meet you, Linda."
عندي واهد الصوت مجههد.,I have a very loud voice.
وايلي?,What?
هادشي كايطامأن,That's a relief
مومتاز!,It's amazing!
خاسّني نعتادر علا...,I need to take care of...
عندي ساحبي فمجموعا موسيقييا,I have a friend in a band
موءخّاران صافرنا ل أروپّا,We've been lucky enough to travel to Europe
نوبتك,your turn
فين مشيتي?,Where did you go?
أوال ريحلا ليا لبرا!,I'm going to the beach!
مابانش ليك كيفاش تيكنولوجيا بدلات تاريقا لي كانتواسلو بيها ?,do you remember how technology has changed since it was used?
غانمرض!,I'm sick!
اندهوم,I'm sorry
هادوك الرجال كايهدرو بل أنڭلايس,These men speak english
ماعرفتش,I don't know
"واخا, ڭولييا علاش جيتي لهنا","Well, tell me why you came here"
"أُ إلا عمّر جاوك شي أفكار, ماتردادش تسوني عليا مرا خرا","And if you have any ideas, don't hesitate to ask me about another one"
ماتحلش لباب,don't open the door
عندو قيما,it's worth it
فين وصلتي ف الديسير?,Where did you get to the desirable?
باينا كان نهار سعيب بزاف,It was a very difficult day
ماتڭولش هادشي لحتّا واحد,don't say that to anyone
شي حاجا وسلتي ليها و فاخور براسّك بسبابها ?,Something you've got and you're proud of it?
جاميل!,Jamil!
"واخا, غادي ناخود لحوت أُ شيپس فلوول أُ غادي ناخود لبورڭر من باعد","Okay, I'll take the fish and chips first and I'll take the burger later"
معاك نتا ديما هير واحد ل إتّيجاه,with you always have a good one to catch
مبروك عليك الترقييّا,congratulations on your promotion
"سمح ليا, كانضنّ عندي نمرا غالاط","I'm sorry, I think I'm in the wrong place"
كايتعلم واحد لوخا جديدا,You're learning a new language
ڭاع أفكاري عامرين بيك,I'm thinking about you
قبل ماتبدا,before you start
عندي توحيما,I have a dream
إنا موسيقا كاتفكرك فسخرك ?,is music your favorite song?
كانشوف بلي راك متخاساس!,I see you're getting tired!
أنا ديما طالعا ليا لقردا,I always have a monkey
أحسن مادّا عندي هييّا لماط,I'd rather have a mattress
سير تنازاه تاحت شامش,walk under the sun
واش عارف فين ناقدار نالقاها?,Do you know where I can find it?
إسلاح ديال ديور زوين,The furniture is beautiful
دوّز يدّيه علا شعرو,He put his hand on his hair
كاتڭوليك ديما شنو دير أُكيفاش ديرو?,do you always tell me what to do and how to do it?
تاقافات جديدا,new clothes
كانضن بلي كانخادمو بشاكال مزيان هنا,I think they're working very well here
جرّبت ب تيليفوني ساعا تاهووا مافيهش رسو,I tried my phone for an hour and it didn't work
كانضن حسن أنّاك طلب الصحاب إجيبو قارعا,I think it's good that you ordered the friends to get it quickly
نشوفوك أ خونا,"See you, brother"
سافي نسا كانتفهم,I'm sorry I miss them
وا أُ دوك ل كوادووات اللي عطاونا?,And what about the gift cards we received?
راه دازت تلاتا ديال سوايع,It's been three hours
"وايه, مزيان تدير شي حاجة من غير لفراجا ت تلفازا","Yes, it's good to do something outside the TV set"
نافس لحاجا,I'm fine
ماعمّري شفتك من داك النهار,I haven't seen you since then
أشنو لي كايعجبك ملي كاتينسپيري لجومهور بلعب ديالك ?,What do you like about the way you play your game?
وا راه عشر سنين هادي,It's been ten years
تلّافت تريق ديالي,I lost my way
والاكين ڭلتي لييا بلي مشيتي فشاهر لعاسال!,But you told me you went to the moon in the sun!
واش عارف شحال كايسوا?,Do you know how much they are?
أنا ماتءكد أناك كنتي غادي تستامتاع بيه!,I'm sure you'd enjoy it!
هادي أوال مرا غادي نسافر ف طيّارا أُ مامتأكدش أش غادي نمتواقع.,It's my first time traveling by plane and I'm not sure I'm going to be able to stay.
أنا حمق,I'm an idiot
السبت مزيان,Saturday is good
كاينا شي حاجا ماشي طابيعييا ف جيسم كبير أُ تقيل لهاد داراجا معلّق فسما,There's something unnatural about a large body and it's called a hanging chair
"واش مومكين ليك تزيدني شويا تلوقت, ڭول شي جوج سيمانات هاكّاك?","Can you give me a little more time, say, two weeks?"
علا قبلك,I'm looking for you
"ليلأساف, مافهامتش لجوملا لاخرا, مومكين تعاود تشرحها لييا?","Sorry, you don't understand the last sentence, could you explain it to me?"
توحشت لييام ملي كان لعب فشتا موخامارا شي حاجا,I remember the day when he was playing in the weather and it was a good thing
"وايه, طهلّا","Oh, yes, it's a good idea"
والاكين كانخدام كا موهانديس فماوقاع كبير,But I've been working as a mechanic for a long time
صافي داكشي لي غادي ندير أُ من بعد غادي يخصني نمشي نسربي ل كليان لي يالّاه جا دابا.,I'm just going to do it and then I'm going to have to go to the kitchen and get it right now.
دارت خاتاء ماتباعي,I did a good job of my own
غانمشي ل طانجا,I'm going to the beach
كانضن بيلا موضحيك,I think you're right
مابغيتش نموت هنا,I don't want to die here
شهر عشرا,December
باين لييا خنربي شي حاياوان,I think I'm drinking some animals
أه والاكين ولات موميلا,"Yes, but it's a very interesting idea"
بغيتي تاهدار عليه,You want to pay attention to him
نتي هيا لي كاتبان بلي ماتواتّرا ديال بصاح.,I'm just looking for the car to fly in the sun.
كانفيق عييّان,I'm getting up
مرحبا بيك فأي واقت,Welcome at what time
ردّ لبال,return the phone
شحال فساعا,what time is it?
شكون كادن كيعرفك مزيان ?,Who do you think knows you well?
واش نقادرو ناخدو لفلوس ديال لعوطلا ليحتينا,Can we take the hotel money for the wedding?
كانحتارم راسي,I'm keeping my head
لخميس,Thursday
عقلتي كيفاش كنا كانتافقو باش نديرو روينا و سبيوها ف لكلاب ?,I wonder how we agreed to do our routine and put it in the dog?
غادي نكون تمّاك فلوقت,I'll be a regular in time
"أه, راه واضيفا زوينا","Yes, it's a beautiful guest"
أنا مافياش جوع بزاف ساراحا,I'm not hungry anymore
مورا لبانكا.,Go to the bank.
تجريبا جاهنّاميا,The experiment is very technical
واش باقي بيخير هنا?,Is it still good here?
أنا دايرين بيا غير ليماشي أكفاء,I'm doing it but not enough
مرحبا بيك,welcome
ماكانخطاطش نعراد علا ماليكا ديال إنڭلاتيرا,I don't plan to have an Englishman
واخا,well
واش نتا توريست?,Are you a tourist?
أُبلا ماتزيد عليها,No more
ماكانشوفش راصي رابّات بايت,I don't see the head of the racket
كيفاش كاتخلي لسوحبا دايما ?,How do you always go to the gym?
ها ها ها!,There it is!
لا هانيا,"No, no, no, no!"
ماجبتش نوقطا مزيانا,don't get a good time
واش كاتعراف إلا كانت شي قاهوا قريبا من هنا,Do you know if there's a coffee shop nearby?
التيشورت جاه صغير بزّاف,The shorts are very small
واش كاتفهم?,Do you understand?
بنت وحدا,an only child
غادي نقاد لحالوا,I'll be right
"باش تعيش هاد ناوع ديال تاجريبا بوحدك, خوسوسان كا درّي سغير, مازوينش بزاف","To live this business life alone, it's a small, not very big deal"
وا شحال كبير هاد لحانوت,And how big is this song
أنا مقتانع بلي داحك هوا أحسّن دوا ل أي نهار خايب,I'm convinced that this is the best remedy for any bad day
سمح ليا,I'm sorry
غادي يبغي يعاونك,He'll be happy to help you
واش 9 تلّيل هادي?,Is it 9 times that?
إوا أُنتا?,Are you?
غاناخود نفس لحاجا,I'll take the same thing
ماغاديش نصدعك ڭاع.,I'm not going to scare you.
"ألا كان هوا اللي صيفتو باش إصاوبو, إقدر تكون شي حاجة ساهلا","If it's the summer to cook, it could be something easy"
كانحاسّ بحلا كانشوف جوج,I feel like I'm seeing two
ماكنتش بغيت نموت هنا,I didn't want to die here
"أُه, أه","Oh, yeah"
أشمن كوككتايل بغيتي?,Which cocktails do you want?
سالات لييا شارڭ ليلأساف,I'm sorry for the snake
عندي,I have
ماشفتكش مودّا هادي,I haven't seen you this long
"أُه, لا, هادشي مايمكنش!","Oh, no, that's not possible!"
"وايه, هاد لجتيماع هنا, غايكون صعيب نديروه","Yes, this group here, it's going to be difficult to get into"
واش نتا جديد فهاد لحاي?,Are you new to this life?
عقلتي فاش كنا كانداربو علا شكون أياخود أخير ترف ديال پيزّا ?,Did you think we were talking about the last piece of pizza?
علاش ماعندهومش صكوتّيسه وهيسكي?,Why don't they have his cookies and his whiskey?
كاناخودها بزاف تلمرّات,I take it a lot of times
أنا غادي غدّا,I'm going tomorrow
من أشمن عاصر?,What time?
ساهل توصل ليه,easy to reach
واش تقدري تعاوانيني عافاك?,"Would you excuse me, please?"
لماحال عتا كرتات لكليان لقدام,The store has two tickets to the store
واش سافرتي بزاف?,Have you traveled a lot?
أنا محتاج هادي باش نوصل تمّا غدّا,I need this to arrive tomorrow
متكّي علا لفوتوي,I'm lying on the couch
أش خسّني نلبس?,what should I wear?
درت كسيدا,I've done it
بغيتي نجيب ليك شي حاجا?,Do you want me to bring you something?
نسيت ماخلّصتش لويفي,I forgot I didn't have to wait
بغيت نقرا شويا,I want to read a bit
فلواقيع بغيت,I really want to
"غانبدا بل بسباس, كاياخود لوقت","I'll start with the bass, it's a good time"
خرج يتمشّا,he went for a walk
كانعيش ف ميصر,I live in Egypt
لاهوما نمشي علا نبقا,I'm going to stay
إمكن شوييا ديال ريمايا أُ شتيح مبرهش,Maybe a little bit of a rummy or a little bit of a frying
كانخدم بنّهار,I work during the day
"كولشي غادي يكون مزيان,","Everything will be fine,"
بعّد منّي,get away from me
"لبارح, شربت أتاي بلا سكّار.","Yesterday, I drank tea without sugar."
ماعندي مانڭول,I don't have to tell you
دراري تقدرو تمشيو فين ما رشقات ليكوم,I'd like to see you go where you're not interested in me
كنت غادي نجيب ولادي من لمدراسا,I was about to bring my son from school
كيفاش كاتقدر ترجع حسّن مورا ما كاتوعت ?,how can you get back well after you've been on a diet?
فاش كاتفكّر?,What are you thinking about?
مريڭل,Tuesday
مسافر علا ود لخدما ولا عوتلا?,Traveling for work or work?
"أُه, تايبالّيا الضياف اللوولين جايّين","Oh, the first guest arrives"
كي غاديا ل أُمور,who is going to the office
پول كايقرا لهنداسا لميعماريا,Paul is studying architectural engineering
عطيني داك لمقصّ,Give me that scarf
راه طابيعي يكون عنداك شوييا ديال ضاغت فبلاسا سغيرا بحال سانسور,It's normal to have some kind of pressure in a small space like a sensor
كيف دايرين معا لخدما?,How do we do business together?
تطريق مسدودا,the road is closed
أُ من فوق هادشي لجوو يقدر يخسر.,And then there's the amount that can be lost.
مولاتدار,a business
كاينا كاندووّزو بزّاف تلوقت كانتفرّجو ف تلفازا,I've been spending too much time watching TV
واش نتا من ميريكان?,Are you from the United States?
"منين ضارت, ماعرافت حتا حاجا","When it hurt, I didn't know anything"
هادا التاريخ ديال حياتي,this is the story of my life
الله إمسخك,God is angry
أُ يالّاه لسّق يدي ف تبلا فلحيسّا ديال تافاتّوح لفانّي,And then I'll just put my hand in the bath with the open water
فحالي فحالك,Now it's you
"إلا سيفتّي مسّاڭ لسيكريتيرا, غادي تعلمهوم","If you give your name to the secretary, you'll let them know"
"لقهوا, هييّا اللي محتاج","Coffee, it's what you need"
عاجبو راصو بزّاف,I love the hair too much
"واخا ناسّ اللي خدّامين هنا مزييرين, علا قبل سيكيريتي, كاتبقا عالاقتك معاهوم مزيانا?","So the people who work here are very good, besides security, keep you in good company with them?"
ليبوط ديالو كانو مغطّيين ب لغيس,His shoes were covered in tongue
ولّا بودي,And maybe you
واش كانتي تما نتا?,have you been there?
تسباح علا خير,Good morning
علاش ماكاتبغيهش?,Why don't you like it?
ماغاديش تكون طويلا,You're not going to be long
دقّا دقّا,Just a minute
"اللا, ڭولتي غادي تاخد معاك لباوصالا.","No, I said I'd take a bottle with you."
"إلا كان النيضام قديم أُ فات عليه لوقت, فا هادا راه موشكيل ديال مووادافين عندك, ياك?","If the recipe is old and out of date, then it's a problem with your friends, right?"
واش إمكان لييا نشوف التا لاإحا ديال لماكلا,can I see the menu for the meal?
"واخا, مومكين نحاولو ناعرفوه بجوجنا!","Well, maybe we should try to find out ourselves!"
كيقرا كتاب ديال خليع,he reads the travelogue
"أُه, أه, غادي نديرها","Oh, yeah, I'll do it"
كاين لما ولا لعاسّير,there is nothing to do
جابها,I'll take it
أوّل مرّا نصبغ شعري,first time I cut my hair
هادشي موهيمّ.,That's interesting.
طابعان راه مكتاءب!,The prints are really good!
"ليلأساف, مرّا خرا","Sorry, sometimes"
خاساك تقدّمني,I want you to introduce me
بغيت نهاجر,I want to move
جيت بلحالوا,I came in the morning
أنا كنفادال باباغاء ب لواشم,I'm talking about the smell
قطّعت شاعري,I've done my best
أشنو كادير ف خدمتك ب دبت?,what is your job in the office?
الداريجا,the drawing
تلبت كريدي من لبانكا,I got my credit from the bank
يالّاه نتغدّاو !,Let's have lunch!
كانخادمو هنا,He works here
ماعمر لوقت مايفوت,I don't miss the time
"لا, ماعنديش دار ف لميريكان","No, I don't have a home in the US"
سمعط بلي عندك معا الطياب,I'm sorry you have the kitchen
مازال ماشفت ل أُستاد تل فيزيك,I'm still watching the physics studio
أه عندي حتّا لميمحات ديالك,"Yes, I have your notes too"
"بضابت, لمشي مزيان باش تهضم!","I'm sorry, it's not a good way to digest!"
النعاس بزّاف خايب,sleep is very bad
فكّارتي فكولشي!,I thought so!
دار التامارين ديالو,he did his business
منيمتا أُ حنا كانمشيو فهاد طريق?,when we're walking this way?
تاقدار تكوب لييا شي كوييّس?,Can you get me some cookies?
كانعراف بزاف ديال لبيران ليتقدار تستاقبل 30 واهد,I know a lot of birds that can take up 30 days
"كانقساد, بالاك!","I'm sorry, please!"
كنت كانقساد إلا لقينا لحجار ماشي قدافنا لحجار.,I was wondering if we could find the stones that didn't belong to the stones.
ناضي,I'm on
حنا ديما كانديرو داكشي ليكاتبغي,We always do things that you want to do
كيڭولو عليه مسيان,he's been very busy
مافهامتش?,Don't you understand?
فايت شايف هاد ل فيلم?,How do you see this movie?
بغيتها بحال شي كسوا زويونا.,I like it like a little bit of a soup.
هاد درّي ولد شكون?,Who's son is this?
نقدر نعاون با هنا,I can help here
خدم مزيان أُلا سير فحالك,good service or walk around
والاكين تقدار تهدار معايا علا حاجا خرا,but you're planning to spend with me on something else
خاسّك تكالما,you need to talk
كانبغي نطيّب,I want to be nice
"أه, إدان غادي تكون نتا دكي علييا","Yes, you'll be grateful"
سدّيت علا راسي فل حمّام أُبديت كانبكي,I sat on my head in the bathroom and started crying
كايبلانيو باش اليخيمو هاد لويكند,They plan to camp this weekend
لماحالّ سادّ,the shop is open
شكون علّمك داكشي?,Who told you that?
عندو لماناعا,he has a problem
هوا موميلّ بزّاف,He's very nice
أُ أنا بساح ماكانتيقش فهاد شي باش نبقا فسما,And I'm just not convinced that I'm going to stay in shape
تاحاجا ماوقعات,I need a scanner
واش كاتحلام كاتاكول ل إس كرام فليل قبال ماتنود أُتاكلو?,Do you dream of eating ice cream the night before you eat?
لعايبا,a game
غادي نامراد,I'll be fine
هادي خدما فشكل,It's a difficult job
غالي بزّاف,it's very expensive
ماشي موشكيل,It's not a problem
خالينا نمشيو ناديرو شويا ت ريمايا,We should go and enjoy a little fishing
"عندي باشرا شوييا سافرا, هادشي ليكاين.","I'm a little late, that's all."
واش كبير?,is it big?
أشنو وقاع باش ديرو علا داكشي?,What happened to do about it?
إدان أوّال حاجة الديرها هيا تختار,If the first thing to do is choose
حاضّ ساعيد أُ أجي أُ زورني مرا خرا,I'll come and visit again
تحت الصيفر,under the code
روح مودمين علا لكوحول?,How about the beer?
اللي نقدرو نديرو دابا هوا نتسنّاو.,What we can do now is wait.
إوا لموهيم,or the mosque
شوكران جازيلان,Thank you very much
خسنا نمشيو لموستعجالات,We have to go to the emergency room
إمكن خسّني ندّي لكليان ديالي لبلاصا خرا,Maybe I should have my own client in another place
داكشي علاش,That's why
واخا تعاونّي?,Will you help me?
"كان تران عامر, داكشي علاش بقيت وقافا طريق كاملها تال لمادينا","The train was crowded, so I stayed stuck all the way to the station"
إمتا كايامشي تران لمدينا?,When does the train go to our city?
لهادرا ديال لموداريب موتيڤاتنا باش نلعبو حسّن فدوشيم ميتا,The team of the Modarips motivated us to play better in the dead potty
غادي إخاسني ندير شوييا ديال لباحت,I'm gonna have to do some cooking
"ب هاد لموناسّابا, نحلّو شي قريعا?","In this concert, we're getting a party?"
غادي نفاكار فهادشي ليڭلتي ليا دابا,I'll remember what you told me tonight
عاودليا علا لواليدا ديالك,I'm sorry about your parents
واخا أ شف,I'm looking
درت اللصاق كامل,I did the full patch
كايبقا فييّا,It's stuck in me
واش سخون لحال?,is it hot?
ماعمّرو عطاني شي حاجة,I don't have any money
لعسهوب غادي يعاونوك باش تبرا أُ تعاود توڭوف علا رجليك,the math will help you get better and get back to your feet
عندي لحالات الساوداء,I have a dark spots
غادي نامشي باعد غادّا,I'm leaving tomorrow
واش كاينين شي ميسّاجات لييا?,Are there any messages for me?
فيها إنّا,I have
أنا ماكانمشيش فهاد تريق لغالتا,I don't go on this route often
كيعجبني نقاد جرادي ملي كانكون خاوي,I like to cry when I'm empty
التبرزيط,the balance
هاد لخدما مامناسباش ليه,This job is not suitable for him
يالّاه نبداو,let's get started
بغيتي شي شاراب?,Would you like a drink?
وسلنا اللوندون هاد لعشييا,We left London this evening
عندي شفران طوال,I have a full-on appendix
أكبار حاياوان ف لعالام هوا لحوت لأزراق,the largest animal in the world is the blue-green fish
من غير هادشي أنا موسيقي ديال جازّ,"Besides, I'm a jazz musician"
ماغاديش يكون عانداك حتا راس,You don't have to have a head
لهودوع و لحوبّ,goodbye and love
واش تفاكارتي تجيب لخاريطا?,Did you remember to bring the map?
كانتمنا تخدم لييا,I hope you serve me
شنو ل وخنيا ل موفادالا ديالك ?,What's your favorite?
ديال لمعدا,the stomach
وجّد راسك,get your head
"لا, لا, ماكاينش لاش","No, no, nothing is wrong"
واش كاين لما فلقرعا?,Is there a pool?
فيا,I do
"ولا لأزواج لمالاكييان جداد, هاها","Or the new Malaysian couples, huh?"
إوا كلينا روتّويلّر فعيد ميلاد ديال ولدي,We're both on the road for my son's birthday
من ديما بغيت دار فوها شراجم كبار,I always wanted a home with a big chair
قليل فين كانستعمل لمينقالا,a little while I use the link
مالقيتوش,I didn't find it
واش خاسّ نقلو هادش ?,Should I say that?
سماحليا ماكنتش قاصد نبراك علا 'يرسال',I'm sorry I didn't mean to yell at the'send'
أوديّي,O'Dee
واحاد لقاهوا جايا,One of them came
قبل ماتمشي,before you go
"ماشي موشكيل تكون سخون, راك كاين ف شامش","It's not difficult to be hot, you're in the sun"
فيه,it is
فيهوم,they are
قلّ تولوت,at least the tooth
في تاباق لاوال,in the bathroom
الله إيسّر,God is fair
مشا لبحر,Go to the beach
تاريخ لكانيسا,history of the church
"والاكين من غير هادشي, ماكانعرفش عليه شي حاجا","But other than that, I don't know anything about him"
فين كان عقلي?,Where was my mind?
عطيني ميتال,Give me a bottle
جاني لبرد,I'm cold
زينا بزّاف - أحسان ماكاين فلمدينا!,We're very nice - our best place!
كايعجبو لا ڭلاص,They like the ice
سربي سربي,the serpipe serpipe
علاش ماكاتجاوبش علا الطيليفون?,Why don't you answer the phone?
نهار كبير,It's a big day
أشنو لموشكيل?,What's the problem?
"أُ أنا كانقاد ساندويش, خديت واحد تا أنا","And I'm a sandwich man, I took one myself"
ماڭلتي عليب.,You've got a problem.
هووّا تغدّا فلمضراصا,she's eating the dishes
واش نتا هادا?,is that you?
هاد لستيشارا كاتستاحقّ كولّا درهم التعطا فيها,This list deserves all the attention it's given to it
واش فكّرتي تدّي لخبز ل لبطّاط,Did you think of giving the bread to the potatoes
عندي لبشرا موختاليطا,I have a special skin
كولّا عام,every year
مافييّاش الجوع دابا,I'm not hungry anymore
هادي التمنيا أُ خمسا أُ تلاتين,It's eight and five and thirty
قوزقوزاح,the fire
أش كاتقصض?,What do you mean?
إوا مستعد?,Ready?
هادي التلاتا أُقسماين,this is the third part
بغيت نجيب شيخات... واش كاضنّ بلي سرباي غادي إقبال?,I want to bring a bottle... do you think my bag will come soon?
راه كانحاول,I'm trying
كانتفرج ف فيلم,I'm watching a movie
هيپّي ناموداجي,I'm happy
شوكران ليك مرا خرا,Thank you again
هادي أيشا,this is what
فين كاين نتا?,Where are you?
طابعان,of course
كايبان معصّب,He looks very smart
أيه غادي نديرو داكشي,Yes we will do that
"أُه, لا هادشي كايوقاع مرا خرا!","Oh, no, this is happening again!"
كايتخايال شي حوايج لي إقدرو إكونو وقعو لعيسابا ديال تهريب حاقيقييا,I think there's something that could have been a real smuggling accident
كان لابس الجاككيطا ديال الجلد,He was wearing a leather jacket
كانضنّ غادي إكونو ميّا أُعشرين.,I think it'll be twenty minutes.
ڭالس معا راسي,I'm sitting next to my boss
إدان حنا ف نفس لحالا,We're in the same situation
ماعندوش فلوس دابا,He doesn't have any money now
أوّالان,first
"واخا, خود راحتك","Well, take your time"
