darija,tgt,src
لپيانو شي حاجا كبيرا,the piano is a big thing,البيانو هو شي مهم
مبارك و مسعود,Good luck,بالتوفيق
ماكاين حتّا حاجا كاتعجبني كتر من الطابخ لمغريبي,There's nothing I like more than the Moroccan cuisine,ماكاينش شي حاجة كايعجبني اكتر من المطبخ المغربي
ريوايا بوليسييا?,The police report?,تقرير الشرطة؟
فين كاتغرب شامس?,Where are you most likely?,فين كاينك؟
"صاحافي, أتكون خدما سعيبا, ياك?","Dude, you're a good worker, aren't you?",صاح، انت عامل مزيان، ياك؟
لڭرافّوز ديالي ماخدّامش,my desk is not working,المكتب ديالي ماخدامش
دايرا بحال شي تيليفون فلحيط,it's like a phone on the wall,كايبان كالتلفون على الحائط
علاش كايحساب ليك خلّيتو?,Why do you think you left him?,علاش كاتظن بلي خليتيه؟
"موهيم, خلّينا نعطيوها فورصا بعدا!","Oh, let's give her a chance!",أوه، خلينا نعطيوها فرصة!
واش عنداك شي قتيراحات كيفاش ندوي معاه فهادشي?,Do you have any suggestions on how to treat it?,واش عندك شي اقتراحات على كيفية علاجها؟
زعما هوا عندو ضوبل ديال عمري,I think he is twice my age,كانضن بلي هو أكبر مني جوج مرات.
النحس,the senses,الحواس
"بنيسبا ليا, هيا أقراب حاديقا لداري","For me, it's really close to home",بالنسبة لي، فهو قريب من الديار
كايعطص بزّاف,He is very thirsty,راه عطشان بزاف.
فوقاش ساليتي لخدما?,How long have you been on duty?,شحال دالوقت و انت فالخدمة؟
فييا ساهد,I'm a witness,أنا شهود
فين إمكن نصبّن حوايجي?,Where can I put my things?,فين نقدر نحط حوايجيا؟
واش كيعجبك تيب ?,do you like teps?,واش كتعجبك التيبس؟
ماكايعجبكش طيابي,you don't like my taste,ماعجبكش الذوق ديالي
أيخاسنا نديرو ختيبار.,Maybe we should do a paper.,يمكن لينا نصبو ورقة.
هاد لكتوبا دياولنا,This is our book,هادا هو كتابنا
غاناخود هادا تاهوا,I'll take this today,غادي ناخد هادشي اليوم
غادي يسبي هاد لكسيدا فيها,I'll put this in a box,غادي نضع هادشي فصندوق
أشمن لعبات عزاز عليك?,What games do you like?,إينا لعابات كايعجبوك؟
ختي كاطّيب ف لكوزينا,My sister is a cook in the kitchen,اختى كاتطبخ فالمطبخ
ماعمرك ماحدرتي لشي حادات رييادي ?,How did you manage to get to the beach?,كيفاش تمكنت من الوصول للشاطئ؟
واش كاين شي سوأل أخور?,Are there any other questions?,واش كاين شي أسئلة اخرى؟
والاكين مابغيتش ندير دورات,But I don't want to do rounds,و لكن ما بغيتش ندير الجولات
ياكما كانو شي ماشاكيل?,Were there any problems?,واش كانو كاين شي مشاكل؟
أيخاساك تجي تزورني قريبان,if you ever come to visit me nearby,إيلا جيت لزيارتي من قريب
كاندن خايكون خالات,Can it be a sister,واش يمكن ليها تكون اختا
رجع لبلاصتك,get back to your place,ارجع لبلاصتك.
سرطو,he's dead,مات
داكشي علاش كانشاجعاك علا هاد لماسار,That's why I'm so fond of this dish,علاش أنا عجبني هاد الطبق
عندي لبشرا جافّا,I have a dry skin,عندي بشرة جافة
توحشت عشيري,I'm tired of my hair,تعبت من شعري
ماكايعجبنيش نغسل لمّاعن,I don't like to wash the dishes,ماكنيش عجبني نغسل الأطباق
شريف,Sheriff,الشريف
عفاك ماتقيسش هاديك,please don't say that,عافاك ما تقولش هادا
سبغت شاعري,I'm a poet,أنا شاعر
"منين كايسكر بنادم, ماغايهتمش ب سناني","When he's drunk, I don't care about my teeth",و إلا كان سكران، ما كايهتمش بالسنين ديالي
واش عندك شي بلاسّا كاتمشي ليها فاش كاتحسّ براسّك ماشي هوا هاداك ?,Do you have any places you go where you feel comfortable?,واش عندك شي بلايص كتنمشي ليها ويكون مزيان؟
تخايال التولد فياوم لقيديس إڭناتيوس ولا عيد الصوعود,The idea of the birth of Saint Ignatius or the feast of the resurrection,الفكرة ديال ميلاد القديس إغناطيوس أو عيد القيامة
"أُ أهام من هادشي, هاد لعالاقا كانت كاضّرك.","And most importantly, it was probably a mistake.",و الأهم من كدا، هو على الأرجح كان غلطة.
كايڭولّييّا كولشي,He's talking about everything,كايهدر بكل شي
شحال ف الساعا,what time is it?,شحال دالوقت؟
لويكاند,weekend,عطلة نهاية الأسبوع
كيفاش كادير فلييام لي كاتكون فيهوم مسترسّي و عامر خدما ?,how are you on days when you're busy and busy?,كيفاش كايكون ليك في الأيام اللي كتكون فيها مشغول و مشغول؟
"خديتي سوس, دابا","You took the sauce, now",خديت الصوص، دابا
ماساء لخير,Good luck,بالتوفيق
سافي نسا,I'll forget,غاديتساهل
ماغاديش التيّق ليوم ليداوازت,I'm not going to be late,ماغاديش نتأخر
"أُه, أه راه شافت نضاضر","Oh, yeah, I've seen the lecture",أوه، نعم، شفت المحاضرة
هووّا ناعس,he's asleep,راه نائم
واهد,it is,هادا
فيّا,I am,أنا
شهر تسعود,ninth month,الشهر التاسع
كانتسنّاه يجي,I'm waiting for him to come,أنا كنستنى يجي
راد لبال,he is right,هو صحيح
إمتا قطّعتي الطييّارا?,When did you get to fly?,منين وصلت ل الطيران؟
واش نقاد ليك شوكلات سخون?,Do you want hot chocolate?,واش تبغي شوكولاته ساخنة؟
حيت ماغاديش إكون عاديل لتولاب لاخرين,Because I'm not going to be fair to others,عشان ماشي غادي نكون عادلة للاخرين
خرجوه من لخدما,he was fired,تخلص من العمل
واخا,well,مزيان
واش بغيتي ضويوف ديالك يخالسو ماكلتهوم ولا غادي تخالاس نتا كولشي?,Do you want your guests to eat or do you want to eat everything?,واش بغيتي الضيوف ياكلو ولا بغيتي تاكل كلشي؟
طبوزي,I'm sick,أنا مريض
لجو زوين ليوما,The weather is good today,الطقس مزيان اليوم
أُ شحال هادا باش نتا مكلّف?,And how much would you charge?,و شحال غادي تطلب؟
واش عندك نمرتو?,Do you have a number?,واش عندك رقم؟
كان عليك تمشي,You should have gone,كان خاصك تمشي
مفرڭع!,It's a mess!,راه فوضى!
عافاك ڭلس,Please sit down,عافاك قعد.
كانحسّ براسّي بحالا خانخيب,I feel very disappointed,كنحس بالخيبة من الامل
كاينا شي كليما فهاد لبيت?,Is there a word in this house?,واش كاين شي كلمة ف هاد البيت؟
أُنتي?,Where are you?,فين انت؟
حل لباب,open the door,فْتَحْ الباب
واش كايلعاب لڭولف معاك,Does he play golf with you?,واش كايلعب الغولف معاك؟
هادشي ماخدّامش,this doesn't work,هاد الشي ماخدامش
غاير,Not really,مكنش بالحق
"راها أُغنييا ديال لسي ڭور من الستّينات, خاساك تسماع ليها ف يوتوب","It's a song from the 60s, you can listen to it on YouTube",هادي أغنية من الستينيات، يمكن ليك تستمع ليها على يوتيوب
غير كامال أُ ماتهدارش بزاف,it's perfect and not very expensive,هاد الشي ممتاز و ماشي غالي بزاف
"همّم, تسانا حتا نخارجو برّا","Well, we'll also go outside",واخا، حنا حنا غادي نخرجو.
ماشفتينيش,you can't see me,ما تقدرش تشوفني
فلواقيع إقدار إكون هادا حال مزيان,I think it's probably in good shape,كانضن باللي هي ف حالة مزيانة.
ساليت شقا باش نمشي نقسر داما معا سحابي,I'm just about to go for a walk with my dog,أنا غاديت نمشي نتسير مع الكلب ديالي
مها تيبات ليها واحد تاجين وا بنين,She has a crown and a crown,عندها تاج و تاج
أش ڭلتي,I'm late,أنا متأخر
شوف لجانيب لموشريق,look on the side of the window,شوف فجنب النافذة
"مزيان ملي شفتاك, تانتا","Nice to meet you, Linda.",تشرفت بمعرفتك، ليندا.
عندي واهد الصوت مجههد.,I have a very loud voice.,عندي صوت كبير بزاف.
وايلي?,What?,شنو؟
هادشي كايطامأن,That's a relief,هادا هادي الراحة
مومتاز!,It's amazing!,هادا رائع!
خاسّني نعتادر علا...,I need to take care of...,خاصني نهتم ب...
عندي ساحبي فمجموعا موسيقييا,I have a friend in a band,عندي صديق ففرقة موسيقية
موءخّاران صافرنا ل أروپّا,We've been lucky enough to travel to Europe,كان عندنا الحظ بالقدر باش نسافرو لأوروبا
نوبتك,your turn,دورك
فين مشيتي?,Where did you go?,فين مْشيت؟
أوال ريحلا ليا لبرا!,I'm going to the beach!,غادي نمشي للشاطئ!
مابانش ليك كيفاش تيكنولوجيا بدلات تاريقا لي كانتواسلو بيها ?,do you remember how technology has changed since it was used?,واش تذكرو كيفاش تغيرت التكنولوجيا من وقت ما استخدمت؟
غانمرض!,I'm sick!,أنا مريض!
اندهوم,I'm sorry,أنا آسف.
هادوك الرجال كايهدرو بل أنڭلايس,These men speak english,هاد الرجال كايتكلمو باللغة الانجليزية
ماعرفتش,I don't know,ماعارفش.
"واخا, ڭولييا علاش جيتي لهنا","Well, tell me why you came here",واخا، قول ليا علاش جئت لهنا؟
"أُ إلا عمّر جاوك شي أفكار, ماتردادش تسوني عليا مرا خرا","And if you have any ideas, don't hesitate to ask me about another one",و إذا كان عندك أي أفكار، ما تترددش في تسألني عن واحد آخر
ماتحلش لباب,don't open the door,ما تفتحش الباب
عندو قيما,it's worth it,هادا كايساوي
فين وصلتي ف الديسير?,Where did you get to the desirable?,فين وصلنا للي مُتوقين؟
باينا كان نهار سعيب بزاف,It was a very difficult day,كان يوما صعبا بزاف
ماتڭولش هادشي لحتّا واحد,don't say that to anyone,ما تقولي هادشي لشي واحد
شي حاجا وسلتي ليها و فاخور براسّك بسبابها ?,Something you've got and you're proud of it?,شي حاجة عندك و فخورين بيها؟
جاميل!,Jamil!,جمال!
"واخا, غادي ناخود لحوت أُ شيپس فلوول أُ غادي ناخود لبورڭر من باعد","Okay, I'll take the fish and chips first and I'll take the burger later",واخا، غادي ناخد السمك و البطاطا أولا و غادي ناخد البرغر من بعد
معاك نتا ديما هير واحد ل إتّيجاه,with you always have a good one to catch,معاك دايما يكون فايدا باش تلقاه
مبروك عليك الترقييّا,congratulations on your promotion,مبروك على الترقية ديالك
"سمح ليا, كانضنّ عندي نمرا غالاط","I'm sorry, I think I'm in the wrong place",سمح ليا، كنضن باللي أنا فالمكان الغلط.
كايتعلم واحد لوخا جديدا,You're learning a new language,تدرسين لغة جديدة
ڭاع أفكاري عامرين بيك,I'm thinking about you,كايفكر فيك
قبل ماتبدا,before you start,قبل ما تبدأ
عندي توحيما,I have a dream,عندي حلم
إنا موسيقا كاتفكرك فسخرك ?,is music your favorite song?,واش الموسيقى هي أغنيةك المفضلة؟
كانشوف بلي راك متخاساس!,I see you're getting tired!,كايبان ليك بلي ضاقت عليك!
أنا ديما طالعا ليا لقردا,I always have a monkey,دايما عندي قردة
أحسن مادّا عندي هييّا لماط,I'd rather have a mattress,كايفضل لي يكون فالطساج
سير تنازاه تاحت شامش,walk under the sun,تمشي تحت الشمس
واش عارف فين ناقدار نالقاها?,Do you know where I can find it?,واش كتعرف فين نقدر نلقاها؟
إسلاح ديال ديور زوين,The furniture is beautiful,الأثاث زوين
دوّز يدّيه علا شعرو,He put his hand on his hair,حط يده على شعره
كاتڭوليك ديما شنو دير أُكيفاش ديرو?,do you always tell me what to do and how to do it?,واش دايما كَتْݣُول لِيَّ آش خاصني ندير و كيفاش خاصني ندير؟
تاقافات جديدا,new clothes,ملابس جديدة
كانضن بلي كانخادمو بشاكال مزيان هنا,I think they're working very well here,كنظن بلي كايعملو مزيان هنا
جرّبت ب تيليفوني ساعا تاهووا مافيهش رسو,I tried my phone for an hour and it didn't work,حاولت الهاتف لمدة ساعة و ماخدامش
كانضن حسن أنّاك طلب الصحاب إجيبو قارعا,I think it's good that you ordered the friends to get it quickly,كان باغي ليك باش تطلب من الاصدقاء يجيبو ليكو بزاف.
نشوفوك أ خونا,"See you, brother",نشوفك، أخي
سافي نسا كانتفهم,I'm sorry I miss them,سمح ليا ماغاديش نفتقدهم
وا أُ دوك ل كوادووات اللي عطاونا?,And what about the gift cards we received?,وماذا عن بطاقات الهدايا اللي تلقيناها؟
راه دازت تلاتا ديال سوايع,It's been three hours,كايديرو تلاتة دالساعات
"وايه, مزيان تدير شي حاجة من غير لفراجا ت تلفازا","Yes, it's good to do something outside the TV set",نعم، من الجيّد نقوم بشي حاجة خارج التلفاز
نافس لحاجا,I'm fine,أنا بخير
ماعمّري شفتك من داك النهار,I haven't seen you since then,ما شفتش ليك من بعد
أشنو لي كايعجبك ملي كاتينسپيري لجومهور بلعب ديالك ?,What do you like about the way you play your game?,شنو كايعجبك فالطريقة اللي كايلعب بها لعبة؟
وا راه عشر سنين هادي,It's been ten years,هادي عشرة دسنين
تلّافت تريق ديالي,I lost my way,ضيعت الطريق
والاكين ڭلتي لييا بلي مشيتي فشاهر لعاسال!,But you told me you went to the moon in the sun!,و لكن انت قلت لي انك رايح ل القمر فالشمس!
واش عارف شحال كايسوا?,Do you know how much they are?,واش كاتعرف شحال كايسويهو؟
أنا ماتءكد أناك كنتي غادي تستامتاع بيه!,I'm sure you'd enjoy it!,أنا متأكد بلي غادي تتمتع به!
هادي أوال مرا غادي نسافر ف طيّارا أُ مامتأكدش أش غادي نمتواقع.,It's my first time traveling by plane and I'm not sure I'm going to be able to stay.,هادي هي المرة الأولى لي نطير فيها بالطيارة، و ماشي متأكد واش غنقدر نبقى.
أنا حمق,I'm an idiot,أنا أحمق
السبت مزيان,Saturday is good,السبت مزيان
كاينا شي حاجا ماشي طابيعييا ف جيسم كبير أُ تقيل لهاد داراجا معلّق فسما,There's something unnatural about a large body and it's called a hanging chair,كاين شي حاجة غير طبيعية فالجسم الكبير، و كايسمى الكرسي المعلوق
"واش مومكين ليك تزيدني شويا تلوقت, ڭول شي جوج سيمانات هاكّاك?","Can you give me a little more time, say, two weeks?",تقدر تعطيني شوية ديال الوقت، بلي، غي تمانة دالأسابيع؟
علا قبلك,I'm looking for you,كانقلب عليك.
"ليلأساف, مافهامتش لجوملا لاخرا, مومكين تعاود تشرحها لييا?","Sorry, you don't understand the last sentence, could you explain it to me?",سمح ليا، ما فهمتش آخر جملة، واش تقدر تشرحها ليا؟
توحشت لييام ملي كان لعب فشتا موخامارا شي حاجا,I remember the day when he was playing in the weather and it was a good thing,تذكرت اليوم اللي كان كيلعب فيه فالطقس، و كان شي حاجة مزيانة.
"وايه, طهلّا","Oh, yes, it's a good idea",أوه، نعم، هادي فكرة مزيانة
والاكين كانخدام كا موهانديس فماوقاع كبير,But I've been working as a mechanic for a long time,ولكن أنا كَنْخْدَمْ كِميكانيكي لفترة طويلة
صافي داكشي لي غادي ندير أُ من بعد غادي يخصني نمشي نسربي ل كليان لي يالّاه جا دابا.,I'm just going to do it and then I'm going to have to go to the kitchen and get it right now.,غادي نديرها و من بعد غادي نمشي للمطبخ و نجي نجيبه دابا.
دارت خاتاء ماتباعي,I did a good job of my own,أنا كَنْدِير شي عمل مزيان
غانمشي ل طانجا,I'm going to the beach,غادي نمشي للشاطئ
كانضن بيلا موضحيك,I think you're right,كنظن بلي عندك الحق.
مابغيتش نموت هنا,I don't want to die here,ما بغيتش نموت هنا
شهر عشرا,December,ديسمبر
باين لييا خنربي شي حاياوان,I think I'm drinking some animals,كنظن اني شربت شوية من الحيوانات
أه والاكين ولات موميلا,"Yes, but it's a very interesting idea",نعم، ولكن هادي فكرة مثيرة للاهتمام
بغيتي تاهدار عليه,You want to pay attention to him,بغيتي تهتمي بيه
نتي هيا لي كاتبان بلي ماتواتّرا ديال بصاح.,I'm just looking for the car to fly in the sun.,كانقلب على الطيارة باش تطير فالشمس.
كانفيق عييّان,I'm getting up,أنا كايستيقظ
مرحبا بيك فأي واقت,Welcome at what time,مرحبا فاش وقت
ردّ لبال,return the phone,ارجع الهاتف
شحال فساعا,what time is it?,شحال دالوقت؟
شكون كادن كيعرفك مزيان ?,Who do you think knows you well?,شكون كاتظن بلي كايعرفك مزيان؟
واش نقادرو ناخدو لفلوس ديال لعوطلا ليحتينا,Can we take the hotel money for the wedding?,واش يمكن لينا ناخدو فلوس الفندق للوجوز؟
كانحتارم راسي,I'm keeping my head,أنا كايبقي راسي
لخميس,Thursday,الخميس
عقلتي كيفاش كنا كانتافقو باش نديرو روينا و سبيوها ف لكلاب ?,I wonder how we agreed to do our routine and put it in the dog?,كَنْتعجب كيفاش اتفقنا على عمل الروتين و نضيفو للكلب؟
غادي نكون تمّاك فلوقت,I'll be a regular in time,غادي نكون زبون منتظم
"أه, راه واضيفا زوينا","Yes, it's a beautiful guest",نعم، هادي ضيافة جميلة
أنا مافياش جوع بزاف ساراحا,I'm not hungry anymore,ما عدتش جوعان.
مورا لبانكا.,Go to the bank.,سير ل البنك.
تجريبا جاهنّاميا,The experiment is very technical,التجربة فنية بزاف
واش باقي بيخير هنا?,Is it still good here?,واش مازال الوضع هنا مزيان؟
أنا دايرين بيا غير ليماشي أكفاء,I'm doing it but not enough,كايعملو، ولكن ما كايكافيوش
مرحبا بيك,welcome,مرحبا بيك
ماكانخطاطش نعراد علا ماليكا ديال إنڭلاتيرا,I don't plan to have an Englishman,ماكانخططش نلقا إنجليزي
واخا,well,مزيان
واش نتا توريست?,Are you a tourist?,واش انت سياحي؟
أُبلا ماتزيد عليها,No more,ماكاينش غير
ماكانشوفش راصي رابّات بايت,I don't see the head of the racket,ماشي كا نبان للي كايديرو هاد الشي
كيفاش كاتخلي لسوحبا دايما ?,How do you always go to the gym?,كيفاش دايما كتنزف فالصالة الرياضية؟
ها ها ها!,There it is!,هاهي!
لا هانيا,"No, no, no, no!",لا، لا، لا، لا!
ماجبتش نوقطا مزيانا,don't get a good time,ما تقدرش تمضي وقت مزيان
واش كاتعراف إلا كانت شي قاهوا قريبا من هنا,Do you know if there's a coffee shop nearby?,واش كاتعرفو واش كاين شي مقهى قريب من هنا؟
التيشورت جاه صغير بزّاف,The shorts are very small,السروال القصير صغير بزاف
واش كاتفهم?,Do you understand?,واش فهمت؟
بنت وحدا,an only child,واحد من الاطفال
غادي نقاد لحالوا,I'll be right,غادي نكون هنا
"باش تعيش هاد ناوع ديال تاجريبا بوحدك, خوسوسان كا درّي سغير, مازوينش بزاف","To live this business life alone, it's a small, not very big deal",عيشو هاد الحياة ديال التجارة لوحدهم، هادي شي حاجة صغيرة، ماشي مهمة بزاف
وا شحال كبير هاد لحانوت,And how big is this song,و كيفاش هاد الأغنية كبيرة
أنا مقتانع بلي داحك هوا أحسّن دوا ل أي نهار خايب,I'm convinced that this is the best remedy for any bad day,أنا مقتنع بلي هادا هو أفضل علاج لليوم السيئ
سمح ليا,I'm sorry,أنا آسف.
غادي يبغي يعاونك,He'll be happy to help you,غيفرح بيك باش يعاونك.
واش 9 تلّيل هادي?,Is it 9 times that?,واش هو 9 مرات؟
إوا أُنتا?,Are you?,واش انت؟
غاناخود نفس لحاجا,I'll take the same thing,غادي ناخد نفس الشي
ماغاديش نصدعك ڭاع.,I'm not going to scare you.,ماغاديش نخيفك.
"ألا كان هوا اللي صيفتو باش إصاوبو, إقدر تكون شي حاجة ساهلا","If it's the summer to cook, it could be something easy",إيلا كان الصيف، يمكن ليك تطبخ شي حاجة سهلة
كانحاسّ بحلا كانشوف جوج,I feel like I'm seeing two,كنحس باللي كاين شي جوج
ماكنتش بغيت نموت هنا,I didn't want to die here,ماكانش بغيت نموت هنا
"أُه, أه","Oh, yeah",أوه، نعم
أشمن كوككتايل بغيتي?,Which cocktails do you want?,شنو هي الكوكتيلات اللي بغيتي؟
سالات لييا شارڭ ليلأساف,I'm sorry for the snake,أنا آسف على الأفعى
عندي,I have,عندي
ماشفتكش مودّا هادي,I haven't seen you this long,مَا شفتش ليك من زمن.
"أُه, لا, هادشي مايمكنش!","Oh, no, that's not possible!",لا، هادا مُمْكِنْش!
"وايه, هاد لجتيماع هنا, غايكون صعيب نديروه","Yes, this group here, it's going to be difficult to get into",نعم، هاد المجموعة هنا، غاد يكون صعيب للدخول فيها
واش نتا جديد فهاد لحاي?,Are you new to this life?,واش انت جديد على هاد الحياة؟
عقلتي فاش كنا كانداربو علا شكون أياخود أخير ترف ديال پيزّا ?,Did you think we were talking about the last piece of pizza?,واش كنتي كايضن بلي كنحضروا آخر قطعة من البيتزا؟
علاش ماعندهومش صكوتّيسه وهيسكي?,Why don't they have his cookies and his whiskey?,علاش ما عندهمش البسكويت و الويسكي ديالو؟
كاناخودها بزاف تلمرّات,I take it a lot of times,كَنخدوهات بزاف دالمرات
أنا غادي غدّا,I'm going tomorrow,غادي نمشي غدا
من أشمن عاصر?,What time?,فاشم ساعة؟
ساهل توصل ليه,easy to reach,سهل الوصول
واش تقدري تعاوانيني عافاك?,"Would you excuse me, please?",ممكن تعذرني، عافاك؟
لماحال عتا كرتات لكليان لقدام,The store has two tickets to the store,المحل عندو جوج تذاكر للمحل
واش سافرتي بزاف?,Have you traveled a lot?,واش سافرت بزاف؟
أنا محتاج هادي باش نوصل تمّا غدّا,I need this to arrive tomorrow,بغيت هاد الشي يجي غدا
متكّي علا لفوتوي,I'm lying on the couch,أنا مستلقية على الأريكة
أش خسّني نلبس?,what should I wear?,شنو خاصني نلبس؟
درت كسيدا,I've done it,أنا كَنْدِيرْ
بغيتي نجيب ليك شي حاجا?,Do you want me to bring you something?,واش تبغي نجيبه ليك شي حاجة؟
نسيت ماخلّصتش لويفي,I forgot I didn't have to wait,نسيت ماكانش لازمني نستنى
بغيت نقرا شويا,I want to read a bit,بغيت نقرأ شوية
فلواقيع بغيت,I really want to,بغيت بزاف
"غانبدا بل بسباس, كاياخود لوقت","I'll start with the bass, it's a good time",غادي نبدا بالباس، هادا وقت مزيان
خرج يتمشّا,he went for a walk,خرج يمشي
كانعيش ف ميصر,I live in Egypt,كَنْعِيش فمصر
لاهوما نمشي علا نبقا,I'm going to stay,غادي نبقى
إمكن شوييا ديال ريمايا أُ شتيح مبرهش,Maybe a little bit of a rummy or a little bit of a frying,يمكن شوية ديال الرميا أو شوية ديال التقليد
كانخدم بنّهار,I work during the day,كَنْخْدَم فالوقت دالنْهَار
"كولشي غادي يكون مزيان,","Everything will be fine,",كلشي غادي يكون مزيان،
بعّد منّي,get away from me,بقا بعيد عني
"لبارح, شربت أتاي بلا سكّار.","Yesterday, I drank tea without sugar.",امبارح، شربت الشاي بلا سكري.
ماعندي مانڭول,I don't have to tell you,ماعليش نقول ليك
دراري تقدرو تمشيو فين ما رشقات ليكوم,I'd like to see you go where you're not interested in me,بغيت نشوفك تمشي فين ماكنتش مهتم فيني
كنت غادي نجيب ولادي من لمدراسا,I was about to bring my son from school,كنت عازف نجي وديا من المدرسة
كيفاش كاتقدر ترجع حسّن مورا ما كاتوعت ?,how can you get back well after you've been on a diet?,كيفاش يمكن ليك تعاود صحتك بعد ما كنت على حمية؟
فاش كاتفكّر?,What are you thinking about?,فاشاشك تفكر؟
مريڭل,Tuesday,الثلاثاء
مسافر علا ود لخدما ولا عوتلا?,Traveling for work or work?,واش كايمشي للعمل أو للعمل؟
"أُه, تايبالّيا الضياف اللوولين جايّين","Oh, the first guest arrives",أوه، أول ضيف وصل
كي غاديا ل أُمور,who is going to the office,شكون غادي للمكتب؟
پول كايقرا لهنداسا لميعماريا,Paul is studying architectural engineering,بول كايدرس الهندسة المعمارية
عطيني داك لمقصّ,Give me that scarf,عطيني هاد الشال
راه طابيعي يكون عنداك شوييا ديال ضاغت فبلاسا سغيرا بحال سانسور,It's normal to have some kind of pressure in a small space like a sensor,عادي يكون فالمكان الصغير نوع من الضغط، كحساس
كيف دايرين معا لخدما?,How do we do business together?,كيفاش كايعملو معا؟
تطريق مسدودا,the road is closed,الطريق مغلق
أُ من فوق هادشي لجوو يقدر يخسر.,And then there's the amount that can be lost.,و من بعد كاين المبلغ اللي يمكن تخسره.
مولاتدار,a business,تجارة
