tgt,src
علاياش كنتو كادوي,What are you talking about?
علاش غير شرح ليا علاش,Why?
تانلحڭ عليك لدار,i will Joi nyou 
واش داروري إدواز المؤثر التداريب,Is it imprtant he pass training?
عمرك جربتي تقادي شي واحد حيت خرتي منو,Have you ever tried to harm someone?
راه جاهل هاد الكلب,This dog is savage.
على حساب البعد,Depends on distance
نسّيت بنتي فسته,I forgot my dautgher in rooftop.
ايلا ماكنتيش قالق فالمكتب ديالي,"If you're not worried in my office, why?"
عمر عطا كتاب ل محمد,Omar gave a book to Mohamed.
غزدي تلقاي ليس بوڭوئات جداد,You will find new boxes.
هادشي كايدرني أنا,This hurt me.
بغات تدي ليك ولدك من الفوق,She wants to take my child. What should I do?
نهار جمعة كيعطيونا تلاتة ديال السوايع فالغدا,They give us a surprise on Friday.
الموت ديال الصحد,It's the dead of summer. What should I do?
واش عرفتي إمتا دخلنا الغابة؟,When did we enter the forest?
سير عند ختك.,go to you sister
كاينة خلعة,Scared
براكة من لهدرة خاوية,How can I stop saying nonesense?
كان لابس تقشرو مقلوبين,He had his socks inside out.
كيف كانت التجربة؟,How was your experience?
واش كتيق داكشي؟,Do you believe that there is life after death?
مهم بزاف,It's very important
واش بغيتي تعدر على عدشي؟,Do you want to talk about it?
غبارتو علينا,Where have you been?
هادوك ديالك نتا,They are yours.
واش غادي تعرض على بزّاف ديال الناسّ?,Are you going to invite a lot of people?
شكون نتيا؟,Who are you?
إنا أناني كيعجبك تسمع ليهم و نتا كتيب ?,What are some good songs to listen to while cooking?
خدمتي,My job
صافي فواحد لوقت خيبت ليهم و واليديا تخلعو,Some time my parents were scared.
مول تاكسي كايتسنا,Taxi us waiting
مادربش لحساب,I forgot to bring a recharge. What should I do?
مم، لا ماشي گاع هكاك، ولكين كايبان بحال آلا حادياني,"Well, no not really, but it's like she is watching me"
ركبية دروني,My legs hurt. What should I do?
حنا غانتحملو هاد المسؤولية,We will bear the reponsability.
علاش ماڭلتيهاش ليا قبل?,Why didn't you say it earlier?
ولكن إيلا وحلت، البنات للي عنا ديما غايعاونوني,"If I get stuck in here, the girls will always help me."
خسرنا عقد مهم ومافهمناش علاش,We have lost an important contract and we don't understand why.
خسّني كالكولاتريس,I need a calculator. Where can I find one?
راه حد هاد القطيب,This stick is sharp.
كانتسنّا فيك ت وسّع ديك طروسا لي شريتي حيت كاتبان صغيرة,I'm waiting for you to get a bigger bag.
واش ممكن نسولك؟,Can I ask you madam?
جربنا ماكلة جديدة كانت بنينة,We tried new food.
ديالاش هادي,This is for what
اشنو الحال,What is the solution?
كانعيش في ليبيا,I live in Libya.
فالواقع هادشي كاملو معتمد على شكل ديال نظار,"In fact, it all depends on the shape of the glasses."
متأكدة مابغاش تمشي معانا,Are you sure you don't want to come with us?
رخف راسك,How can I go easy on myself?
مامتأكدش واش فهمت,I'm not sure I understand.
غادي تكون ديال القرقارة,Its for the Qerqara
اليوم غادي ترا شي حاجة,What will happen today?
راني كنت تعلّمت پروڭراماسيون,How do I start learning coding?
اش خصني نلبس؟,What should I wear?
يالّاه نتغدّاو !,Let's have lunch!
أهلا بغيت القهوة مع عصير ليمون عافاك,"Hi, I'm having coffee with orange juice, please."
إنتا يهايدو الحاجر سيهو,When will the will restriction be canceled?
حمد وأمور عادية مزن,thank god everything is going well
المشكل ديالي كولشي ولا عارفو,My problem is known. What should I do?
عمرك جربتي تسحّو وراقي ديال باك,Have you tried correct bac exam?
زيديني غير شهرين ونمشي,I'll go two months yet then I'll go.
مابغيتيش ت سوب هاد لماڭانا,You don't want to fix this clock.
واش كادير الرياضة بزّاف?,Do you do a lot of sports?
ونتوما مالكوم؟,Why do we bother?
نساليو سح أ يبان أكس عادي نديرو,We end s5 then we think ahead.
شكون نتا باش تفرد عليا شي حاجة مابغيتهاش,Who are you to use me?
بان ليا شرجم قلت اجي نتل منو,i saw a window and looked.
هاداك غير نساب بعيد منو,Is he a scammer?
هاد الخدمة تعكسات,This job did not work too well.
حسبيني ختك ماشي صاحبتك,Should I consider myself your sister or your friend?
إوا خسّارة كون فاكرت فيها سيمانا فايتا,If just remember last week
عدكوم 15 دقيقة باش تساليو هاد لامتيهان,You have nothing to do.
راكي ناقصة ف هادشي كامل,What is it that you are lacking?
هاد الدار رخيصة,This house is cheap
كانتسنّا فيك ت شهل ليا ديك لمسألة,I'm waiting for you to solve this problem.
لا لا خود راحتك معا البنج ماكانحسش بوالو,How do I take my time?
نتحداك ت حدّر داك درسّ مسيان و تجي فهمو فلحصة,I dare you to assist for the class.
أجي تلاق ليا كونّشيون,How can I make a connection?
فيها أنتيبيوتيك لي خايب البشرة,It contains antibiotics that are bad for the skin.
شيتان دارها بيا,The devil has fooled me.
هاد الكاس ماكيتهرسش,This glass does not break.
أنا كنخدم من دار,How do i work remotely?
خاص لي تهس معاه بتومينا,You need someone who will make you feel comfortable.
كاندن غير شلادة باش نبقى متبع ريجيم راني خليت,I think just a salade.
لاباس عليه أخي,He's a good brother.
تقدر تكون كاتعول عليا نفس لهدرا,She must be saying the same thing about me.
طباع سيستيم,I follow the system.
علاش هاد الخبرا طوحشناك,Where have you been?
عمرك جربتي تقلم فشي بلاد باردة,Have you tried to adapt to a cold country?
فايت لي سايڭ هاد توموبيل,I drove a car.
علاش مابغيتيش تسرح لهيه,Why do you avoid people?
ماعرت مال التلفازة حسرت,The TV is broken. How can I fix it?
بان ليا صاحبي فالتمبيل,I saw him in a car.
مالك متكبر,Why are people so arrogant?
شنو كاين ف الطروسة ديالك؟,What is in your pencil case?
عمرك جربتي تفوض معاه على شي تمن راه جلدة,Have you tried negotiating with im?
كون غير قدرت ندبت ولادي باش ديما يكونو مربين,If only I could elevate my kids properly.
ماعندو حتى فكرة,He has no idea.
ممكن,It might be.
تاواحد مابقا يشوفك فهاد الحالة إوا تبدل,"No one wants to see you like this, so change"
حسات بلي هوما ليكانو ختفو البنت,They felt that she kidnapped the child.
أنس,Half past
فراسي نتا أستاد الإنجليزية,I know you are an English teacher.
فدحني واحد ولد الحرام مورا ما هاكا ليا تيليفوني,He has robbed me.
قولي ليها راني كنتسناك هنا,Tell her that I'm waiting for her here.
بحال أي واحد أخور,"Like everyone else, how do I become like everyone else?"
حريرتك حريرة,Rhis is a mess.
خل كتسوى هادي,How much is this?
واللهيمة عرفت قليل ريسطورات لي كانعرفهم هنا قريب,I dont know 
تا أنا الخوت,Me too guys
ملي كنشوف اللون حمر،كنشوف الأخضر حتى هو,"When I see green, I see red too."
هادي هي نظرية,This is just a theory.
أنا غادي نمتل ليك واحد دور نادي,I will play a nice role.
اليد ديال الباب سخونة بحال كانت فوڭ البوطة,The door handle was hot.
عمرك جربتي تحرك راسك بحد التريقس ديما كاتعنز ملي كانديرها,Have you ever tried to move your head like this?
فيناهيا صحبة هاد الوقيتة,Where is friendship in this time?
واش عندك ريزو ف تيليفونك?,Are you picking up the network with your phone?
خليني نركب ف هاد التاكسج,I want to invent something. How should I start?
حلم ديالو هقو,He achieved his dream.
لي بغيتيه نديروه,You orders are my command
علاش مابغيتيش تدوز من داك جبل لي نجارف,Why don't you want to go through the mountain?
ماتستهلش وقتي لي عطيتك,You don't deserve the time I gave you.
علاه فين كنتي,Where were you?
تا ختي جات نفس نهار معايا,My sister came at the same time as me.
علاش مابغيتيش تجلبو,Why don't you tackle him?
كندوي بنيتي,I'm serious.
غادي نسولو!,I'll ask him!
و نتهنّاو تا هنا,And we be satisfied.
غادي تصيفتك للسبيتار ديركت,"She will send you directly to hospital, she said."
مابغيتيش تعدّم شي واحد معجاز,You don't want to work poorly.
عمرك تعاود تفكر فداك الموضوع,You should never think again.
ماكايناش توموبيل ديالا للخدمة؟,Where is my work car?
فشكل,Special
سير تل على عمامك,go to your uncles.
الفار حيوان صغير,The mouse is a small animal.
كايبان ليا هادشي ماهواش,It sounds rather suspicious to me.
هات أهداف واقعية,What is the best way to set realistic goals?
ماعمرك ماجربتي لاساڭن أخير بالخضرا,The last time you speal
كان كيعجبني فصل الخريف,I like Autimn.
هاهوا في دار,He is at home.
هوا بغا يمشي لأفريقيا,He wants to go to Africa.
محسش بصدمة?,Was he not traumatised?
امتا غادي تسافر,When will you travel?
أش بان ليك فيه?,What do you think about him?
عندو شعر قصير,He has short hair.
قشّابتو واسعة,He has a good sense of humour.
نسبة كبيرة ديال السرطان ديال الميعدة سبابها للڭارو,Does smoking cause cancer?
خريتي المعن تاع الكوزينة,You haven't bought utensils yet.
اش فيها؟,What is in it?
معلم,"Mr. Trump said he had ""no regrets."""
مالك معصب,Why do you get angry?
ديما نتا هاڭر راسك,You are underrated. Why?
نهارك مبروك,What is the best way to spend the rest of your day?
معامن شفتك مؤمن شبهتك,You go with bad people.
ماكملتيش لهدرا لي بديتي,You didn't finish the talk you started.
كاينا شي حاجة مقلقاني.,There's something I'm worried about.
علاش مابغيتيش تدوي معايا ياكما ديرت ليم شي حاجة,Why don't you speak to me anymore?
ماتلاقيتش معاق,I didn't meet him.
ماكانحملش المغنيين!,I hate singers!
خاصني نشوف الفرملية عفاك,"I need to see a doctor, please."
مانضنش غادي يسلفني,I dont think he will llend me.
عمرك تاكل شلادة برا فصيف,Why shouldn't we eat salade outside?
ماكاين لا سلد لا والو غير لكدوب,There is no mobile data.
عمرك تستوكي داك شكلاط فشمش,Why should you never stock chocolate?
سدموني ملي عالو ليا ماتات شبتك,They told me my friend has died.
كيعجبوك ريسطورة لي كايركزو على مذهر ديال ماكلة؟,Do you prefer restaurants with a focus on food presentation artistry?
شنو الغلط لي درت معاه,What is the biggest mistake you have ever made?
آيه، داكشي بالضبط اللي كاين!,What is exactly what it is?
راه إداريا ممنوع هادشي,This is administratively wrong.
الحومة لي كنت ساكن فيها ردموها كاملة,They demolished the whole neighbor.
عندي رونديفو اليوم,I have an appointment today.
قلّ قسماين,Ten to
شنو درتو,What did you do?
فيناهوا سرف,What is change?
"كاتفرج فل أفلام, كاتشارك فل ألعاب, و كاينا مكتبة...","You see movies, you participate in games, there's a library..."
راه ديما تايح فبنات الحرام,He loves bad girls.
ماكانت كاتخاف من والو,She was afraid of nothing.
و تجيو تشوفوها,And you come to see it.
باينة ليا حانتعلم كيفاش نشطح,I'm considering learning how to dance. How should I start?
تخلعت عليك بزاف,I was so scared for you.
أولا ممكن آلا.,Or maybe not.
عندهوم طلبات محدّدة ديال ريجيم,They have special dietary requirements.
نتا أصلا معواق من هاد الناحية,You're already handicapped by the dimension.
تعطلي بزّاف باش تعرض على ناسّ,When is it too late to invite people to a party?
حافظة ليا جنبي مزيان,You know me well.
هاد تلميد ديما خايب كايجي غير فالامتحانات,This student comes only during exams.
هو كان ف كافي,"He was in the coffe shop, he said."
خاتحطو ريتكوم فتيران تقتلو,Do your best in a pitch?
شوفي غا هاداك كاين الماش,There is a good match
خليه يسوني تايعيا وغادي يقتع, Leave him calling until he gets tired and he will hang up.
كان خاصك تاخد المكونات,You were meant to get the ingredients.
فاش كنت صغير، كراعت بنت عمي، كانت كادير فكارن فوق ضرعها,"When I was little, I hated my cousin in the country who sometimes put turtles on her"
متّافق على تخطيط,Okay for planning.
داكشي علاش كان حسن,So it was better.
تسناني غدا,wait for me tomorrow
ماكانتخلصوش بلاكارت,We do not accept credit cards.
شحال من ساعة فالسيمانة كتخدم؟,How many hours a week do you work?
صاحبتي غادي تجي عندي,My friend will coem to me.
الحاجة الكبيرة ماشي ديما زوينة,Whats big is not always good?
شكرا على النصيحة ديالك.,Thank you for your advice.
باقي تقدر تسحق الآلات ديالك,How can I correct my mistakes?
شي وحدة لي تعيا ماتسمع ليها ماعمرها مكاتلع ليك فراسك ?,What are some good songs to listen to on repeat?
بشحال بعيدا,How far is it?
ڭاع خدمتو كيديرها بسكوتي,He works quietly.
فكر تاني,What is the best way to think again?
شنو كيعجبك دير ف فصل لبرد ?,What do you like to do during the winter?
مامنقل شي شاب الباك والو,"nothing was told to your father's friends, he said."
جا على ليمن ديالك,It's on your right.
علاش مابغيتيش تجبد حوايجك جداد,Why don't you want to buy new clothes?
عمرك جربتي تحقّق شي حاجة كبيرة,Have you tried to have a big accomplishment?
سمحليا قبيلا كنت مزروب,I was in a rush. What should I do?
بديتي فهاد الغيرة ديالك,When did you start jealousy?
فين تبان ڭدامي,You are nothing like me.
سير درب ليك دورة حدا البحر,How do I run in the beach?
أنا ديما محتاج دعواتك الواليدة,"I always need your prayers, mom."
ماقدرتش نجي ل لحفلة ديالك,I coudn't come to your party.
هير هنا,right here
واش يمكن تشرح ليا؟,Can you explain to me?
بغيتي شوية ديال الما؟,Why do you want water?
عمرك جربتي يجريو عليك من الخدمة,Have you ever been fired from your job?
ماندينش غادي نسمع لداك ديسك مرة أخرى,I dont think I will listen to that song again.
كنسمع بنادم برا,I hear people outside!
كنت هزا واحد لحمل تقيل بزّاف,I had a big weight.
هاداك لوالد عندكوم مفاشاش بزاف,Is your child spoiled?
غايكونو ناعسين دابا,They are asleep now.
البنان كحل,The bananas are black.
هاد لحد أنمشي نتفرج فالتبوريدة,I will go watch the borida.
راه ملسة هاد الحجرة لي عديتها من البحر,This sea rock is soft
ماشي مشكل، ليكاين هوا هير مابغيت ندير تاحاجة,"It's okay, it's just that I don't want to do anything."
مينها نخرجو نبدلو الجو شوية,And have a change of scenery while we are at it.
اشناهيا احسن لعبة فيخرك؟,What is your favorite childhood game?
كون غير قدرت ن وسّع ليك تريكو باش يجي قدّك,"If only I could fit my shirt to the best of my ability, how would I dress"
أنا ضد أفكار ديال جوجل و أي معهد آخر كيستخدمنا باش يحصل على بزاف ديال المعلومات!,I'm idealogically opposed to Google and any other institute trying to use us to get
واش كنتي كاتعاونيه شوية؟,Were you helping him?
عينيها طابو بدموع,She cry a lot.
هاهيا,Here she is
أنا جيهت لهسيني,I'm at Hsini.
راه نفسي عندو هاد المشكل,This is a psychological illness.
خليني نقد ليك تقدية,Let me buy you groceries
فيها شي عيب,Is that a flaw?
هوو ميريكاني,He is an American.
كايخلي ليا ريحة خايبة,Why do I have bad breath?
وقسماين,Ten past
غادي تخلي الناس يحسو بعدم ارتياح,You may make people feel uneasy.
لا شكرا,"No, thanks"
تقت فيك ولكن نتا سدقتي شماتة,I counted on you.
تسنا، خاصني نشد كلبي,How do I catch a dog?
عندو برنامج ديال الطبخ,He has a cooking show.
واش عزيز عليك الأعمال اليدوية,Are you into diy projects?
شوية و هيا تحت العشا,She made a diner.
ولكن راجل تاهوا مصبرش,She could not wait.
واعليكا سلم للهمد لله,How are you?
نتحداك تخببا فداك القر بلا ماتخلع,I dare you to hide in your house.
قلت نيا لاربحت أنايا ولا نتيا,He is not well behabved.
الأتاي في العشية غير من بقرة مشية,Tea at night?
أنمشي لعصيمة,I will go to the capital.
تليفوني تافي,My phone is off. How can I fix it?
بهال هادوك غير بالما يجيو,Like those who dont come.
تانفكّر واش أيتوّقو هاد لبلاصة ب ل بوليس,i think of if go on tram.
واش جمعتي الباجاج ديالك؟,How do you pack your luggage?
وجيب ليا معاك,Why should I bring me with you?
اللهم دارنا ولا تكرفيس,Our house or hardwork
أضحك وصافي... ولكن هوما كايخليوك تجيب باش تقصر إيلا بغيتي,Only kidding... but they do allow you to bring your own entertainment if you want.
إيلا عندنا الزهر,"If we're lucky, why are we lucky?"
هاداك ريسبونساب كبير ف شركة,He is a big cadre on his company.
ديما كاينسا بزطمو,He always forgets his purses.
دابا ل 3 جور,Its 3 days now
مانضنش غادي نتوا معاك حيت راك سقرام,I dont think I will get along with you.
بغيت نكتب داك المدوق,I want to write a topic. How can I do it?
هادي عندك,This is what you have
وقف قدام القاضي,He stood up in front of the judge.
علاش مابغيتيش تعوم فالبحر ياكمة كاتحشم,Why don't you want to swim in the beach?
سولتو واش بغيتي أتاي,Why do you want tea?
ماعندناش وماخسناش,Its sufficient.
كان لابس طربوش ف الحمر,He was wearing a red hat.
ولاكن راه ماقريباش وماعرفتش واش كاتحل نهار الحد,But it's not close and I don't know if it's open on Sunday.
كايرتاب جلد,Softn skin.it
نقدرو نديرو ليك ڭاع البرغر بلا بصلة إلا بغيتي,We can do all of our burgers without onions if you prefer.
مابقيتش باغي نسويب ليك هاد البيكاكا,I will not fix my bycicle. What should I do?
كون غير قدرت نلوح ديك لستدعا,If only I could drop this convocation.
ديها ف جيهة لي دارا,What is the best way to mind your own business?
آلا إمكن لينا نرجعو لأنفس ديالنا؟,How do I get back to myself?
تانفكّر واش نزيد نزرب.,I think of hurrying up.
كانطلب سمحة من جميع الجمهور على قبل هاد القرار,I'm asking for forgiveness from fans.
راه قاسح عليك هادشي,This is hard for you.
علاش مابغيتيش تقلدو,Why do you not want to imitate him?
قرا معاك هاد نص فهاد النص فهاد القوانين لي خسّنا نتبعوهوم فهاد لبلاد,What is this text of rules?
خاصك تسالم,What should I do to calm myself down?
هاد المشاكل غا يقتلوني,These problems are enough.
موحالش.,Probably not.
كون غير قدرت ن دفا فهاد لبرد,If only I could be warm in the winter.
مابقيتش باغي ندير ليك وقتك سمح ليا أنا غادي,I will not give you time.
هادي لمرة الثالتة لي كايخسر فيها السانسور هاد جوج سيمانات اللخرين,This is the third time the lift has broken in the last two weeks.
ماتهلميش بزاف,Why don't people hate me?
كيما كان الحال,anyway
ماتكونش متكبر,Don't be arrogant.
كون غير قدرت نسبح ناعس,"If only I slept better, what would I do?"
ماعندي مانڭول,I have nothing to say.
خايف تكون هادي هي نهاية ديال نوبتي دابا,I'm afraid that's the end of my shift now.
مشيت عندو سولني فين كنت البارح,I asked him.
قالو ليه راه ولدك,They told him
نتا من نوع لي كاتشرب القهوة أولا أتاي؟,Do you drink coffee or tea? Why?
اشنو كيعجبك ملي كتكون حاوي؟,What do you like to do when you have free time?
كانو ف عفريقية,They were in Africa
كان كيسحاب ليا غادي تريب ديك دار ديخية,I thought that this house will fall.
كاندن بلي شي حاجة غلطة,What is wrong?
"كنقترح تسمع بزاف و تهضر شوية, خاصني نمشي دابا","I suggest you listen more and talk less, I have to go now."
تانفكّر واش نشري شارجور جديد,I'm thinking if I should buy a new charger.
راس إلا ما تهزمش,"If one is not fit, why?"
جيدي عندو دار فالعروبية عندهم فيها البرger,"My grandpa has a hoyse on the country side, it has cows."
ولا كاسول,He becomes lazy.
مابغيتيش ت الدبز معايا را هانسلقك,Why don't you want to fight me?
واش سافرتي مازال?,Did you travel?
"بالمناسبة, أيخصنا نشطحو!","By the way, we're gonna have to dance!"
آهيا، بانليا بحال كاتعرف هاد الكلاب,"Hey, you seem to know these dogs."
ساهل عليكوم تيحو الباطل على ناس,It is easy to accuse people.
راني كنت ختاريت اللون,I chose a color.
راه فايق خاسّر,Why does he not wake up in the morning?
باش يالاه نشوف نلقى شي حاجة,To look for it.
شحال دايرا هادي,How much is this?
نسيت البزطام فدار,I left my wallet at home. What should I do?
سلم كيف دايرة معا راجليك,Hows your foot?
ولاكن أنا بصح مابغيتش نكون ف هاد الطيارة,But I really don't want to be on this plane.
كاينة هنا شي مخبزة قريبة؟,Is there a bakery nearby?
دولة خاصها داخل,The governement need to take action.
قطبة إيلا كتبت أحتي,I am getting married. What should I do?
مابغيتش نخسرك,I don't want to loose you.
وكليت زعلوك,And ate z3lok.
هادي واحد المجموعة ديال البيتقات,These are cards.
خنقني هاد الدوا لي مدايرين فسبيتار,This gas choke me
جابك الله,God brought you.
عندك حساسية ديال الجلوتين؟,Do you have a gluten allergy?
علاش مابغيتيش تخدم في المطار,Why don't you want to work at the airport?
ماجاية ناكل تاشي حاجة,I did not come to eat anything.
واخا تعطيني دقيقة من وقتك,Can you give me a minute of your time?
محال حتا واش أيكون عندي شي سؤال حيت كانفهم غير شوية,I don't even think I'll have any questions 'cause I understand so little.
أنا عندي فيك ثقة,I trust you completely.
حزيت ساك تقيل بزاف,How do I lift a heavy bag?
خليني نبدل هاد المرايات,Let me change my mirrors.
باقي عندي الفلوس من عيد ميلادي,I still have some money left from my birthday. How can I use it?
فيق!,Wake up!
راني كنت ختاريت الخطة الجديدة,i applied a second strategy :
فين مشا لاحترام,Where has respect gone?
راه مسكين مغرم,He is in love.
كيفاش ديما كتعرف امتا كانبخي تعنيقة أولا نحط راسي على كتفك؟,How do you know if you need a shoulder to lean on?
كنت واقفة ف جردة,I was in a garden.
عمرك ت علن على شي حاجة زوينة,You should never anounce something good.
كيفاش كتبقى تعلم؟,How can I keep learning?
إوا سيري بحالك ديرجي عليا وجهك,go now leave
نلا متزاير على راسك,You are hard on yourself. Why?
نجيب شي وحدة يجري عليها,bring someone he can fire.
شد ليا فيدي,My hand is grabbed. What should I do?
كايعجبك تشتح ?,Do you like dancing? Why or why not?
ولبراه لي كان,He will be available yesterday.
واش البيت كبير ليكوم بزوج,Is there a room big enough for you?
اشنو كتيكسوم,What does a human consume?
كايدوي معايا غير لوقت ي بغا,He speaks to me whenever he wants.
عندك بحال لليل بحال نهار,Do you have like day like night?
فوتي عليك المشاكل,What is the best way to avoid problems?
أنا غادي نوزّع ڭاع لوراقي على تلاميس,I will give the students their papers.
كايقدمو فطور رائع من بعد الإقلاع,They serve excellent breakfast after takeoff.
