Original Moroccan Arabic,Translated English
جربنا ماكلة جديدة كانت بنينة,We tried a new food that was delicious.
ديالاش هادي,Why is that?
اشنو الحال,How are you?
كانعيش في ليبيا,I live in Libya
فالواقع هادشي كاملو معتمد على شكل ديال نظار,It really depends on the shape of the glass.
متأكدة مابغاش تمشي معانا,I'm sure you won't come with us.
رخف راسك,Keep your head down.
مامتأكدش واش فهمت,I'm not sure I understand.
غادي تكون ديال القرقارة,It will be for the bell.
اليوم غادي ترا شي حاجة,Today you will see something.
راني كنت تعلّمت پروڭراماسيون,I have learned programming.
اش خصني نلبس؟,What should I wear?
يالّاه نتغدّاو !,Let's have lunch.
أهلا بغيت القهوة مع عصير ليمون عافاك,"I would like a coffee with lemon juice, please."
إنتا يهايدو الحاجر سيهو,You are going to lose the stone.
حمد وأمور عادية مزن,Praise and homage
المشكل ديالي كولشي ولا عارفو,My problem is that I don't know
عمرك جربتي تسحّو وراقي ديال باك,You should try to wipe the back of my bag.
زيديني غير شهرين ونمشي,Give me two more months and I 'll be gone.
مابغيتيش ت سوب هاد لماڭانا,You don't want to eat that soup.
واش كادير الرياضة بزّاف?,Does he exercise a lot?
ونتوما مالكوم؟,How much is it?
نساليو سح أ يبان أكس عادي نديرو,We left it as it was.
شكون نتا باش تفرد عليا شي حاجة مابغيتهاش,Who are you to tell me something I don't want?
بان ليا شرجم قلت اجي نتل منو,I had a window open and I said I would come and look through it.
هاداك غير نساب بعيد منو,That's just a few feet away from it.
هاد الخدمة تعكسات,This service is not mandatory.
حسبيني ختك ماشي صاحبتك,I think your sister is your friend.
إوا خسّارة كون فاكرت فيها سيمانا فايتا,It's a pity I thought of it weeks ago.
عدكوم 15 دقيقة باش تساليو هاد لامتيهان,You have 15 minutes to answer these two questions.
راكي ناقصة ف هادشي كامل,You are missing the whole thing.
هاد الدار رخيصة,This house is cheap.
كانتسنّا فيك ت شهل ليا ديك لمسألة,I was hoping you would let me know about this.
لا لا خود راحتك معا البنج ماكانحسش بوالو,"No, don 't bother with the banjo. I don 't feel like it."
نتحداك ت حدّر داك درسّ مسيان و تجي فهمو فلحصة,I challenge you to choose that lesson wisely and come to understand it in class.
أجي تلاق ليا كونّشيون,Come and meet me in the corner.
فيها أنتيبيوتيك لي خايب البشرة,It contains antibiotics that are harmful to the skin
شيتان دارها بيا,What a house
هاد الكاس ماكيتهرسش,This glass is unbreakable.
أنا كنخدم من دار,I work from home
خاص لي تهس معاه بتومينا,I have to be careful with him.
كاندن غير شلادة باش نبقى متبع ريجيم راني خليت,I only ate a salad to keep up with the diet I was on.
لاباس عليه أخي,"It's all right, brother."
تقدر تكون كاتعول عليا نفس لهدرا,"You can count on me for that, too."
طباع سيستيم,Type of system
علاش هاد الخبرا طوحشناك,Why did we want you to know this?
عمرك جربتي تقلم فشي بلاد باردة,Have you ever tried to live in a cold country?
فايت لي سايڭ هاد توموبيل,I need to buy this car.
علاش مابغيتيش تسرح لهيه,Why don't you go there?
ماعرت مال التلفازة حسرت,I'm tired of watching TV. I'm tired.
بان ليا صاحبي فالتمبيل,My friend is in the hospital.
مالك متكبر,Proud owner
شنو كاين ف الطروسة ديالك؟,What's in your bag?
عمرك جربتي تفوض معاه على شي تمن راه جلدة,Your age is too young to be a lawyer.
كون غير قدرت ندبت ولادي باش ديما يكونو مربين,If only I could have taught my children to be educated.
ماعندو حتى فكرة,I have no idea.
ممكن,It is possible.
تاواحد مابقا يشوفك فهاد الحالة إوا تبدل,No one will see you in this state unless you change.
حسات بلي هوما ليكانو ختفو البنت,I think they must have taken the girl.
أنس,Forget about it.
فراسي نتا أستاد الإنجليزية,French teacher of English
فدحني واحد ولد الحرام مورا ما هاكا ليا تيليفوني,A young man called me as soon as he got the call.
قولي ليها راني كنتسناك هنا,Tell her I was waiting for you here.
بحال أي واحد أخور,Just like anyone else
حريرتك حريرة,Your hair is free.
خل كتسوى هادي,Keep it quiet.
واللهيمة عرفت قليل ريسطورات لي كانعرفهم هنا قريب,I also found a few restaurants that I know are nearby.
تا أنا الخوت,This is the fish.
ملي كنشوف اللون حمر،كنشوف الأخضر حتى هو,"When I see red, I see green too."
هادي هي نظرية,This is a theory.
أنا غادي نمتل ليك واحد دور نادي,I'll paint you a clubhouse.
اليد ديال الباب سخونة بحال كانت فوڭ البوطة,The door handle is as hot as it was in the bathtub.
عمرك جربتي تحرك راسك بحد التريقس ديما كاتعنز ملي كانديرها,"If you try to move your head to the side, it always looks like a candle."
فيناهيا صحبة هاد الوقيتة,Where is the company at this time?
واش عندك ريزو ف تيليفونك?,Do you have a Ritz in your phone?
خليني نركب ف هاد التاكسج,Let me get on this taxi.
حلم ديالو هقو,His dream is here.
لي بغيتيه نديروه,I want to do it.
علاش مابغيتيش تدوز من داك جبل لي نجارف,Why don't you climb that mountain I'm climbing?
ماتستهلش وقتي لي عطيتك,Don't waste the time I gave you.
علاه فين كنتي,About where you were.
تا ختي جات نفس نهار معايا,My aunt came the same day as me.
علاش مابغيتيش تجلبو,Why don't you bring it?
كندوي بنيتي,My own candy
غادي نسولو!,I will ask him!
و نتهنّاو تا هنا,And congratulations to you
غادي تصيفتك للسبيتار ديركت,I will take you to the hospital directly.
مابغيتيش تعدّم شي واحد معجاز,I don't want to commit a miracle.
عمرك تعاود تفكر فداك الموضوع,You should think about it again.
ماكايناش توموبيل ديالا للخدمة؟,Is there no car for the service?
فشكل,Form
سير تل على عمامك,Walk up the hill in front of you.
الفار حيوان صغير,The hare is a small animal.
كايبان ليا هادشي ماهواش,I think that's not right.
هات أهداف واقعية,Set realistic goals
ماعمرك ماجربتي لاساڭن أخير بالخضرا,How old are you that you haven't tried the last one with the green?
كان كيعجبني فصل الخريف,I like autumn
هاهوا في دار,They are in a house.
هوا بغا يمشي لأفريقيا,He wants to go to Africa.
محسش بصدمة?,Do you feel a shock?
امتا غادي تسافر,When will you travel?
أش بان ليك فيه?,How do you like it?
عندو شعر قصير,He has short hair.
قشّابتو واسعة,His glasses are wide
نسبة كبيرة ديال السرطان ديال الميعدة سبابها للڭارو,A high percentage of stomach cancers are caused by jaundice
خريتي المعن تاع الكوزينة,My kitchen is full of food.
اش فيها؟,What's in it?
معلم,Teacher
مالك معصب,Owner is unemployed
ديما نتا هاڭر راسك,Always keep your head down
نهارك مبروك,Have a good day.
معامن شفتك مؤمن شبهتك,Your lips are sealed.
ماكملتيش لهدرا لي بديتي,I didn't finish what I started.
كاينا شي حاجة مقلقاني.,Something is bothering me.
علاش مابغيتيش تدوي معايا ياكما ديرت ليم شي حاجة,Why don't you come with me or you can do something for me?
ماتلاقيتش معاق,I don't have a disability.
ماكانحملش المغنيين!,I don't like singers!
خاصني نشوف الفرملية عفاك,"I need to see the nurse, please."
مانضنش غادي يسلفني,I don't think it will cost me.
عمرك تاكل شلادة برا فصيف,Your mother eats salad outside in the summer.
ماكاين لا سلد لا والو غير لكدوب,"There is no money, only lies."
عمرك تستوكي داك شكلاط فشمش,Your age is not that important.
سدموني ملي عالو ليا ماتات شبتك,I was called up because I had a bad cold.
كيعجبوك ريسطورة لي كايركزو على مذهر ديال ماكلة؟,Would you like a restaurant that focuses on a wonderful meal?
شنو الغلط لي درت معاه,What did I do wrong with it?
آيه، داكشي بالضبط اللي كاين!,"Yes, that's exactly what it is!"
راه إداريا ممنوع هادشي,It is administratively forbidden.
الحومة لي كنت ساكن فيها ردموها كاملة,The house I lived in was completely destroyed
عندي رونديفو اليوم,I have an appointment today.
قلّ قسماين,Count two
شنو درتو,What did you do?
فيناهوا سرف,Where is the surf?
"كاتفرج فل أفلام, كاتشارك فل ألعاب, و كاينا مكتبة...","I watch movies, play games, and have a library..."
راه ديما تايح فبنات الحرام,She always goes to the girls' room.
ماكانت كاتخاف من والو,She was not afraid of the wind.
و تجيو تشوفوها,And come and see it.
باينة ليا حانتعلم كيفاش نشطح,I think I know how to surf.
تخلعت عليك بزاف,I missed you so much.
أولا ممكن آلا.,Or maybe not.
عندهوم طلبات محدّدة ديال ريجيم,They have specific dietary requirements.
نتا أصلا معواق من هاد الناحية,You're really confused about this one.
تعطلي بزّاف باش تعرض على ناسّ,You take too long to show people.
حافظة ليا جنبي مزيان,My wallet is fine.
هاد تلميد ديما خايب كايجي غير فالامتحانات,This student is always bad. He only shows up for exams.
هو كان ف كافي,It was in the cafe.
خاتحطو ريتكوم فتيران تقتلو,A train crashed into the Ritz-Carlton train station and killed him.
شوفي غا هاداك كاين الماش,See if there is a match.
خليه يسوني تايعيا وغادي يقتع,Let it dry and then it will fall off.
كان خاصك تاخد المكونات,You should have taken the ingredients.
فاش كنت صغير، كراعت بنت عمي، كانت كادير فكارن فوق ضرعها,"When I was a kid, I used to watch my cousin, she used to play with a cartoon on her chest."
متّافق على تخطيط,Agree to layout
داكشي علاش كان حسن,That's because it was good.
تسناني غدا,Wait for me tomorrow.
ماكانتخلصوش بلاكارت,They don't pay for postcards.
شحال من ساعة فالسيمانة كتخدم؟,How many hours a week do you work?
صاحبتي غادي تجي عندي,My friend is coming to see me.
الحاجة الكبيرة ماشي ديما زوينة,Big things are not always beautiful
شكرا على النصيحة ديالك.,Thank you for your advice.
باقي تقدر تسحق الآلات ديالك,You can still crush your machines.
شي وحدة لي تعيا ماتسمع ليها ماعمرها مكاتلع ليك فراسك ?,Do you have a live one you haven't heard of that you've never seen before?
بشحال بعيدا,How far away is it?
ڭاع خدمتو كيديرها بسكوتي,His service is now being handled by Scotty.
فكر تاني,Think again
شنو كيعجبك دير ف فصل لبرد ?,What do you like to do in the winter?
مامنقل شي شاب الباك والو,No young man is being transported.
جا على ليمن ديالك,Go to your right.
علاش مابغيتيش تجبد حوايجك جداد,Why don't you wear your new clothes?
عمرك جربتي تحقّق شي حاجة كبيرة,Your age has proven to be something big
سمحليا قبيلا كنت مزروب,I'm sorry I was in a hurry.
بديتي فهاد الغيرة ديالك,I'm beginning to get jealous of you.
فين تبان ڭدامي,Where is my hand?
سير درب ليك دورة حدا البحر,Take a tour of the seafront.
أنا ديما محتاج دعواتك الواليدة,"I always need your prayers, Mother."
ماقدرتش نجي ل لحفلة ديالك,I couldn't make it to your party.
هير هنا,Look here
واش يمكن تشرح ليا؟,Can you explain it to me?
بغيتي شوية ديال الما؟,Would you like some water?
عمرك جربتي يجريو عليك من الخدمة,Your age is about to be called off from work.
ماندينش غادي نسمع لداك ديسك مرة أخرى,I don't think I'll ever listen to that CD again.
كنسمع بنادم برا,I hear a noise outside.
كنت هزا واحد لحمل تقيل بزّاف,I was carrying a very heavy load.
هاداك لوالد عندكوم مفاشاش بزاف,This is very unfortunate for your father.
غايكونو ناعسين دابا,They'll be asleep now.
البنان كحل,Banana is a solution
هاد لحد أنمشي نتفرج فالتبوريدة,I'm still looking at the refrigerator.
راه ملسة هاد الحجرة لي عديتها من البحر,This is the room I bought from the sea.
ماشي مشكل، ليكاين هوا هير مابغيت ندير تاحاجة,"That's fine, but here's what I want to do."
مينها نخرجو نبدلو الجو شوية,Let's go outside and change the atmosphere a bit.
اشناهيا احسن لعبة فيخرك؟,What is your favorite game?
كون غير قدرت ن وسّع ليك تريكو باش يجي قدّك,I was able to stretch out your shirt to come to you.
أنا ضد أفكار ديال جوجل و أي معهد آخر كيستخدمنا باش يحصل على بزاف ديال المعلومات!,I am against the idea of Google and any other institution using us to collect so much information!
واش كنتي كاتعاونيه شوية؟,Could you help him a little?
عينيها طابو بدموع,Her eyes filled with tears.
هاهيا,There you go.
أنا جيهت لهسيني,I came to Hesse.
راه نفسي عندو هاد المشكل,I myself have this problem.
خليني نقد ليك تقدية,Let me give you a penny.
فيها شي عيب,There is something wrong with it.
هوو ميريكاني,He is American.
كايخلي ليا ريحة خايبة,It gives off a bad smell
وقسماين,and sections
غادي تخلي الناس يحسو بعدم ارتياح,It will make people uncomfortable.
لا شكرا,No thank you.
تقت فيك ولكن نتا سدقتي شماتة,I trusted you but you betrayed me
تسنا، خاصني نشد كلبي,"Wait, I have to get my dog."
عندو برنامج ديال الطبخ,He has a cooking program.
واش عزيز عليك الأعمال اليدوية,Do you like handcrafted things?
شوية و هيا تحت العشا,"A little later, after dinner."
ولكن راجل تاهوا مصبرش,But the man was lost and impatient.
واعليكا سلم للهمد لله,And so I thank God for that.
نتحداك تخببا فداك القر بلا ماتخلع,I challenge you to keep the bottle in there without taking it off.
قلت نيا لاربحت أنايا ولا نتيا,I said I won either way.
الأتاي في العشية غير من بقرة مشية,Afternoon tea is only from a walking cow
أنمشي لعصيمة,I'm going to Asima.
تليفوني تافي,My phone is ringing.
بهال هادوك غير بالما يجيو,These are just the ones that come.
تانفكّر واش أيتوّقو هاد لبلاصة ب ل بوليس,I wonder if they'll expect this place to be a police station.
واش جمعتي الباجاج ديالك؟,Have you collected your luggage?
وجيب ليا معاك,Bring it with you.
اللهم دارنا ولا تكرفيس,Please come to our house and don't waste your money.
أضحك وصافي... ولكن هوما كايخليوك تجيب باش تقصر إيلا بغيتي,I laugh and I am clean... but they make you wear shorts if you want to.
إيلا عندنا الزهر,If we have the flower
هاداك ريسبونساب كبير ف شركة,This is a big responsibility in a company.
ديما كاينسا بزطمو,He always forgets to shout.
دابا ل 3 جور,Now for 3 more
مانضنش غادي نتوا معاك حيت راك سقرام,I don't think I'll be able to keep up with you because you're a stranger.
بغيت نكتب داك المدوق,I want to write that down.
هادي عندك,Here you go.
وقف قدام القاضي,Standing before a judge
علاش مابغيتيش تعوم فالبحر ياكمة كاتحشم,Why don't you swim in the sea if you're thirsty?
سولتو واش بغيتي أتاي,Just ask if you want some tea.
ماعندناش وماخسناش,We don't have any and we don't want any.
كان لابس طربوش ف الحمر,He was wearing a red bow tie.
ولاكن راه ماقريباش وماعرفتش واش كاتحل نهار الحد,But it's not close and I don't know if it's open on Sundays.
كايرتاب جلد,Leather wallet
نقدرو نديرو ليك ڭاع البرغر بلا بصلة إلا بغيتي,We can make you a hamburger without onions if you like.
مابقيتش باغي نسويب ليك هاد البيكاكا,I don't want to throw this pickaxe at you anymore.
كون غير قدرت نلوح ديك لستدعا,I wish I could have gotten you to sixth grade.
ديها ف جيهة لي دارا,It's in the corner of my house.
آلا إمكن لينا نرجعو لأنفس ديالنا؟,Can we return it to ourselves?
تانفكّر واش نزيد نزرب.,I think I might have a little more speed.
كانطلب سمحة من جميع الجمهور على قبل هاد القرار,I apologize to all the audience for this decision.
راه قاسح عليك هادشي,It's hard on you.
علاش مابغيتيش تقلدو,Why don't you want to take it?
قرا معاك هاد نص فهاد النص فهاد القوانين لي خسّنا نتبعوهوم فهاد لبلاد,Read this text with me. This text is the rules that we have to follow in this country.
خاصك تسالم,You must pay.
هاد المشاكل غا يقتلوني,These problems are killing me.
موحالش.,It's not good.
كون غير قدرت ن دفا فهاد لبرد,I could only have stayed in this cold.
مابقيتش باغي ندير ليك وقتك سمح ليا أنا غادي,I don't want to waste your time anymore. Please excuse me. I'll go.
هادي لمرة الثالتة لي كايخسر فيها السانسور هاد جوج سيمانات اللخرين,This is the third time my sensor has failed in the last two weeks.
ماتهلميش بزاف,It doesn't touch very much
كيما كان الحال,As it is
ماتكونش متكبر,Don't be too proud.
كون غير قدرت نسبح ناعس,Being able to swim is difficult.
ماعندي مانڭول,I don't have a manual.
خايف تكون هادي هي نهاية ديال نوبتي دابا,I am afraid this is the end of my shift now.
مشيت عندو سولني فين كنت البارح,I went to him and asked him where I was yesterday.
قالو ليه راه ولدك,They told him he was your son.
نتا من نوع لي كاتشرب القهوة أولا أتاي؟,What kind of coffee or tea do you drink?
اشنو كيعجبك ملي كتكون حاوي؟,What do you like to eat when you are hungry?
كانو ف عفريقية,They were in Africa.
كان كيسحاب ليا غادي تريب ديك دار ديخية,"If it were me, I would have to drive you home."
كاندن بلي شي حاجة غلطة,I think something is wrong.
"كنقترح تسمع بزاف و تهضر شوية, خاصني نمشي دابا","I suggest you listen a lot and talk a little, I have to go now."
تانفكّر واش نشري شارجور جديد,I'm thinking of buying a new charger.
راس إلا ما تهزمش,Head or not
جيدي عندو دار فالعروبية عندهم فيها البرger,Jodie has a house in the car with a burger.
ولا كاسول,Or the castle
مابغيتيش ت الدبز معايا را هانسلقك,"If you don't want to be stuck with me, I'll hang you up."
واش سافرتي مازال?,Have you left yet?
"بالمناسبة, أيخصنا نشطحو!","By the way, we have to go sailing!"
آهيا، بانليا بحال كاتعرف هاد الكلاب,"Yes, I think you know these dogs."
ساهل عليكوم تيحو الباطل على ناس,It is easy for you to lie to people.
راني كنت ختاريت اللون,I had already chosen the color.
راه فايق خاسّر,He is very tired.
باش يالاه نشوف نلقى شي حاجة,Let me see if I can find something.
شحال دايرا هادي,How much is this?
نسيت البزطام فدار,I left my wallet at home.
سلم كيف دايرة معا راجليك,Please tell me how things are going with your husband.
ولاكن أنا بصح مابغيتش نكون ف هاد الطيارة,But I really don't want to be on this plane.
كاينة هنا شي مخبزة قريبة؟,Is there a bakery nearby?
دولة خاصها داخل,A country within
قطبة إيلا كتبت أحتي,I wish I had written something.
مابغيتش نخسرك,I don't want to lose you.
وكليت زعلوك,I ate your lunch.
هادي واحد المجموعة ديال البيتقات,This is one of the sets of cards.
خنقني هاد الدوا لي مدايرين فسبيتار,I was suffocated by this medicine for two days in the hospital.
جابك الله,God has blessed you.
عندك حساسية ديال الجلوتين؟,Are you allergic to gluten?
علاش مابغيتيش تخدم في المطار,Why don't you work at the airport?
ماجاية ناكل تاشي حاجة,I don't want to eat anything.
واخا تعطيني دقيقة من وقتك,Please give me a minute of your time.
محال حتا واش أيكون عندي شي سؤال حيت كانفهم غير شوية,I don't even have to ask questions because I understand very little.
أنا عندي فيك ثقة,I have confidence in you.
حزيت ساك تقيل بزاف,I found a very heavy bag.
خليني نبدل هاد المرايات,Let me change these mirrors.
باقي عندي الفلوس من عيد ميلادي,I have some money left over from my birthday.
فيق!,Get up!
راني كنت ختاريت الخطة الجديدة,I have chosen the new plan.
فين مشا لاحترام,Where is the respect?
راه مسكين مغرم,He is a poor lover.
كيفاش ديما كتعرف امتا كانبخي تعنيقة أولا نحط راسي على كتفك؟,How do you always know when to hug or put your head on your shoulder?
كنت واقفة ف جردة,I was standing in a queue
عمرك ت علن على شي حاجة زوينة,Your age has something beautiful on it
كيفاش كتبقى تعلم؟,How did you learn it?
إوا سيري بحالك ديرجي عليا وجهك,"If you look good, put your hands on your face."
نلا متزاير على راسك,Don't look at your head.
نجيب شي وحدة يجري عليها,I'll get one that's been tested.
شد ليا فيدي,Pull my hand out.
كايعجبك تشتح ?,Do you like to eat?
