tgt,src
أوي اكتارية غشو,I'm waiting for a shower
عادي تكوني نتي نقاصة,You're usually too short
باينة كيكات شكلاط,how do you do
سيفت ليوا تعبئا,they will fill me
مان أحسن العطور,i'm good for perfume
صافي باراكا,it's clear
أنا غادي نزرب عليك,i'm gonna snuggle at you
عارفة ماعدناش هسا اليوم,i know nothing but today
واش كانت لابسة حزام السلامة؟,Was she wearing a seat belt?
نتا راك غير شماتة,I'll see you if you smell it
ديما كاتسوّلني عليه,you always beg me
بلا ما تشوف شكون يعاونك,Don't you see they're helping you
واش عندك نمرتو؟,Do you have a tiger?
شتي هاداك الفيلم جديد؟,do you think this film is new?
أنعلمك,I teach you
تهدان وكلشي يفوت,you give it up and everything you miss
إيلا تلقيتي المرا ماتوريها دار بها,if only you received it
مابغيتيش ت كمّل ديك لوعبا,You don't want to finish this game
كايدوي إلينا,he came to us
كان راجل مزيان,he was a good man
هادشي ساهل,this is easy
ليكايخليك تقولو فهال هاكا,let you say it like this
تقداو تيكيات,you should go to the ketchup
درابني التران,train me
راه جاندرمية تلڭاو لينا,i'm gonna talk to you
هادشي فايت لقياس,that's how to measure
خليني نحضر معاكوم.,Let me bring you some.
آه، هاهوما,"Ah, here they are."
لاي سمح ليا من الواليدة تقيت ليها فوق زربية,I'm not allowed from the birth I met her on a turkey
خاسّ ناكلو لخضرا كولا نهار,I'm going to eat a cup of tea
كولشي دور عليا وجهو,it's the turn of my face
المرة ماكانتش كاتجاوب ليمايلس ديالها,I don't like to answer to her parents
بغيت نقوليها غير بون نويت,i want to say it
أنا غادي نكون غير ف الدار,i will be at home
وليت حديها,i told her
بغا يعرفني أش غا ندير,he doesn't know me
غايترا شي زلزل ف الحسيمة,i'm trying to make a lot of money
كون غير قدرت نلغي هاد الشتراك,if only I could cancel this company
و أخيرا غادي نقدر نلبس هادوك التلونات لي كانو كايجمعو الغبرا عندي فل مريو,And finally I can wear those colors for myself
كاتلقى واحد ماعندوش تا باش يتعشا و ولد ستة ديال الدراري,i find no one who eats and is born six days old
هنّين فيا أختي,I'm here for my sister
تخيلي سيدة راه مزوجة,imagine a married woman
أش هاد المشية,what are you going to do
أنا كندخل فالقصة و كانضن غادي تولي مثيرة بزاف قريبا,I'm in the story and I think I'm gonna be hot soon
مانضنش غادي نحبسك,i dont think i will lock you
مالك فيك تباقشيش بزاف,you need to talk too much
راه كاين ف البيسي ديالي، لي كاين ف البيرو ديالي,"it's in my clothes, it's in my clothes"
واش بغيتي شطي بسكر؟,Do you want to drink sugar?
ختيني عليك,i told you
نتحداك ت رفق داك راجل تالفوق ديال جبل,I dare you to go with that mountain man
ختي راه أول مرة هادي,my sister did it the first time
سد داك الباب,close that door
كنت غادي تلقيت قدامي واحد زرقلف,i'm gonna get a girdle in front of me
كلشي بيخير ونتا؟,Everything good and good?
كايرد البال بزاف البحال هاد التفاصيل,i think of all the details
إمكلي نساجل المولود جديد غير عند مول مكتبة,you need to find a new kid
مانشوفش وجهك هنايا,I don't see your face here
تانفكّر واش نشري شي ماكينة ديال لحسانا.,I'm thinking if i buy a machine
زيادة من راس الحمق,More than a fool's head
هادي أول مرة غادي نخدم,this is the first time i will work
فين إمكن نصبّن حوايجي?,Where can I find my clothes?
أنا مسافر لأمريكان,i'm a traveler for the Americans
كون غير قدرت ن هرب,if only I could escape
وخل من وحدة خربتي,and leave the unit you've ruined
ماعلباليش,I don't have to
نخلّاه تولدي على خير,let him be born well
الخضرا راليا,the vegetables are fine
إمتا غادي ت شرّف بلادك شي نهار فشي موساباقا عالامييا,if you will honor your country by day
يقدر يدخ معاك عادي,he can go with you
متّافق.,I agree.
كاينا واحد رسالة لفوق إيلا حزيتي راسك,there's a message in front of you
راك فالقرعة الخامسة ديالك,I'll see you at the 5th o'clock
لكلب ديالي عينيه زرقين,his eyes are blue
إيلا كنتي كتبغيني خليني نمشي,if you want me to go
هادي كليانة قديمة عندي,i have an old kidney
عاد بديت كنفيق,she's starting to be crazy
زرب عليهوم,i'm sorry
ساروت ماعرفتش فين هوا,i don't know where he is
أنا غادي ننشي نتلب,I'm gonna go get dressed
إوا بقينا هنا,if we stay here
ماكانخليش راجلي يخرج مع شي وحدة من خيري,I didn't think my husband would go out with any charity
بارهوش,it's okay
غاتبقى عايش بوحدك,you will live alone
علاش مابغيتيش تسجل ف هاد المدرسة,Why don't you want to sign this school
كايبالّيا غانهضر معا المدير عليها.,i will go with the manager on it.
ماغانساليش هيت معروضة,I don't think she's on the show
خاشوم إعرفو فين مشات,dont know where to go
و فيا الجوع,and hunger
شنو بغيتي دڭول,what do you want
راني كنت كان تجهلو,i didnt know
حنا غانتكلفو بهاد المشكل,we're gonna take care of this problem
بغات تشوفني مرتاح,i need to be comfortable
خانحدر الواحد تورونوا ديال كورة,i'm trying to find a car
"و بحال شي معجزة, ماعمرو خسر و أنا فيه باقي","And in case of a miracle, he didn't lose when I'm still in it"
واش نتيا مستيا؟,Are you ready?
كون غير قدرت ن جيب ڭاع ديكشي لي بغيت,if only i could bring something
كانتسنّا فيك ت عاقب داك ديري حيت عير ساحبو,I'm waiting for you to punish him
عطاك أ سيدي تحليل ديال سكر و فيقر ديم,i gave you a sugar analysis
بغيت نعرف واش كاين شي تاكسي قريب,I want to know if there's a taxi nearby
كاتعطا ل شي مخديرات ?,Are you giving me drugs?
كولو مرحبا بيكوم,hello
إيلا كنتي زربانة غير سبقيني,if only you were a rug
واش بصح على المبارا؟,is it true to the game?
نود نمشي معاك,we want to go with you
تلاتة شهورة وأنا كانقلب على الكرا,It's a month and I'm turning on the car
امتا غاتعيطو ليا,when will you give me
أنا غادي نفكرك في هاد النهار,i will think of you this day
يوم,day
خليني نخسم عليه,let me take care of him
عمرك جربتي تستهلك هاد نوع ديال شكلاط,Have you tried to consume this kind of chocolate
مازال نسدمك,he's still in your blood
ما روز لي تتاتويل شعر,i didn't wear hair
إمكان عندك حساسية من شعر ديال الحيوانات حتى هو.,You could be allergic to animal hair even him.
طالين تبقى في هاد الحالة,you stay in this situation
اشنو واقفين كتسناو هنا؟,What are you standing here?
هانتا القضية و حكم نتا,we have the case
ماكانتش حامل راسي ولكن ماقدرش نبعد من الڭارو,I'm not pregnant but I can't be far from the country
تقلقت من خطي حيت ماكاتراعيش ليا,I was worried that my life didnt take care of me
غاندي نبغيك ترجع عندي تا غدا,i want you to come back to me tomorrow
ديما مجابل هاد البلاصة,i always meet this place
داكيرة عندي مازال هيا,i have a lot left
اليوم صافي كملو,today is the day
ولقا بنت زوينة,meet a good girl
صباح بسبونة دلهجرة,the morning of the migration
أول عام,the first year
معلمين بحال البركة و المنتزه؟,teachers in the park and in the park?
ماڭالش ليك شنو بغاني,why don't you do what you do
مرة فشحال,Once in a while
تليفون ديالها تافي,the phone is on the phone
غير ربي حفاد,i need granddaughter
طريك عامرة اليوم,you're late today
"فاش غانخرجو من طريق, غانمشيو ل سيكتور ديال لحيوانات","I'm going out of the way, I'm going to go to the animal doctor"
خرجو بزّاف تيليفونات جداد كايتخشاو فلما,they went out on the phone to talk about a movie
عييت اليوم من الخدمة بزاف,i spent the day working too much
بيض كبير بزاف.,Too big eggs.
واش تفضل أولا تكامل لي محتاج المساعدة فالمبدأ ديالو؟,Would you prefer to join me in need of help?
واش كاملة راشمة بحال هاد الشي لي في صورة,is that all good in a picture
مابغيتيش ت واجه لعدو ديالك,You don't want to face your enemy
لي كعا يسخف,i'm being ridiculous
كون غير قدرت نجيبك,if only I could answer you
باش تخدتي,what did you take
نهار الحد,the day of the day
مافكرتش ناخد الباف ديالي.,I don't think I'll take my money.
أهنا غير مع دار,I'm here only with home
الكليان عجبو الربوذيت بقا دايم ليه,I'm happy with the good news
كانميل لهاد دومين,it's nice to meet you
بغيت ندير داكشي لي عجبني,I want to do something I like
آرا لنا دك زعتر,show us what happened
ماعندهوم مايديرو محتاجين لفلوس,they don't need money
فاش ديري 23.24.25 لفوق أتفهمي,do not do 23.24.25
غادي نتقايا,I'm gonna pick up
وا على راحة,resting
مانضنش غادي ندم وقتي بحالك,i dont think i will regret my time
كانڭولها ليك و نعاودها,I'm gonna give it to you and bring it back
هدا جا هداك شي نهار نمشيولو,this is the day we go
بلا ما ترجع لدار دابا.,Don't go back to the house.
سير برد على راسك,go back to your head
مانضنش غادي تحرڭ بالعافية,i dont think i will go to health
جابت ليهم زبالت الفلوس,i brought them money
طربينا كنخافو,we've been scared
ماما كترت من لملحة اليوم لواليد تلع ليه تانشن,I didn't get too much salt today for my dad
واشنو جابك لهادشي,what did you bring this
حتى هنا عادي نصفرو,even here is normal
سير كمل خدمتك,go finish your job
ممكن تفضلي عفاك,will you please excuse me
اشنو بغيتي مننا نديرو؟,What do you want us to do?
مانڭدّش نتّهمك بتّا حاجة,i dont want to accuse you of anything
علاش مابغيتيش تبدل دار,Why don't you want to change house
ماكانشوفش صاحبتي كولا نهار,I didn't see my friend today
سماحلي برزقتك,allow me to see you
علاش مابغيتيش تلقا معايا و حرڭتيني ملي شتيني,Why don't you want to talk to me
واش هي ديما هاكدة,isn't she always like this
دحكت على راسي,i looked at my head
غدا غانشد لكر,tomorrow i will sing a car
كنقرا لونلي,i'm reading
مابقيتش باغي نلع ليك لمشاهدات,I dont want to talk to you
مقبول هاد ديري,this is acceptable
واش قصدتي مضلّة?,did you mean wrong?
خانشري واحد تيليكوماند الكراج,I'll buy a car
شهر هادا باش ما تلاقينا.,This month we didn't meet.
تعليمات هاهوما هنا,the instructions are here
راه سري هادشي لي كانڭول ليك,this is my secret
نجيبليك شي قهيوة,I'll get you a cup of coffee
واش كتفضل جوج ناموسيات ديال شخص واحد؟,Would you prefer to go to one person's bedrooms?
نتحداك ت نقل مع جاد الأستاد,I dare you to move with the stadium
و المهم باش ماكان ڭول ليا,And what's important is that he didn't tell me
ماكانوش البلايص في التران، ولكن كنت قادر نبقى واقف,"I didn't wanna be in the train, but I was able to stay standing"
واخا جيتي فبلاصة بعيدة زوينة,And you come in a nice way
مرحبا بيك في دار جديدة,welcome to a new home
داك ل فيديو سيفتاتو بانتي,this is a video of the girl
فين أخوة زين,where are his brothers
كندير رياضة في الصباح,I'd like to take a sport in the morning
علاش مابغيتيش تبتاكر شي حاجة واعرة بحال هادي,Why don't you want to think of something a bit like this
عمرك جربتي تقدم لشي واحد خايبة فزواج,Have you tried to propose to someone who is disappointed in marriage
و من بعد غادي ناخد لطرو كامل!,And then I will take a full line!
ناسّ ل أدكياء هوما لي كينجحو ف حياتهوم,people are my friends to make their life work
مابقيتش باغي نقل صافي هاداني الله,i will not move this god
خال تات خدمو,Uncle Tat served
كون غير قدرت ن ناقد شي حلسة إضافية,if only I could fix something more
ماكانسمعكش,I didn't hear you
ولكن خاصك تحترم الموعد النهائي جديد,But you need a new deadline
تعطلي بزّاف باش تأكّد عليه,you are too late to check on him
بان ليا زين دخل,that he came in
النهار بدا,day began
راه مافيهش ثقة هاد بنادم,this guy has no confidence
جيب شي حاجة جديدة,bring something new
مالنا عاوتاني,we helped me
حيت هيا وصفة الجرعة السحرية قديمة بمكون غامض,the recipe for the magic potion is old with a mysterious ingredient
صاحبتي من صغر,my girlfriend is young
وايه كلمة ترجمها لغة أخرى تعطيك تكست,any word in another language gives you dirt
أجي معانا نسافرو,come with us to travel
آه جو مس ماشي كاملة,"Oh, it's not the whole thing"
كون غير قدرت نلقى دكشي لي كانقلب عليه,if only I'd be able to find him
و لكن غالبا تانديرو لموضحيكة...,But most of the time they went to the park
واش أعامو,do you understand
جيبي ليا تليفوني,go on my phone
إنسان راه فيه خلل,a human has a glitch
تختبو غير فلمزوجة,she hides other than a wife's movie
لبسطي الخاتم في يديك,put the ring in your hand
سمعت أنّك تقدر تشوف شي طويّرات غزالين ألا كان عندك الزهر,I hear you can see a few birds if you have a flower
دير داكشي ليكايعجبك,do what you like
راه فرنساوي تولد فرنسا,France is born
واخا غير تسنايني أنا دابا نجي,if only I could survive
إوا كون غا سانتيحة,it's good
أنا قطاري,i'm my train
حجة وزيارة,An argument and a visit
تعطلي بزّاف باش تسلّم لماشروع,you are too late to give up
"مشيت ل واحد دار العجزة باش نشوف واحد صاحبي قديم و ندير راسّي راه عزيز عليا, غي باش نحاول ناخد فلوسو فل وصية",i went to the old house to see an old friend and to manage my head
صافي تليفون مشا ليا,my phone went to me
ردات الفعل ديالك كانت قوية,your reaction was strong
نسا.,I'm sorry.
كنت فرحنا هيت ولدت,i was happy she was born
فوقاش غادي يرجع لدار,he will go home
بغيتك تبقى نتا كيفما نتا,I want you to stay the way you are
أوه، وألا جددتي تحزز معاك شوية ديال العنب,"Oh, or you'll find some grapes"
غادي نديماريو دابا,he will die
راني كنت قطّعت لورقة,i was chopping a paper
ديريتيني ف راسّي,you took me to my head
هاد الأنسمبل مناسب ليا,this gym is good for me
كان كيسحاب ليا غادي يمشي يسمع,i thought that he will listen
نتي لي كتفكري بعيد,you give me away
عندنا,we have
عمرك تشفر,you should never open
نتحداك ت بدّل مورا هادشي لي وقع,I dare you to change the maura
راه هيتا واحد ماغادي يطيقني,there's no one I can't believe
أنا ماكنضحكش,i'm not laughing
بلا متدّي معاك ل كاميرا,without waiting for a camera
راني زادت واحد ع كيلو,i'm more than a kilo
لا والله ماعجبني,"No, god I don't like it"
باراكا من الخروج راك زدتي فيه,i thought that you didn't come out
كينا ديال الرداع,I'm sorry
وكنبقى نضرب في ناس كيعمو بشوية,I'm still punching at people who are good
لا، مكنضنش بلي عيخصنا نتحركو للضوية.,"No, I think we need to move to the lights."
حنا لي خاصنا نجيو,we need to come
مزيتي,my pleasure
بغيتي شي حاجة ماتاكل؟,Do you want something to eat?
كان كيسحاب ليا غادي يدافع عليا,i thought that he will defend me
غير كنت كنضحك!,i was laughing!
علاش مابغيتيش تتسلم ومادياش فدين ديالك,Why don't you want to give up your money
أجي تسمعني,come hear me
أجاركم الله,God help you
كاينا شي بلاصة حتى فراسك باخي تمشي ليها؟,is there something you want to go to my brother?
كتاب ديري و مالقا مايدير تا واليديه نتبرأو منو ملي جراو عليه من المدرسة,the book is deer and he hasn't turned his parents from school
تعلّم وصفة جديدة,learn a new recipe
غادي نختار شي أشخاص اللي ماكانخدمش معاهم عادتا,I'm gonna pick some people who aren't usually working with them
واش ماسمعتو والو,didn't you hear
عندي غير سؤال واحد,i only have one question
غادي نتغيب سيمانة جاية,I'm gonna skip next week
تعطلي بزّاف باش دفع ل لمدرسة لي كنتي باغي,you are too late to pay for school
غانشوفوهشي وحدة تعاونّا,we're gonna see if he's gonna cooperate
علاش لا؟,Why not?
خليني نتحداه,let me challenge him
أخيرا كملت خدمتي,I finally finished my job
كيعجبوني ناسّ لي كيقدرو لي كيديرو فيهوم ل5ير,i like people who appreciate how much they have for 5 days
كلات تلاتا ت الجرانات و جوج بربّوشات,they all went to the jar
إمكان غادي يبكي فالحمام مرة مرة,i can cry in the bathroom once
نباهتو ف ديك سوجي لي أيعطونا,he told me that he will give us
شنو بغيتي أ سيدي?,"What do you want, sir?"
مابغيتيش ت وجّه ديك نريسّالا لييا زعما,You don't want to show him
الكاتب مات,the writer is dead
دوشت اليوم,i didn't do today
كان كيسحاب ليا غادي يلوح السنارة باش يسيد,i thought that he will wait for me
أجي نحتافلو.,come celebrate.
خرب كافي ومشا فهالو,you are ruined enough and you are not in it
ماغايبغيش ليا,he didn't want me
شبعني هدرا و كلام,I'm tired of talking
خليني نمشي,Let me go
خلي هتا المنبعد,Let's get out of here
هاكاك إيلا حطيتهم فالستوري والساف ماكنسيفتهومش,i will bring them to the market
اشنو درتي؟,what did you do?
واش كاتعاتبني أنا على هادشي?,what do you think I'm doing?
أجي نكمّلو دكشي لي بدينا لبارح,I want to finish my job
تعطلي بزّاف باش تزوج.,you are too late to get married
أولي كيفاش خدا كولشي,why don't you take it
هاد الفنان كلشي كايبغيه,this artist is everything he wants
دب خاص حتى يكتبو ليا ادميس,a special bear to write to me
بلا ما تحاول دخل بيناتنا.,Don't try to get in our way.
سير عند عمتك.,go to your aunt.
طبعا لا!,Of course not!
هت لينا لعشا أصاحب,it's nice to have a friend
امتا غانديربو شي دورة ف المدينة؟,When are you gonna raise a tournament in the city?
دريا سكتات واحد شوية,Drea shut up one at a time
هاد الخرجة كان خسّنا نعبرو واحد شجر,this is the way we went through a tree
قافز وحدڭ,Jumping alone
هادشي ماشي عادي.,this is not normal.
بارميل من داحك ...,I'll tell you what.
خاصنا نسمدو باش نبقاو عايشين,we need to stay alive
وزع معاك هاد الفلوس على الطلبة,this money has been distributed to students
ورينا الخدمة ديالهم,show us what they do
من غير هادشي، ماكنديرهاش,"otherwise, I don't do it"
بغيت نخرج لباب مابغاش يتهل,i want to go to the door
علاش مابغيتيش تكره هاد السيد واخا دكشوي لي دار فيك,Why don't you want to hate this gentleman
غير خلي ليا شوية دلوقت,leave me some time
مانضنش غادي نتقدا بزّاف,I don't think I'm going too hard
أنا غادي ن نقوي راسي فلا الصالة,i will strengthen my head
ساعاتو لله,hours are for god
راه شملة هاد الصفقة الجديدة,this deal is new
غدا و سيري دبري على راسك,tomorrow you will go to your head
خويا الكبير خرج ماكاينش,the big guy came out
سير رتاه ليك شوية,go to you a little bit
مع ضري كان سمر كانو ديما كايتنمرو عليه,i thought he was always waiting for him
كون تسمع راسك أش كاتڭول تموت بضحك,if you listen to me you will die laughing
هادشي غير البداية,this is the beginning
قبل الوقت,before time
الله يتول ليك فالعمر,god takes care of you
تانفكّر واش حسّن ليهوم تلاق,I'm thinking of how good they are to meet
كون غير قدرت ن خربق و تسدق,if only I could go wrong and snap
واه,Whoa!
تانفكّر واش أيتقلّق مني,I think he's worried about me
اه، كانظن غادي يكون من الحكمة نتبعو خطوات ديالنا,"Uh, I think it would be wise to follow our lead"
تانفكّر واش نسّقت ف لوزن,I'm thinking if I get a weight
أوه نتا ولا أنا؟,Oh you or me?
عمرك جربتي تستتمر في هاد الشركة,Have you tried to continue this company
كيما كانو,how long have they been
مابقاش يقدر يلعب كورة,He can't play ball
دابا عاد فهمت,it's back. I get it.
ولكن إيلا وحلت، البنات للي عنا ديما غايعاونوني,"but it's okay, the girls are always waiting for me"
وا شحال موبرزيت هاد طبيب,is this a doctor
إنا رجل كاتلعب بيها حسّن كورا,I'm a man who plays it better
واش نتيا كاتباتي هنا؟,are you writing here?
عمرك ترافق سحاب سوق,you should never go to market
يالله تغدّيت,i'm going to lunch
مابقيتش باغي نعلق الحوايج فشرجم,i don't want to hang the clothes
كان كيسحاب ليا غادي كيكمل داك الفيلم,i thought i'd finish this movie
برا,land
هاد ليلة دغيا تارت,this is the night of the night
ولمهم ره متاكي شوية,it's important
بغيت نصيحة ديالك كيفاش نعاونو,I want advice on how to help you
سربي,My secret
دير فيا هاد الخير عمري نساه ليك,do me this good i'm forgetting
هادي عام ماخرجت,i didn't come out
خليني نقاد ليه المسائل ديالو,let me talk to him
هادشي مايمكنش,this is not possible
خليني نعاونك,Let me help you
الحاجم يموت شرع,i will die
كيكاتجيك لمكلا حرة ?,how do you want to be free?
واش نتا هماق,what are you hugging
معلق تصاورك فبيتك؟,are you waiting for your house?
راه بالهدرة كيجيب لليانّة,this is good news
تفاقي لا,deal no
أنا عمري خبيت عليك شي حاجة,i haven't told you anything
حيت الماكلة فوق الطابلة,i live the food on the table
خلي هتا دير شي مخروع,let her do something wrong
باينة جاي غا بزز,what are you doing?
أنا حياتي كاملة كاندير الخير,i'm full of good
أتنسيه ف الماضي,do you forget it in the past
ماشي مشكيل يكون معانا كلب,We don't have a dog
خوتي منين نتيا,you are from where you are
البارح دوزت ليلة كلها قصير,yesterday I had a very short night
خلعتيني نار,you took a fire
أنا غادي ندير اشتراك في هاديك القنوات,I'm gonna run a subscription to these channels
لقيت البنات كايتسناوني,i met the girls
ماعرفتش كيفاش غانڭولها ليك,I don't know how he will give it to you
ماقداش نمشي للخدمة,I can't go to work
علاش مابغيتيش تشري داك الكتاب,Why don't you wanna buy this book
كي سيف كي شتا,the sword is good
تمارا معايا,he is with me
ماتبقاش تهضر معاه,you don't need to talk to him
راه سلوك ديالك خايب,what a bad attitude you have
كنت كندوي بجهد,I've been very close
ماتسبريش على هادشي,you don't buy this shit
صاحبي كولا نهار كيبقى غير يشكي عليا وا تلع ليا فراسي,my friend is waiting for you to complain about me
اغريقيا قرة كبيرة بزاف,they are too big
سير استغلّ لعطلة ديالك,take advantage of your holiday
قويا عيت منهدا من بالي مورا ماتفرقنا,I've lost my mind
مورا سيمانة صافي خرجت من سبيتار,she came out of the car
غايدير معاك لازم,i need to talk to you
أنا قريت في فست بم,i read in my dress
إمتا غادي ت الدابز معايا,When will you hurry with me
واش نتا بيخير أ حبيبي؟,"Are you okay, babe?"
واش أنا عمرني زيت عليك شي حاجة؟,do i have oil on you
عمرك جربتي تسب شي بوليسي,Have you tried to blame me
خلينا دار بلا كوسكو اليوم,let's go to the store today
راه عانيف هاد الكلب,this dog is cute
عيشي حياتك,live your life
عطيني شي معلومة هاد المرة,give me something this time
بلا ما تديع هاد لفورسّا.,Don't leave this alone.
